"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-08 11:02:17 UTC","ThreatFox","APT41","IP","156.234.162.251:7025","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","APT41","IP","121.4.21.197:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","APT41","IP","62.204.35.187:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:49 UTC","ThreatFox","APT41","IP","43.139.108.161:8192","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:48 UTC","ThreatFox","APT41","IP","38.76.199.164:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:56:19 UTC","ThreatFox","APT41","IP","39.105.213.45:9999","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:55:55 UTC","ThreatFox","APT41","IP","203.161.41.129:8443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-04 07:11:10 UTC","ThreatFox","APT41","IP","123.30.48.175:8080","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:39 UTC","ThreatFox","APT41","IP","156.234.202.148:5916","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:38 UTC","ThreatFox","APT41","IP","171.80.4.222:4488","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-02 11:09:10","MalwareBazaar","APT41","SHA256","8edeadbfe641a0d4c1f190f3fb050125f92c5c9d65b0cc588bc0f0c5795c72cd","signature=CobaltStrike; file=2_XyRFgISTZJpo.exe (tag=APT41)",
"2026-04-02 11:03:39","MalwareBazaar","APT41","SHA256","2fe91ae0e4839ae3fb202495f0ab07bdd08c0f06209de131a1660d9a0c834836","signature=QuasarRAT; file=KLvpn_Installer.msi (tag=APT41)",
"2026-04-02 06:23:10 UTC","ThreatFox","APT41","IP","38.54.56.84:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-03-31 16:34:45","MalwareBazaar","APT41","SHA256","0fca9dae54a7a55f0805a864e9d2911d727a6e274f4ddc9b5673078130e0f9e1","signature=Winnti; file=exe (tag=APT41)",
"2026-03-27 09:46:22","MalwareBazaar","APT41","SHA256","a59cba001f2093aa44758293c6efca87110339e3c68fe25da49a986f948c16fb","signature=Cobalt Strike; file=Procexp.exe (tag=Cobalt Strike)",""
"2026-03-20 08:01:11 UTC","ThreatFox","APT41","IP","65.20.97.249:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-19 12:01:02 UTC","ThreatFox","APT41","IP","139.84.131.21:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-19 04:01:17","MalwareBazaar","APT41","SHA256","2d2a5ab13081475c1b5760c2237c8ed0dd4c3d79b1d4fb34d4241ca28e512aa9","signature=Cobalt Strike; file=4jgad.exe (tag=Cobalt Strike)",
"2026-03-18 20:00:59 UTC","ThreatFox","APT41","IP","104.238.148.158:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-03-18 18:00:05 UTC","ThreatFox","APT41","IP","78.155.221.67:8078","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-03-16 08:00:58 UTC","ThreatFox","APT41","IP","195.133.11.223:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-16 08:00:57 UTC","ThreatFox","APT41","IP","139.180.211.117:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-15 07:00:22","MalwareBazaar","APT41","SHA256","905fcd2566eb979d9ca4e63c7113346d86707f6ae70e325d0e85194acd721bf4","signature=Cobalt Strike; file=CobaltStrike.exe (tag=Cobalt Strike)",
"2026-03-13 14:35:12","MalwareBazaar","APT41","SHA256","168cc168723a7f267d476c3b334f064354ccdc19b70cb140d1b49128705ab587","signature=Cobalt Strike; file=168cc168723a7f267d476c3b334f064354ccdc19b70cb.dll (tag=Cobalt Strike)",
"2026-03-01 14:44:57","MalwareBazaar","APT41","SHA256","f654dd05e0a4b7c604f95160b8f7695883e70356fcb3c86ba6c6e4da30e26394","signature=Cobalt Strike; file=f654dd05e0a4b7c604f95160b8f7695883e70356fcb3c86ba6c6e4da30e26394.exe (tag=Cobalt Strike)",""
"2026-03-01 14:44:46","MalwareBazaar","APT41","SHA256","f77d9073f461ce158971e66bd0dbec3273aba6c24fb3e8fe2ba4998dd7b59468","signature=Cobalt Strike; file=f77d9073f461ce158971e66bd0dbec3273aba6c24fb3e8fe2ba4998dd7b59468.exe (tag=Cobalt Strike)",
"2026-02-26 11:15:10","MalwareBazaar","APT41","SHA256","5c9b7b7c112e154bed63bfa43ff606b7fcc79cb9668f99de032cc09fb6bacc90","signature=Cobalt Strike; file=injector.ps1 (tag=Cobalt Strike)",
"2026-02-24 10:06:17","MalwareBazaar","APT41","SHA256","da8c83eae113475945a9ab217acf0a375f690e3da0205fedf6f3b176cb9ff45b","signature=Cobalt Strike; file=深信服财务审计相关资料.exe (tag=Cobalt Strike)",
"2026-02-22 16:46:45","MalwareBazaar","APT41","SHA256","f8219f79a7f0af8eda4338a026b6331717778de14813a3a3ff921b42a636bdd0","signature=Cobalt Strike; file=f8219f79a7f0af8eda4338a026b6331717778de14813a3a3ff921b42a636bdd0 (tag=Cobalt Strike)",""
"2026-02-20 08:35:13","MalwareBazaar","APT41","SHA256","a30a5b326aed3931627b737eba7fad9dc945d6c9df600219264a7c795c152b0d","signature=Cobalt Strike; file=SecuriteInfo.com.Win64.MalwareX-gen.43381844 (tag=Cobalt Strike)",""
"2026-02-20 08:35:10","MalwareBazaar","APT41","SHA256","e6084b5a88a98de3fdeb3a5dc69d7edd743b9ca9a3699812dac910fd036dabe5","signature=Cobalt Strike; file=SecuriteInfo.com.Win64.MalwareX-gen.16284722 (tag=Cobalt Strike)",
"2026-02-16 08:44:31","MalwareBazaar","APT41","SHA256","b640c53e2c02f08aa8ca3db62c628abcaa1694ffec33a59d69d88f5e2d1552aa","signature=Cobalt Strike; file=aes_loader.vmp.exe (tag=Cobalt Strike)",
"2026-02-13 21:55:00","MalwareBazaar","APT41","SHA256","56181f668b1bd40f2c72909e7ed346ae6fdf176863ac42c0724bef5bf14d57fd","signature=Cobalt Strike; file=reverse_bypass.exe (tag=Cobalt Strike)",
"2026-02-13 09:59:27","MalwareBazaar","APT41","SHA256","48cc6671cdf4aec9ebb25ec428dc47eb09f39dc063de1ae0b24a788a346b13d1","signature=Cobalt Strike; file=beacon.exe (tag=Cobalt Strike)",""
"2026-02-13 09:35:02","MalwareBazaar","APT41","SHA256","085ce06c03268912d651fe4448871a40736abcae49889a207c6a42879b664b8d","signature=Cobalt Strike; file=RoyalFlush3.ps1 (tag=Cobalt Strike)",
"2026-02-13 07:07:45 UTC","ThreatFox","APT41","IP","140.238.72.142:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-02-07 08:00:50 UTC","ThreatFox","APT41","IP","207.148.97.65:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-02-05 10:08:04","MalwareBazaar","APT41","SHA256","5804ab1cab517dbc9c314360988d0f44e9226626071c933c86f336fc68d89ff4","signature=Cobalt Strike; file=YYdispose_loader_20260205_105004_22rnzy.exe (tag=Cobalt Strike)",""
"2026-02-01","VirusTotal (Fallback)","APT41","SHA256","e85df1c736d213a245854e6af96a75d7e5f2d51ee19a47bca131777fbfdfb7eb","Text Match: Winnti","https://www.virustotal.com/gui/file/e85df1c736d213a245854e6af96a75d7e5f2d51ee19a47bca131777fbfdfb7eb"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","c78a9c7380eaa4ed05074d2e082fb6b071e62752914ccbd2c1c4400f73fc75b8","Text Match: Winnti","https://www.virustotal.com/gui/file/c78a9c7380eaa4ed05074d2e082fb6b071e62752914ccbd2c1c4400f73fc75b8"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","78e464df48a0ee05e9dc63e55e6965edad27f34f9fcf3ee93eaabc307cd56a0b","Text Match: Winnti","https://www.virustotal.com/gui/file/78e464df48a0ee05e9dc63e55e6965edad27f34f9fcf3ee93eaabc307cd56a0b"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","c6f00e056372861df87da78dda322d3475e1dbf2204f4c609f033e82e728a0bb","Text Match: Winnti","https://www.virustotal.com/gui/file/c6f00e056372861df87da78dda322d3475e1dbf2204f4c609f033e82e728a0bb"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","bb2aed0e326e3d968ac8a4a797cef5f8e68e9862cca2402880a73212292acaab","Text Match: Winnti","https://www.virustotal.com/gui/file/bb2aed0e326e3d968ac8a4a797cef5f8e68e9862cca2402880a73212292acaab"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","8921bbf4d59ba25e4f64ede42a8ed44f6676dcfa5a54306b7cbbfb42205fe25b","Text Match: Winnti","https://www.virustotal.com/gui/file/8921bbf4d59ba25e4f64ede42a8ed44f6676dcfa5a54306b7cbbfb42205fe25b"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","a147b583f0f2275eab265bd493a88ed1c80053c2a8849a3f59343b1d211ccc65","Text Match: Winnti","https://www.virustotal.com/gui/file/a147b583f0f2275eab265bd493a88ed1c80053c2a8849a3f59343b1d211ccc65"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","756d20653f976bbfd4101e99fd2b02e92d4e9faa849fd05ca6e6e15e8de4d3d1","Text Match: Winnti","https://www.virustotal.com/gui/file/756d20653f976bbfd4101e99fd2b02e92d4e9faa849fd05ca6e6e15e8de4d3d1"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","c1df20b851976be4884de9ecf958a1ff150e03dd4d7b9dfde3098d3f4d34cd50","Text Match: Winnti","https://www.virustotal.com/gui/file/c1df20b851976be4884de9ecf958a1ff150e03dd4d7b9dfde3098d3f4d34cd50"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","9e2d5322414b59323d2d7887d44933323e10169cab832da32be321151491d859","Text Match: Winnti","https://www.virustotal.com/gui/file/9e2d5322414b59323d2d7887d44933323e10169cab832da32be321151491d859"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","4ce74a0326c3cfd1621e3481c0068024117c2dd221ea2f988d4c1a647b4badf1","Text Match: Winnti","https://www.virustotal.com/gui/file/4ce74a0326c3cfd1621e3481c0068024117c2dd221ea2f988d4c1a647b4badf1"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","208fea4847872640b7884ae70092473a1d8820d1553cfe6a65273ef0cd8f530c","Text Match: Winnti","https://www.virustotal.com/gui/file/208fea4847872640b7884ae70092473a1d8820d1553cfe6a65273ef0cd8f530c"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","11cd141684582d16ad9761f72ffbb322b8b14afa282821d209c6d5a760ea2ca5","Text Match: Winnti","https://www.virustotal.com/gui/file/11cd141684582d16ad9761f72ffbb322b8b14afa282821d209c6d5a760ea2ca5"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","7b349dd2ef409338f47c601939cf31af45d366493d7efa17c549a3c485714ab2","Text Match: Winnti","https://www.virustotal.com/gui/file/7b349dd2ef409338f47c601939cf31af45d366493d7efa17c549a3c485714ab2"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","7cdb438c942ce19547a2d576ab67d5576932ea134d5201337e16107c0d965803","Text Match: Winnti","https://www.virustotal.com/gui/file/7cdb438c942ce19547a2d576ab67d5576932ea134d5201337e16107c0d965803"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","18377a39d15e6736a52c5e53fb36ca65c5a16574d8cff7ae3a31732049fcdd0c","Text Match: Winnti","https://www.virustotal.com/gui/file/18377a39d15e6736a52c5e53fb36ca65c5a16574d8cff7ae3a31732049fcdd0c"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","2737f7bebd516c5fcc9203601e5e9036767da6ccd98cd886c6eeea6fc408f13d","Text Match: Winnti","https://www.virustotal.com/gui/file/2737f7bebd516c5fcc9203601e5e9036767da6ccd98cd886c6eeea6fc408f13d"
"2026-01-31","VirusTotal (Fallback)","APT41","SHA256","c3ce6564bf3fc6ad7bda335d76f63246a5fd730fab786962f4d7fbcfdb54dd27","Text Match: Winnti","https://www.virustotal.com/gui/file/c3ce6564bf3fc6ad7bda335d76f63246a5fd730fab786962f4d7fbcfdb54dd27"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","6066ff134809bf1af33173c9bd0027f644a3c495c46008565d360c80b137f301","Text Match: Winnti","https://www.virustotal.com/gui/file/6066ff134809bf1af33173c9bd0027f644a3c495c46008565d360c80b137f301"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","4ebfc30f3ff3588ba2b7a760732ec611ed509ec1e513ce2ce4c4e518137b9c7f","Text Match: Winnti","https://www.virustotal.com/gui/file/4ebfc30f3ff3588ba2b7a760732ec611ed509ec1e513ce2ce4c4e518137b9c7f"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","3a6cb5ae09c592aaa26f985e960b9758019b5ed3a2470739fcd5725f5d80c8e8","Text Match: Winnti","https://www.virustotal.com/gui/file/3a6cb5ae09c592aaa26f985e960b9758019b5ed3a2470739fcd5725f5d80c8e8"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","58ea4b78de6ad953374655e3d3177bdfb94398e771c6e4b4e1433f57f6e5f50b","Text Match: Winnti","https://www.virustotal.com/gui/file/58ea4b78de6ad953374655e3d3177bdfb94398e771c6e4b4e1433f57f6e5f50b"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","9236baa2e78137e29aac553d5f129d31889fa63339f6db2d2d6046f7a6e4318b","Text Match: Winnti","https://www.virustotal.com/gui/file/9236baa2e78137e29aac553d5f129d31889fa63339f6db2d2d6046f7a6e4318b"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","bd39a9d535627dbe124456580e16d13ee01368393c675b0e9fa31f3d2246b9d2","Text Match: Winnti","https://www.virustotal.com/gui/file/bd39a9d535627dbe124456580e16d13ee01368393c675b0e9fa31f3d2246b9d2"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","c8131e4f083583febe683a21fdf7912f324d6daa29c93cd5d3f595b0952da714","Text Match: Winnti","https://www.virustotal.com/gui/file/c8131e4f083583febe683a21fdf7912f324d6daa29c93cd5d3f595b0952da714"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","2c8bea5763494f7ac7ff7c9dcdad52ca1c6bb58e22f5416f50b418d7515e278a","Text Match: Winnti","https://www.virustotal.com/gui/file/2c8bea5763494f7ac7ff7c9dcdad52ca1c6bb58e22f5416f50b418d7515e278a"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","81f8266d9ce7a87fcea1163c22deec0cb3e794146a3d490d8d55350b3187cbb6","Text Match: Winnti","https://www.virustotal.com/gui/file/81f8266d9ce7a87fcea1163c22deec0cb3e794146a3d490d8d55350b3187cbb6"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","e4dc49863aa7eeed3b7cfa7a16c2641a127634b82f2fbe700027623c7c26c9af","Text Match: Winnti","https://www.virustotal.com/gui/file/e4dc49863aa7eeed3b7cfa7a16c2641a127634b82f2fbe700027623c7c26c9af"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","824581b1c3b5ded634f4c66acf94bced0862f63e3623fcd167ea5d2d3f31e797","Text Match: Winnti","https://www.virustotal.com/gui/file/824581b1c3b5ded634f4c66acf94bced0862f63e3623fcd167ea5d2d3f31e797"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","d40cf32f98d8f5124cbbf40103f960555e17fbc6f07daa35810ef8031bdc2441","Text Match: Winnti","https://www.virustotal.com/gui/file/d40cf32f98d8f5124cbbf40103f960555e17fbc6f07daa35810ef8031bdc2441"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","f49516494892f4e1f06e1620b9a39659510eee5c4bf797d23b2eea766fd9040b","Text Match: Winnti","https://www.virustotal.com/gui/file/f49516494892f4e1f06e1620b9a39659510eee5c4bf797d23b2eea766fd9040b"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","7b6cef9fbf30d08292fcf4dc160ba5b0603572a8e38ecc204a3a7b0b47b5a2d6","Text Match: Winnti","https://www.virustotal.com/gui/file/7b6cef9fbf30d08292fcf4dc160ba5b0603572a8e38ecc204a3a7b0b47b5a2d6"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","6036ef99783001ec33105c522bd4b8d1b6ed9d2a4fc705ffcdd89f91367aaaad","Text Match: Winnti","https://www.virustotal.com/gui/file/6036ef99783001ec33105c522bd4b8d1b6ed9d2a4fc705ffcdd89f91367aaaad"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","3b373929ffb616bacba9b8f6a1a9d9eddeb94139e813e7f25a6e933bb7074d50","Text Match: Winnti","https://www.virustotal.com/gui/file/3b373929ffb616bacba9b8f6a1a9d9eddeb94139e813e7f25a6e933bb7074d50"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","89f9cc09da62bf6fbb0136987a152129fbcc5b717bc636ae18da49dc87a0d4cd","Text Match: Winnti","https://www.virustotal.com/gui/file/89f9cc09da62bf6fbb0136987a152129fbcc5b717bc636ae18da49dc87a0d4cd"
"2026-01-29","VirusTotal (Fallback)","APT41","SHA256","b4b1178351f207389f54ca2cb67dbe362582835245fc9acd414436c1807fe131","Text Match: Winnti","https://www.virustotal.com/gui/file/b4b1178351f207389f54ca2cb67dbe362582835245fc9acd414436c1807fe131"
"2026-01-28 04:05:05 UTC","ThreatFox","APT41","IP","45.77.176.85:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-01-27","VirusTotal (Fallback)","APT41","SHA256","c5c9fd40488c9168f77ac60dee22635a0ee0e64fd948bc57e35ab73ce78caa12","Text Match: Winnti","https://www.virustotal.com/gui/file/c5c9fd40488c9168f77ac60dee22635a0ee0e64fd948bc57e35ab73ce78caa12"
"2026-01-27","VirusTotal (Fallback)","APT41","SHA256","e0c0e23d3b3888590feb2eb8b171f2f5519ed80be68a54f548be25b697704470","Text Match: Winnti","https://www.virustotal.com/gui/file/e0c0e23d3b3888590feb2eb8b171f2f5519ed80be68a54f548be25b697704470"
"2026-01-25","VirusTotal (Fallback)","APT41","SHA256","475e93d2b4fbbc0beee076f02cac5992b58d0404eb64858ecbc6a7c2f2444153","Text Match: Winnti","https://www.virustotal.com/gui/file/475e93d2b4fbbc0beee076f02cac5992b58d0404eb64858ecbc6a7c2f2444153"
"2026-01-25","VirusTotal (Fallback)","APT41","SHA256","70dd5349955966ec0d38abf233a56e0cbbb8a26dd3139e8d216ef4a40249bc13","Text Match: Winnti","https://www.virustotal.com/gui/file/70dd5349955966ec0d38abf233a56e0cbbb8a26dd3139e8d216ef4a40249bc13"
"2026-01-25","VirusTotal (Fallback)","APT41","SHA256","c0ef301fc4d92f0abc8e14cd4ac0972e1fe262a97514f19a07f95fcacede40c9","Text Match: Winnti","https://www.virustotal.com/gui/file/c0ef301fc4d92f0abc8e14cd4ac0972e1fe262a97514f19a07f95fcacede40c9"
"2026-01-25","VirusTotal (Fallback)","APT41","SHA256","aa051a66edd573b1fcd8b25d38601d31840a45cc34f34ac2018b307460a6ebbe","Text Match: Winnti","https://www.virustotal.com/gui/file/aa051a66edd573b1fcd8b25d38601d31840a45cc34f34ac2018b307460a6ebbe"
"2026-01-24","VirusTotal (Fallback)","APT41","SHA256","e5257b6f49bbc8051a621dab6974c1d027a51dd23c3464a8e9d90d2f317a9680","Text Match: Winnti","https://www.virustotal.com/gui/file/e5257b6f49bbc8051a621dab6974c1d027a51dd23c3464a8e9d90d2f317a9680"
"2026-01-23","VirusTotal (Fallback)","APT41","SHA256","e684519b18aa68a6915e92e284698d84cab5303439a2eec1918abb7579e9b37a","Text Match: Winnti","https://www.virustotal.com/gui/file/e684519b18aa68a6915e92e284698d84cab5303439a2eec1918abb7579e9b37a"
"2026-01-21","VirusTotal (Fallback)","APT41","SHA256","d529753559c4504f2fc529d13c074b36e296614a2744f7b893c7483a9018d4de","Text Match: Winnti","https://www.virustotal.com/gui/file/d529753559c4504f2fc529d13c074b36e296614a2744f7b893c7483a9018d4de"
"2026-01-21","VirusTotal (Fallback)","APT41","SHA256","869123297b58e5db330e9c58e51fee38b65c76264f7c38be35cfe44cd4bcbd2d","Text Match: Winnti","https://www.virustotal.com/gui/file/869123297b58e5db330e9c58e51fee38b65c76264f7c38be35cfe44cd4bcbd2d"
"2026-01-21","VirusTotal (Fallback)","APT41","SHA256","a6dc5ea3b116583f8b935fe628c6ac6e1daf07168bad35019c639519d4a6aac7","Text Match: Winnti","https://www.virustotal.com/gui/file/a6dc5ea3b116583f8b935fe628c6ac6e1daf07168bad35019c639519d4a6aac7"
"2026-01-19","VirusTotal (Fallback)","APT41","SHA256","c613e784513a64247f8e6c8b12606d2bfea84c062b4d4ca66c47e74ed0d66122","Text Match: Wicked Panda","https://www.virustotal.com/gui/file/c613e784513a64247f8e6c8b12606d2bfea84c062b4d4ca66c47e74ed0d66122"
"2026-01-17","VirusTotal (Fallback)","APT41","SHA256","e465b47bf46b63a1d47d690ae87b79076cbdd6fce0607461f7f20539cfc26991","Text Match: Winnti","https://www.virustotal.com/gui/file/e465b47bf46b63a1d47d690ae87b79076cbdd6fce0607461f7f20539cfc26991"
