"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-31 16:34:45","MalwareBazaar","Aquatic Panda","SHA256","0fca9dae54a7a55f0805a864e9d2911d727a6e274f4ddc9b5673078130e0f9e1","signature=Winnti; file=exe (tag=Winnti)",
"2026-03-20 08:01:11 UTC","ThreatFox","Aquatic Panda","IP","65.20.97.249:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-19 12:01:02 UTC","ThreatFox","Aquatic Panda","IP","139.84.131.21:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-03-18 20:00:59 UTC","ThreatFox","Aquatic Panda","IP","104.238.148.158:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-03-16 08:00:58 UTC","ThreatFox","Aquatic Panda","ip:port","195.133.11.223:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-03-16 08:00:57 UTC","ThreatFox","Aquatic Panda","IP","139.180.211.117:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-02-13 07:07:45 UTC","ThreatFox","Aquatic Panda","IP","140.238.72.142:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-02-07 08:00:50 UTC","ThreatFox","Aquatic Panda","IP","207.148.97.65:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-31","VirusTotal (Fallback)","Aquatic Panda","SHA256","c6f00e056372861df87da78dda322d3475e1dbf2204f4c609f033e82e728a0bb","Text Match: Earth Lusca","https://www.virustotal.com/gui/file/c6f00e056372861df87da78dda322d3475e1dbf2204f4c609f033e82e728a0bb"
"2026-01-31","VirusTotal (Fallback)","Aquatic Panda","SHA256","ebc1b5e55b9b8d6fc5071a5609752b375390b05b4fccff1fb80ee5917e2707d5","Text Match: Earth Lusca","https://www.virustotal.com/gui/file/ebc1b5e55b9b8d6fc5071a5609752b375390b05b4fccff1fb80ee5917e2707d5"
"2026-01-28 04:05:05 UTC","ThreatFox","Aquatic Panda","IP","45.77.176.85:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-01-16 11:07:55 UTC","ThreatFox","Aquatic Panda","IP","51.195.209.197:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-16 11:07:53 UTC","ThreatFox","Aquatic Panda","IP","51.68.204.240:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-16 08:03:56 UTC","ThreatFox","Aquatic Panda","IP","13.115.238.220:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-01-09 06:47:10 UTC","ThreatFox","Aquatic Panda","Domain","mcafeeupdates.com","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-09 04:03:16 UTC","ThreatFox","Aquatic Panda","IP","65.20.75.136:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08 20:03:45 UTC","ThreatFox","Aquatic Panda","IP","149.104.104.76:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08 12:03:43 UTC","ThreatFox","Aquatic Panda","IP","217.69.1.147:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08 08:03:11 UTC","ThreatFox","Aquatic Panda","IP","139.84.142.99:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08","VirusTotal (Fallback)","Aquatic Panda","SHA256","cdb451a01b74f5250a08d372cdd65d3d3c0a157266c5648dfba37b3d6c2597ab","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/cdb451a01b74f5250a08d372cdd65d3d3c0a157266c5648dfba37b3d6c2597ab"
"2026-01-07 12:29:00 UTC","ThreatFox","Aquatic Panda","Domain","www.kasperskysecure.com","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2025-12-30","VirusTotal (Fallback)","Aquatic Panda","SHA256","d152580bbecf4babb05701f213afd323a507b3d28d462ab4c1c9962eab58a9e0","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/d152580bbecf4babb05701f213afd323a507b3d28d462ab4c1c9962eab58a9e0"
"2025-12-26 08:01:50 UTC","ThreatFox","Aquatic Panda","ip:port","38.60.250.74:8443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2025-12-22 12:02:03 UTC","ThreatFox","Aquatic Panda","ip:port","139.84.139.117:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2025-12-18 04:01:08 UTC","ThreatFox","Aquatic Panda","IP","64.176.65.222:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2025-12-14","VirusTotal (Fallback)","Aquatic Panda","SHA256","9cadad7a9ddb6d048a7d3ba14e2cf4f9c9b8accf3a2ad85c38e9c4d36179745c","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/9cadad7a9ddb6d048a7d3ba14e2cf4f9c9b8accf3a2ad85c38e9c4d36179745c"
"2025-12-14","VirusTotal (Fallback)","Aquatic Panda","SHA256","6f5c3fad6ba7b4a06e4a25852f45d412ef60ac7c2f7b10ab0e4bd52454d334c7","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/6f5c3fad6ba7b4a06e4a25852f45d412ef60ac7c2f7b10ab0e4bd52454d334c7"
"2025-12-04","VirusTotal (Fallback)","Aquatic Panda","SHA256","9275bf161bf911962921cc63bb91c586cec529c1edebcd003835b1eb026de7ac","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/9275bf161bf911962921cc63bb91c586cec529c1edebcd003835b1eb026de7ac"
"2025-12-04","VirusTotal (Fallback)","Aquatic Panda","SHA256","ea847e4ed34664f68a76cf2704b5cd90ac7a2e74020a10609c4b9107cd97f887","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/ea847e4ed34664f68a76cf2704b5cd90ac7a2e74020a10609c4b9107cd97f887"
"2025-12-04","VirusTotal (Fallback)","Aquatic Panda","SHA256","10e5c4810206822fb1a417f2aa77f7d94e07eafdd85e35d7a5570bb9a834d599","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/10e5c4810206822fb1a417f2aa77f7d94e07eafdd85e35d7a5570bb9a834d599"
"2025-12-04","VirusTotal (Fallback)","Aquatic Panda","SHA256","82741d70a100a36659d58067687c2232124c8e837640a3b11bf30a5a01ee2dae","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/82741d70a100a36659d58067687c2232124c8e837640a3b11bf30a5a01ee2dae"
"2025-12-04","VirusTotal (Fallback)","Aquatic Panda","SHA256","e08ad8bff0b996a6722beb790dde334495a4e8f65c062d4b5fe915c76882e67b","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/e08ad8bff0b996a6722beb790dde334495a4e8f65c062d4b5fe915c76882e67b"
"2025-12-04","VirusTotal (Fallback)","Aquatic Panda","SHA256","aa7341706dd0b0d8b74987e355ccafc0bb0d85646738efa95055d692d446a81d","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/aa7341706dd0b0d8b74987e355ccafc0bb0d85646738efa95055d692d446a81d"
"2025-12-01 08:02:32 UTC","ThreatFox","Aquatic Panda","IP","38.54.79.170:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2025-12-01 04:01:58 UTC","ThreatFox","Aquatic Panda","IP","136.244.113.131:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2025-11-26 16:01:34 UTC","ThreatFox","Aquatic Panda","IP","38.54.50.10:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2025-11-26 12:32:14 UTC","ThreatFox","Aquatic Panda","domain","rtku.lat","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2025-11-24 12:40:26 UTC","ThreatFox","Aquatic Panda","IP","163.61.102.245:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2025-11-24 12:40:24 UTC","ThreatFox","Aquatic Panda","IP","149.28.78.189:42306","threat=payload_delivery; malware=win.shadowpad (tag=ShadowPad)",
"2025-11-07","VirusTotal (Fallback)","Aquatic Panda","SHA256","d13c7f36a8c13f723b101454293c8472ade64e01efb582232c736702ecf2e5e6","Text Match: Earth Lusca","https://www.virustotal.com/gui/file/d13c7f36a8c13f723b101454293c8472ade64e01efb582232c736702ecf2e5e6"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","18043122e4e37bdc5b4c6b752e2994405730addd350ecd9681287dc8b2d72bf4","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/18043122e4e37bdc5b4c6b752e2994405730addd350ecd9681287dc8b2d72bf4"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","2006829b5a24baef93095543b40bb274906e21eb51d28149443bcdeb601cba3f","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/2006829b5a24baef93095543b40bb274906e21eb51d28149443bcdeb601cba3f"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","2a79a989b4291605126893c66f4072ae00266bd1365fbf0d508acb54ac236ef3","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/2a79a989b4291605126893c66f4072ae00266bd1365fbf0d508acb54ac236ef3"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","fabb10f8cbd9fae4fa3877210200f3368055bc43bdabc8dd459a498a6b95210a","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/fabb10f8cbd9fae4fa3877210200f3368055bc43bdabc8dd459a498a6b95210a"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","cb6d53633b090778ccbea989461090df26d29fd08acb91028b5f7f4efa5d42c9","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/cb6d53633b090778ccbea989461090df26d29fd08acb91028b5f7f4efa5d42c9"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","5eef2608e012a2bf1fc4a7174aa849203020f9c3976ea6297101f42dda69cc2c","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/5eef2608e012a2bf1fc4a7174aa849203020f9c3976ea6297101f42dda69cc2c"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","15a9a5548e2545782c5af78363e66e3486cde0aa25ac8314c1647c1b3490d358","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/15a9a5548e2545782c5af78363e66e3486cde0aa25ac8314c1647c1b3490d358"
"2025-11-06","VirusTotal (Fallback)","Aquatic Panda","SHA256","99ec61d4973698616726af16084b66d1acae80a7fed767a8d52a3158eaaa0f03","Text Match: Aquatic Panda","https://www.virustotal.com/gui/file/99ec61d4973698616726af16084b66d1acae80a7fed767a8d52a3158eaaa0f03"
"2025-10-22 14:59:34 UTC","ThreatFox","Aquatic Panda","SHA256","ac29c2dbec74dd4c05fa4ea4544c2e619f62cfe3b874746d94a13cf7ce3cbeff","threat=payload; malware=win.shadowpad (tag=ShadowPad)",
"2025-10-22 14:59:34 UTC","ThreatFox","Aquatic Panda","SHA256","000f30792da01647cf040c0734bfa968af24b430e8bfa0886b1b4fe8b1caa753","threat=payload; malware=win.shadowpad (tag=ShadowPad)",
"2025-10-09 20:01:28 UTC","ThreatFox","Aquatic Panda","IP","64.176.96.141:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
