"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-08 11:02:17 UTC","ThreatFox","Earth Krahang","IP","156.234.162.251:7025","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","Earth Krahang","IP","121.4.21.197:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","Earth Krahang","IP","62.204.35.187:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:49 UTC","ThreatFox","Earth Krahang","IP","43.139.108.161:8192","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:48 UTC","ThreatFox","Earth Krahang","IP","38.76.199.164:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:56:19 UTC","ThreatFox","Earth Krahang","IP","39.105.213.45:9999","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:55:55 UTC","ThreatFox","Earth Krahang","IP","203.161.41.129:8443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-04 07:11:10 UTC","ThreatFox","Earth Krahang","IP","123.30.48.175:8080","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:39 UTC","ThreatFox","Earth Krahang","IP","156.234.202.148:5916","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:38 UTC","ThreatFox","Earth Krahang","IP","171.80.4.222:4488","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-02 06:23:10 UTC","ThreatFox","Earth Krahang","IP","38.54.56.84:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-03-27 09:46:22","MalwareBazaar","Earth Krahang","SHA256","a59cba001f2093aa44758293c6efca87110339e3c68fe25da49a986f948c16fb","signature=Cobalt Strike; file=Procexp.exe (tag=Cobalt Strike)",
"2026-03-19 04:01:17","MalwareBazaar","Earth Krahang","SHA256","2d2a5ab13081475c1b5760c2237c8ed0dd4c3d79b1d4fb34d4241ca28e512aa9","signature=Cobalt Strike; file=4jgad.exe (tag=Cobalt Strike)",""
"2026-03-18 18:00:05 UTC","ThreatFox","Earth Krahang","IP","78.155.221.67:8078","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",""
"2026-03-15 07:00:22","MalwareBazaar","Earth Krahang","SHA256","905fcd2566eb979d9ca4e63c7113346d86707f6ae70e325d0e85194acd721bf4","signature=Cobalt Strike; file=CobaltStrike.exe (tag=Cobalt Strike)",""
"2026-03-13 14:35:12","MalwareBazaar","Earth Krahang","SHA256","168cc168723a7f267d476c3b334f064354ccdc19b70cb140d1b49128705ab587","signature=Cobalt Strike; file=168cc168723a7f267d476c3b334f064354ccdc19b70cb.dll (tag=Cobalt Strike)",
