"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-31","VirusTotal (Fallback)","Jackpot Panda","SHA256","4dcbce594888542be9c23b42acd8798518d8372378a1fed3d870225a554bcd47","Text Match: RedDelta","https://www.virustotal.com/gui/file/4dcbce594888542be9c23b42acd8798518d8372378a1fed3d870225a554bcd47"
"2026-01-31","VirusTotal (Fallback)","Jackpot Panda","SHA256","8a1fc00718c67c131e564aa3e1bf32b628c2fac1173a0d9373849ad505bb0da1","Text Match: RedDelta","https://www.virustotal.com/gui/file/8a1fc00718c67c131e564aa3e1bf32b628c2fac1173a0d9373849ad505bb0da1"
"2026-01-31","VirusTotal (Fallback)","Jackpot Panda","SHA256","31ba70e59ffb83611b5dd80e10fae2fbc56e42d2ffc52f5cb6cdae7c01ac0f09","Text Match: RedDelta","https://www.virustotal.com/gui/file/31ba70e59ffb83611b5dd80e10fae2fbc56e42d2ffc52f5cb6cdae7c01ac0f09"
"2026-01-30T22:27:13Z","Cybersixgill","Jackpot Panda","Hash","f34d5f2d4577ed6d9ceec516c1f5a744","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Jackpot Panda","Hash","d0cf9c1f87eac9b8879684a041dd6a2e1a0c15e185d4814a51adda19f9399a9b","Confidence: 70","N/A"
"2026-01-27T21:29:43Z","Cybersixgill","Jackpot Panda","Hash","7acb6696ecc2fb304492f030873eaa30","Confidence: 60","N/A"
"2026-01-22T16:45:10Z","Cybersixgill","Jackpot Panda","Hash","d393349a4ad00902e3d415b622cf27987a0170a786ca3a1f991a521bff645318","Confidence: 90","N/A"
"2026-01-21","VirusTotal (Fallback)","Jackpot Panda","SHA256","d529753559c4504f2fc529d13c074b36e296614a2744f7b893c7483a9018d4de","Text Match: RedDelta","https://www.virustotal.com/gui/file/d529753559c4504f2fc529d13c074b36e296614a2744f7b893c7483a9018d4de"
"2026-01-21","VirusTotal (Fallback)","Jackpot Panda","SHA256","0d0719acd7e960df8087912af4d5e1db6fcb553510149d15ee3d62fb5e29ce0e","Text Match: RedDelta","https://www.virustotal.com/gui/file/0d0719acd7e960df8087912af4d5e1db6fcb553510149d15ee3d62fb5e29ce0e"
"2026-01-17T03:45:57Z","Cybersixgill","Jackpot Panda","Hash","cd3989830da99a69380901769fd78902efb3cd8ba5c9390e94bd4333b7fad186","Confidence: 60","N/A"
"2026-01-16T22:46:28Z","Cybersixgill","Jackpot Panda","Hash","8f81ce8ca6cdbc7d7eb10f4da5f470c6","Confidence: 80","N/A"
"2026-01-16","VirusTotal (Fallback)","Jackpot Panda","SHA256","f068c8717f183bdd62e0e6746544b5c3d4e4d2b9824126bfd6bffc859ddeab8b","Text Match: RedDelta","https://www.virustotal.com/gui/file/f068c8717f183bdd62e0e6746544b5c3d4e4d2b9824126bfd6bffc859ddeab8b"
"2026-01-16","VirusTotal (Fallback)","Jackpot Panda","SHA256","1b03ead0b1ef69ae35cb56810c5660bec13ae9980254d307880e874e5640b85e","Text Match: RedDelta","https://www.virustotal.com/gui/file/1b03ead0b1ef69ae35cb56810c5660bec13ae9980254d307880e874e5640b85e"
"2026-01-13T22:47:04Z","Cybersixgill","Jackpot Panda","Hash","2c34b47ee7d271326cfff9701377277b05ec4654753b31c89be622e80d225250","Confidence: 75","N/A"
"2026-01-13T22:47:04Z","Cybersixgill","Jackpot Panda","Hash","aea6f6edbbbb0ab0f22568dcb503d731","Confidence: 75","N/A"
"2026-01-13T22:47:04Z","Cybersixgill","Jackpot Panda","Hash","3b958db3a5061b3efa6acfe7ab3c86dfeec07eba","Confidence: 75","N/A"
"2026-01-13","VirusTotal (Fallback)","Jackpot Panda","SHA256","21fcee0a185b8b16a993d5f8a5a9b9ff454bc336da367a4fc40904fd6b157922","Text Match: RedDelta","https://www.virustotal.com/gui/file/21fcee0a185b8b16a993d5f8a5a9b9ff454bc336da367a4fc40904fd6b157922"
"2026-01-13","VirusTotal (Fallback)","Jackpot Panda","SHA256","90a97179a3fce45142e476d1740c8c730e7a09ce3f7876ed82b5ebadf2cf5e84","Text Match: RedDelta","https://www.virustotal.com/gui/file/90a97179a3fce45142e476d1740c8c730e7a09ce3f7876ed82b5ebadf2cf5e84"
"2026-01-13","VirusTotal (Fallback)","Jackpot Panda","SHA256","ad326728baf0dfa9a23f1a208d6b542361e92226fda30b1d03a498b39f11b6d3","Text Match: RedDelta","https://www.virustotal.com/gui/file/ad326728baf0dfa9a23f1a208d6b542361e92226fda30b1d03a498b39f11b6d3"
"2026-01-12","VirusTotal (Fallback)","Jackpot Panda","SHA256","38e7e335a31cd687f37737b92eb4d6b6b1fce3e9590151aa1ea53b95f48fe456","Text Match: RedDelta","https://www.virustotal.com/gui/file/38e7e335a31cd687f37737b92eb4d6b6b1fce3e9590151aa1ea53b95f48fe456"
"2026-01-10T06:44:30Z","Cybersixgill","Jackpot Panda","Hash","819f586ca65395bdd191a21e9b4f3281159f9826e4de0e908277518dba809e5b","Confidence: 70","N/A"
"2026-01-10T06:44:30Z","Cybersixgill","Jackpot Panda","Hash","e5baecb74c456df26aa7e0fa1661838cd86ccfd7","Confidence: 70","N/A"
"2026-01-10T06:44:30Z","Cybersixgill","Jackpot Panda","Hash","722bcd4b14aac3395f8a073050b9a578","Confidence: 70","N/A"
"2026-01-08T02:52:02Z","Cybersixgill","Jackpot Panda","Hash","a19a2658ba69030c6ac9d11fd7d7e3c1","Confidence: 70","N/A"
