"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-08 11:02:17 UTC","ThreatFox","Mustang Panda","IP","156.234.162.251:7025","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","Mustang Panda","IP","121.4.21.197:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","Mustang Panda","IP","62.204.35.187:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-07 11:21:52","MalwareBazaar","Mustang Panda","SHA256","843b22df66f87a587be77145da163f9615fe8164a5ea17f9e33562ff43894fbf","signature=PlugX; file=843b22df66f87a587be77145da163f9615fe8164a5ea17f9e33562ff43894fbf (tag=PlugX)",
"2026-04-07 10:03:29","MalwareBazaar","Mustang Panda","SHA256","fff7864019b651bea2448228d6557d995edc929276bb9d8cb34c3c280a42684e","signature=; file=e-Fatura.chm (tag=PlugX)",
"2026-04-07 09:57:34","MalwareBazaar","Mustang Panda","SHA256","fa3a1153018ac1e1a35a65e445a2bad33eac582c225cf6c38d0886802481cd43","signature=PlugX; file=photo_2026-03-01_01-20-48.pdf.lnk (tag=PlugX)",
"2026-04-06 18:49:49 UTC","ThreatFox","Mustang Panda","IP","43.139.108.161:8192","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:48 UTC","ThreatFox","Mustang Panda","IP","38.76.199.164:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:56:19 UTC","ThreatFox","Mustang Panda","IP","39.105.213.45:9999","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:55:55 UTC","ThreatFox","Mustang Panda","IP","203.161.41.129:8443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-04 07:11:10 UTC","ThreatFox","Mustang Panda","IP","123.30.48.175:8080","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 18:26:42","MalwareBazaar","Mustang Panda","SHA256","1daade171b2f029c80787880db2ce893e5f1252facb6980fb7a93cb0dbb014c3","signature=; file=1.zip (tag=PlugX)",
"2026-04-03 12:01:39 UTC","ThreatFox","Mustang Panda","IP","156.234.202.148:5916","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:38 UTC","ThreatFox","Mustang Panda","IP","171.80.4.222:4488","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-02 09:19:49","MalwareBazaar","Mustang Panda","SHA256","a059d70e4f9095f167bd34ea4dfdab33be8f599907daefbd05f2ba3f2d6302be","signature=; file=ЕС-аас Хөндөж болзошгүй асуудал.zip (tag=PlugX)",
"2026-04-02 06:23:10 UTC","ThreatFox","Mustang Panda","IP","38.54.56.84:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-03-31 17:52:19","MalwareBazaar","Mustang Panda","SHA256","216989f56970e3ea045773224e82b2afe78ed29e49df7d044d5a5992d622d881","signature=; file=216989f56970e3ea045773224e82b2afe78ed29e49df7d044d5a5992d622d881.bin (tag=PlugX)",
"2026-03-31 14:25:17","MalwareBazaar","Mustang Panda","SHA256","af8bf1848b06c3a4236b13b57f88e9c2744bc3c3db2adc91dcbf320862dcc032","signature=; file=filedata.chm (tag=PlugX)",
"2026-03-27 18:50:13","MalwareBazaar","Mustang Panda","SHA256","aee2fe7d5f91f02d6b59d53493abaa819d0e2493a8eb89bb78124a4859faeefe","signature=; file=Intelnet.rar (tag=PlugX)",
"2026-03-27 09:46:22","MalwareBazaar","Mustang Panda","SHA256","a59cba001f2093aa44758293c6efca87110339e3c68fe25da49a986f948c16fb","signature=Cobalt Strike; file=Procexp.exe (tag=Cobalt Strike)",""
"2026-03-26 14:12:36","MalwareBazaar","Mustang Panda","SHA256","77472563931f3a24888298a3f770644f0d045997a20d0ccdbbac1363bbab62d0","signature=; file=crashhandler.dll (tag=PlugX)",
"2026-03-26 13:50:57","MalwareBazaar","Mustang Panda","SHA256","2a38b76f5f3dc6445604400228cb46f879362b2d873be63cd1252ec7d800ee13","signature=; file=2026-03-26.rar (tag=PlugX)",
"2026-03-24 13:47:06","MalwareBazaar","Mustang Panda","SHA256","c23c9b0248323334f8706fa7890d8b8822fd3dba2aeff10aafd25033de646fa2","signature=PlugX; file=AAM UpdatesEqn.rar (tag=PlugX)",
"2026-03-24 10:56:28 UTC","ThreatFox","Mustang Panda","Domain","airportcarrentalmiami.com","threat=botnet_cc; malware=win.plugx (tag=PlugX)",
"2026-03-24 10:56:28 UTC","ThreatFox","Mustang Panda","Domain","coastallasercompany.com","threat=botnet_cc; malware=win.plugx (tag=PlugX)",
"2026-03-19 13:36:08","MalwareBazaar","Mustang Panda","SHA256","bcd30f2116f5ba6731c628483d597b2ba3620ed464c63875855906306beb102a","signature=PlugX; file=OECD_Update_on_implications_for_energy_markets_of_events_in_the_Middle_East.zip (tag=PlugX)",
"2026-03-19 04:01:17","MalwareBazaar","Mustang Panda","SHA256","2d2a5ab13081475c1b5760c2237c8ed0dd4c3d79b1d4fb34d4241ca28e512aa9","signature=Cobalt Strike; file=4jgad.exe (tag=Cobalt Strike)",""
"2026-03-18 18:00:05 UTC","ThreatFox","Mustang Panda","IP","78.155.221.67:8078","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-03-17 05:42:13","MalwareBazaar","Mustang Panda","SHA256","de13e4b4368fbe8030622f747aed107d5f6c5fec6e11c31060821a12ed2d6ccd","signature=PlugX; file=Energy_Infrastructure_Situation_Note _Tehran_Province_2026.zip (tag=PlugX)",
"2026-03-15 07:00:22","MalwareBazaar","Mustang Panda","SHA256","905fcd2566eb979d9ca4e63c7113346d86707f6ae70e325d0e85194acd721bf4","signature=Cobalt Strike; file=CobaltStrike.exe (tag=Cobalt Strike)",
"2026-03-13 14:35:12","MalwareBazaar","Mustang Panda","SHA256","168cc168723a7f267d476c3b334f064354ccdc19b70cb140d1b49128705ab587","signature=Cobalt Strike; file=168cc168723a7f267d476c3b334f064354ccdc19b70cb.dll (tag=Cobalt Strike)",""
