"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-20 08:01:11 UTC","ThreatFox","Salt Typhoon","IP","65.20.97.249:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-03-19 12:01:02 UTC","ThreatFox","Salt Typhoon","IP","139.84.131.21:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-18 20:00:59 UTC","ThreatFox","Salt Typhoon","IP","104.238.148.158:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-03-16 08:00:58 UTC","ThreatFox","Salt Typhoon","IP","195.133.11.223:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-03-16 08:00:57 UTC","ThreatFox","Salt Typhoon","IP","139.180.211.117:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-02-13 07:07:45 UTC","ThreatFox","Salt Typhoon","IP","140.238.72.142:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-02-07 22:42:59","MalwareBazaar","Salt Typhoon","SHA256","0e74d57f572e384ad179ad8aa094cbdc92a6abbcc77eeb658fc05743ffd94e68","signature=; file=FmApp.dll (tag=FamousSparrow)",""
"2026-02-07 08:00:50 UTC","ThreatFox","Salt Typhoon","IP","207.148.97.65:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-31","VirusTotal (Fallback)","Salt Typhoon","SHA256","d4f354108f02175b2b78b401ff8a0a582a6cb0ee9baf3827d357a8f5c37f3d86","Text Match: FamousSparrow","https://www.virustotal.com/gui/file/d4f354108f02175b2b78b401ff8a0a582a6cb0ee9baf3827d357a8f5c37f3d86"
"2026-01-28 04:05:05 UTC","ThreatFox","Salt Typhoon","IP","45.77.176.85:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-28","VirusTotal (Fallback)","Salt Typhoon","SHA256","964596a1fc3bdb4cea0e2006de28d28dfc84aaf68c4e880615d293239665e52b","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/964596a1fc3bdb4cea0e2006de28d28dfc84aaf68c4e880615d293239665e52b"
"2026-01-28","VirusTotal (Fallback)","Salt Typhoon","SHA256","f110b14c44a16cdb25fd9daae68621c8f57dc3c3e3b6e66a19d96c563792c983","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/f110b14c44a16cdb25fd9daae68621c8f57dc3c3e3b6e66a19d96c563792c983"
"2026-01-16 11:07:55 UTC","ThreatFox","Salt Typhoon","IP","51.195.209.197:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-01-16 11:07:53 UTC","ThreatFox","Salt Typhoon","IP","51.68.204.240:8083","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-01-16 08:03:56 UTC","ThreatFox","Salt Typhoon","IP","13.115.238.220:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-11","VirusTotal (Fallback)","Salt Typhoon","SHA256","81a01518affc583b5635d048d45872c9786233a43bc4cb3c51bc6028bb46a6ee","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/81a01518affc583b5635d048d45872c9786233a43bc4cb3c51bc6028bb46a6ee"
"2026-01-11","VirusTotal (Fallback)","Salt Typhoon","SHA256","f4ee5391d878e57ffce60b5e4eb383f5738203c552a4cd75e40b100ddfcbf181","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/f4ee5391d878e57ffce60b5e4eb383f5738203c552a4cd75e40b100ddfcbf181"
"2026-01-09 06:47:10 UTC","ThreatFox","Salt Typhoon","Domain","mcafeeupdates.com","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
"2026-01-09 04:03:16 UTC","ThreatFox","Salt Typhoon","IP","65.20.75.136:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08T10:02:30Z","Cybersixgill","Salt Typhoon","Hash","6ca13d52ca70c883e0f0bb101e425a89e8624de51db2d2392593af6a84118090","Confidence: 75","N/A"
"2026-01-08T10:02:30Z","Cybersixgill","Salt Typhoon","Hash","6367c48dd193d56ea7b0baad25b19455e529f5ee","Confidence: 75","N/A"
"2026-01-08T10:02:30Z","Cybersixgill","Salt Typhoon","Hash","e99a18c428cb38d5f260853678922e03","Confidence: 80","N/A"
"2026-01-08 20:03:45 UTC","ThreatFox","Salt Typhoon","IP","149.104.104.76:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08 12:03:43 UTC","ThreatFox","Salt Typhoon","IP","217.69.1.147:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-08 08:03:11 UTC","ThreatFox","Salt Typhoon","IP","139.84.142.99:443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-07 12:29:00 UTC","ThreatFox","Salt Typhoon","Domain","www.kasperskysecure.com","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",
"2026-01-07","VirusTotal (Fallback)","Salt Typhoon","SHA256","10f0671b7aebc51776b2bcf45dddde11553f025f43185587fa15273510aff0f7","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/10f0671b7aebc51776b2bcf45dddde11553f025f43185587fa15273510aff0f7"
"2026-01-05","VirusTotal (Fallback)","Salt Typhoon","SHA256","bf4fab2e229c90aedecb0f68c0cf269e76240e03a28af7f9f004a5224dce8d48","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/bf4fab2e229c90aedecb0f68c0cf269e76240e03a28af7f9f004a5224dce8d48"
"2026-01-01","VirusTotal (Fallback)","Salt Typhoon","SHA256","8fa6f5b502794a5522a711d39d4e5a5fbee5421068090cb8278ce9a032ac80ac","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/8fa6f5b502794a5522a711d39d4e5a5fbee5421068090cb8278ce9a032ac80ac"
"2026-01-01","VirusTotal (Fallback)","Salt Typhoon","SHA256","e9686efddcf316bc5acc98d786ea2a76ae21542f69ab1314be3c746151f45e88","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/e9686efddcf316bc5acc98d786ea2a76ae21542f69ab1314be3c746151f45e88"
"2026-01-01","VirusTotal (Fallback)","Salt Typhoon","SHA256","507d36614b9ea3d5d391740d5169f1db68035d6f70032de7da4ff446e922c6ba","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/507d36614b9ea3d5d391740d5169f1db68035d6f70032de7da4ff446e922c6ba"
"2026-01-01","VirusTotal (Fallback)","Salt Typhoon","SHA256","53e470751fddd39d4c7284851fb7fbe0b4039e7a883c557d225eec9e77177499","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/53e470751fddd39d4c7284851fb7fbe0b4039e7a883c557d225eec9e77177499"
"2026-01-01","VirusTotal (Fallback)","Salt Typhoon","SHA256","19890292227647f56bc5d104b19737437a7882df20605dc4e67b465fb80cc8e0","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/19890292227647f56bc5d104b19737437a7882df20605dc4e67b465fb80cc8e0"
"2026-01-01","VirusTotal (Fallback)","Salt Typhoon","SHA256","7e430786267d3be28a06c730b809d7648507a7eace7d3fbece18c779f63e61b0","Text Match: Salt Typhoon","https://www.virustotal.com/gui/file/7e430786267d3be28a06c730b809d7648507a7eace7d3fbece18c779f63e61b0"
"2025-12-26 08:01:50 UTC","ThreatFox","Salt Typhoon","IP","38.60.250.74:8443","threat=botnet_cc; malware=win.shadowpad (tag=ShadowPad)",""
