"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"24480dbe306597da1ba393b6e30d542673066f98826cc07ac4b9033137f37dbf","Hash","AlienVault ,darkfeed","90","10/28/2025-08:48:28","18"
"edcf76600cd11ef7d6a5c319087041abc604e571239fe2dae4bca83688821a3a","Hash","darkfeed ,AlienVault","90","10/28/2025-08:48:14","4"
"15649e4d246fe6d03dc75ecb4cabe5d1f8723519ed8dd3176e1a97325e827daf","Hash","AlienVault","60","10/28/2025-08:48:00","1"
"9f2434d5f8d042323cc7964520d99bda661bb23ce505cb03c8a07758bc9397a6","Hash","AlienVault","60","10/28/2025-08:47:46","1"
"e23d5cb32a2d62314a8b26a205b634ee968f5a0500c190bc6edb55ec70285eb5","Hash","AlienVault","60","10/28/2025-08:47:33","1"
"3a55d8f8f29716c694671834d8c6cb29","Hash","AlienVault ,darkfeed","82","10/10/2025-05:46:03","2"
"aa0b7d4d3e1638a9c622779d27b5ee9118352b6e","Hash","AlienVault ,darkfeed","82","10/10/2025-05:46:03","2"
"12f177290a299bae8a363f47775fb99f305bbdd56bbdfddb39595b43112f9fb7","Hash","AlienVault ,darkfeed","90","10/10/2025-05:46:03","3"
"7883afb713379d375b35c26d40eca326e6f73286","Hash","AlienVault ,darkfeed","75","10/10/2025-05:45:32","2"
"a29125333ad72138d299cc9ef09718ddb417c3485f6b8fe05ba88a08bb0e5023","Hash","AlienVault ,darkfeed","90","10/10/2025-05:45:32","3"
"e1d09a8c3787255e4b24bb9866c97faf","Hash","AlienVault ,darkfeed","75","10/10/2025-05:45:32","2"
"a2b70ca589a584e5ac214283935a6c3af890aa3a","Hash","AlienVault ,darkfeed","80","10/09/2025-10:55:15","2"
"9cd740d0de919819ad00f73665c40500","Hash","darkfeed ,AlienVault","75","10/09/2025-10:55:15","10"
"c74897b1e986e2876873abb3b5069bf1b103667f7f0e6b4581fbda3fd647a74a","Hash","AlienVault ,darkfeed","90","10/09/2025-10:55:15","11"
"409a8fe50deb42fc7afc526816fd037f1bf2d709","Hash","darkfeed ,AlienVault","75","10/09/2025-10:55:15","10"
"6795c530e941ee7e4b0ee0458362c95d","Hash","AlienVault ,darkfeed","80","10/09/2025-10:55:15","2"
"649bdaa38e60ede6d140bd54ca5412f1091186a803d3905465219053393f6421","Hash","AlienVault ,darkfeed","90","10/09/2025-10:55:15","3"
"7c0fe1cd06e64ea4e41823d2810c80aad5ed2c19","Hash","Malware Bazaar ,darkfeed ,AlienVault","80","09/26/2025-08:10:22","13"
"d6da885c90a5d1fb88d0a3f0b5d9817a82d5772d5510a0773c80ca581ce2486d","Hash","Malware Bazaar ,darkfeed ,AlienVault","90","09/26/2025-08:10:22","14"
"6edce6c34434fbf2a3491e60534fda0a","Hash","Malware Bazaar ,darkfeed ,AlienVault","80","09/26/2025-08:10:22","13"
"6d0cc6349a951f0b52394ad3436d1656ec5fba6a","Hash","darkfeed ,AlienVault","75","09/23/2025-02:02:24","4"
"a204a48496b54bcb7ae171ad435997b92eb746b5718f166b3515736ee34a65b4","Hash","darkfeed ,AlienVault","75","09/23/2025-02:02:24","5"
"b3a099ecca79503a0e4a154bd85d3e6b","Hash","darkfeed ,AlienVault","75","09/23/2025-02:02:24","5"
"de25be0afd53a1d274eec02e5303622fc8e7dbd5","Hash","AlienVault ,darkfeed","70","09/20/2025-05:03:49","3"
"bfbeac96a385b1e5643ec0752b132506","Hash","darkfeed ,AlienVault","70","09/18/2025-16:21:43","3"
"996c7bcec3c12c3462220fc2c19d61ccc039005ef5e7c8fabc0b34631a31abb1","Hash","AlienVault","60","09/17/2025-18:18:36","2"
"2bae4487ccb7cb14ea48947725c452ac","Hash","AlienVault ,darkfeed","75","09/14/2025-17:52:07","14"
"92bb4ddb98eeaf11fc15bb32e71d0a63256a0ed826a03ba293ce3a8bf057a514","Hash","AlienVault ,darkfeed","80","09/14/2025-17:52:07","25"
"f5b60a8ead96703080e73a1f79c3e70ff44df271","Hash","darkfeed ,AlienVault","75","09/14/2025-17:52:07","24"
"02b4571470d83163d103112f07f1c434","Hash","darkfeed ,AlienVault","75","09/14/2025-17:52:07","24"
"ffe18db834403070a7e5ab8c0a19637c64f32a4d","Hash","AlienVault ,darkfeed","75","09/14/2025-17:52:07","15"
"c27b725ff66fdfb11dd6487a3815d1d1eba89d61b0e919e4d06ed3ac6a74fe94","Hash","Malware Bazaar ,darkfeed ,AlienVault","90","09/14/2025-17:52:07","10"
