"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2023-09-21 10:02:46","MalwareBazaar","Tick","SHA256","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","signature=; file=MySnake.EXE (tag=TAG-74)",""
"2023-09-21 10:02:27","MalwareBazaar","Tick","SHA256","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","signature=; file=ccf6f2a214515d1e744c84fa1a24070d.exe (tag=TAG-74)",""
"2023-09-21 10:02:08","MalwareBazaar","Tick","SHA256","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","signature=; file=msfltr32.exe (tag=TAG-74)",
"2023-09-21 10:01:41","MalwareBazaar","Tick","SHA256","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","signature=; file=fca35201477c24780e5258c633f09c8f.exe (tag=TAG-74)",
"2023-09-21 10:01:19","MalwareBazaar","Tick","SHA256","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","signature=RaccoonStealer; file=54e8ef4a553687f5421256f9b792327c.exe (tag=TAG-74)",""
"2019-03-26","Trend Micro","Tick","Domain","winliveupdater.com","Tick/Bronze Butler C2 fake Windows update domain - Operation ENDTRADE","https://www.trendmicro.com/en_us/research/19/c/operation-endtrade-multi-stage-backdoors-for-attack-on-defense-and-aerospace-industries.html"
"2019-03-26","Trend Micro","Tick","Domain","asushotfix.com","Tick/Bronze Butler watering hole domain abusing ASUS brand - Operation ENDTRADE","https://www.trendmicro.com/en_us/research/19/c/operation-endtrade-multi-stage-backdoors-for-attack-on-defense-and-aerospace-industries.html"
"2019-03-26","Trend Micro","Tick","Domain","updata.online","Tick/Bronze Butler C2 update domain - Operation ENDTRADE","https://www.trendmicro.com/en_us/research/19/c/operation-endtrade-multi-stage-backdoors-for-attack-on-defense-and-aerospace-industries.html"
"2019-03-26","Trend Micro","Tick","Domain","kiaralife.com","Tick/Bronze Butler C2 domain - Trend Micro Operation ENDTRADE report","https://www.trendmicro.com/en_us/research/19/c/operation-endtrade-multi-stage-backdoors-for-attack-on-defense-and-aerospace-industries.html"
"2019-03-26","Trend Micro","Tick","Domain","asus-update.com","Tick/Bronze Butler watering hole domain abusing ASUS brand - Operation ENDTRADE","https://www.trendmicro.com/en_us/research/19/c/operation-endtrade-multi-stage-backdoors-for-attack-on-defense-and-aerospace-industries.html"
"2019-03-26","Trend Micro","Tick","Domain","trend-micro.net","Tick/Bronze Butler masquerade domain abusing Trend Micro brand - Operation ENDTRADE","https://www.trendmicro.com/en_us/research/19/c/operation-endtrade-multi-stage-backdoors-for-attack-on-defense-and-aerospace-industries.html"
"2015-04-14","JPCERT/CC","Tick","Domain","oilexpert.com","Tick/Bronze Butler C2 domain - JPCERT/CC analysis of Daserf/Minzen campaigns","https://www.jpcert.or.jp/english/pub/sr/ir_research.html"
"2015-04-14","JPCERT/CC","Tick","Domain","tokiku.net","Tick/Bronze Butler C2 domain - JPCERT/CC Tick group report","https://www.jpcert.or.jp/english/pub/sr/ir_research.html"
"2015-04-14","JPCERT/CC","Tick","Domain","oilexpert.net","Tick/Bronze Butler C2 domain - JPCERT/CC analysis of Daserf/Minzen campaigns","https://www.jpcert.or.jp/english/pub/sr/ir_research.html"
