"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-28 08:30:17","MalwareBazaar","UNC6384","SHA256","3b071d36ffa393a8891832590304b21ee9017b4977a747917e6c6116596851da","signature=BPFDoor; file=3b071d36ffa393a8891832590304b21ee9017b4977a747917e6c6116596851da (tag=BPFDoor)",
"2026-03-28 08:30:10","MalwareBazaar","UNC6384","SHA256","3e01a4bd73b3567f59bd80c7349e3b7ce85c15a6d94016ddfcd0bf3f239684dc","signature=BPFDoor; file=3e01a4bd73b3567f59bd80c7349e3b7ce85c15a6d94016ddfcd0bf3f239684dc (tag=BPFDoor)",
"2026-03-28 08:29:58","MalwareBazaar","UNC6384","SHA256","adfdd11d69f4e971c87ca5b2073682d90118c0b3a3a9f5fbbda872ab1fb335c6","signature=BPFDoor; file=adfdd11d69f4e971c87ca5b2073682d90118c0b3a3a9f5fbbda872ab1fb335c6 (tag=BPFDoor)",
"2026-03-28 08:29:48","MalwareBazaar","UNC6384","SHA256","123eb70723e4a186fa83ea5760a1ae0e16cffd76a62e6464d5b79b8d0979a7a7","signature=BPFDoor; file=123eb70723e4a186fa83ea5760a1ae0e16cffd76a62e6464d5b79b8d0979a7a7 (tag=BPFDoor)",
"2026-03-28 08:29:42","MalwareBazaar","UNC6384","SHA256","29e1b75c659eabbd9977867f1adc876df2c11c1ae411fade20a0561f58f64baf","signature=BPFDoor; file=29e1b75c659eabbd9977867f1adc876df2c11c1ae411fade20a0561f58f64baf (tag=BPFDoor)",
"2026-03-28 08:29:35","MalwareBazaar","UNC6384","SHA256","785538b21bf8c9f142bb5565f42d5da5e5150dea63eddd5c1b714dc6306c96ae","signature=BPFDoor; file=785538b21bf8c9f142bb5565f42d5da5e5150dea63eddd5c1b714dc6306c96ae (tag=BPFDoor)",
"2026-03-28 08:29:29","MalwareBazaar","UNC6384","SHA256","ed768dd922742a597257ad684820d7562bb6be215710ec614bd041a22f3d6863","signature=BPFDoor; file=ed768dd922742a597257ad684820d7562bb6be215710ec614bd041a22f3d6863 (tag=BPFDoor)",
"2026-03-28 08:29:21","MalwareBazaar","UNC6384","SHA256","dcb4872d437a14dc814015bf749fb2caf4cc5cb1776118c7e1748a4f657b303e","signature=BPFDoor; file=2025-12-14_3519460043945db8cae025e1d60a0bd5_bpfdoor_helldown (tag=BPFDoor)",
"2026-03-28 08:29:13","MalwareBazaar","UNC6384","SHA256","1f4bde6295973e54ca0bb67c532095559bed024186219d8d0b4323b9750d82f2","signature=BPFDoor; file=2025-12-13_6e5231ba10d4c2fd53787d2887acbe9d_bpfdoor_helldown (tag=BPFDoor)",
"2026-02-13 05:59:20","MalwareBazaar","UNC6384","SHA256","8e9c2c28288bdbb846a30fffc8eada6d4da66f5823a613952f2dbb88c292da6e","signature=; file=Election Commission dinner party registration notice and guidelines February 2026.lnk (tag=UNC6384)",
"2026-02-06 14:18:59","MalwareBazaar","UNC6384","SHA256","46314092c8d00ab93cbbdc824b9fc39dec9303169163b9625bae3b1717d70ebc","signature=PlugX; file=Avk.dll (tag=UNC6384)",
"2025-10-02 17:24:47","MalwareBazaar","UNC6384","SHA256","bb491248bb8f6067af39e196b11f4e408a7a3885704cadbd4266db52ae4b03e2","signature=PlugX; file=Agenda_Meeting 26 Sep Brussels.zip (tag=UNC6384)",
