"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-07 11:21:52","MalwareBazaar","Velvet Ant","SHA256","843b22df66f87a587be77145da163f9615fe8164a5ea17f9e33562ff43894fbf","signature=PlugX; file=843b22df66f87a587be77145da163f9615fe8164a5ea17f9e33562ff43894fbf (tag=PlugX)",
"2026-04-07 10:03:29","MalwareBazaar","Velvet Ant","SHA256","fff7864019b651bea2448228d6557d995edc929276bb9d8cb34c3c280a42684e","signature=; file=e-Fatura.chm (tag=PlugX)",
"2026-04-07 09:57:34","MalwareBazaar","Velvet Ant","SHA256","fa3a1153018ac1e1a35a65e445a2bad33eac582c225cf6c38d0886802481cd43","signature=PlugX; file=photo_2026-03-01_01-20-48.pdf.lnk (tag=PlugX)",
"2026-04-03 18:26:42","MalwareBazaar","Velvet Ant","SHA256","1daade171b2f029c80787880db2ce893e5f1252facb6980fb7a93cb0dbb014c3","signature=; file=1.zip (tag=PlugX)",
"2026-04-02 09:19:49","MalwareBazaar","Velvet Ant","SHA256","a059d70e4f9095f167bd34ea4dfdab33be8f599907daefbd05f2ba3f2d6302be","signature=; file=ЕС-аас Хөндөж болзошгүй асуудал.zip (tag=PlugX)",
"2026-03-31 17:52:19","MalwareBazaar","Velvet Ant","SHA256","216989f56970e3ea045773224e82b2afe78ed29e49df7d044d5a5992d622d881","signature=; file=216989f56970e3ea045773224e82b2afe78ed29e49df7d044d5a5992d622d881.bin (tag=PlugX)",
"2026-03-31 14:25:17","MalwareBazaar","Velvet Ant","SHA256","af8bf1848b06c3a4236b13b57f88e9c2744bc3c3db2adc91dcbf320862dcc032","signature=; file=filedata.chm (tag=PlugX)",
"2026-03-27 18:50:13","MalwareBazaar","Velvet Ant","SHA256","aee2fe7d5f91f02d6b59d53493abaa819d0e2493a8eb89bb78124a4859faeefe","signature=; file=Intelnet.rar (tag=PlugX)",
"2026-03-26 14:12:36","MalwareBazaar","Velvet Ant","SHA256","77472563931f3a24888298a3f770644f0d045997a20d0ccdbbac1363bbab62d0","signature=; file=crashhandler.dll (tag=PlugX)",
"2026-03-26 13:50:57","MalwareBazaar","Velvet Ant","SHA256","2a38b76f5f3dc6445604400228cb46f879362b2d873be63cd1252ec7d800ee13","signature=; file=2026-03-26.rar (tag=PlugX)",""
"2026-03-24 13:47:06","MalwareBazaar","Velvet Ant","SHA256","c23c9b0248323334f8706fa7890d8b8822fd3dba2aeff10aafd25033de646fa2","signature=PlugX; file=AAM UpdatesEqn.rar (tag=PlugX)",
"2026-03-24 10:56:28 UTC","ThreatFox","Velvet Ant","Domain","coastallasercompany.com","threat=botnet_cc; malware=win.plugx (tag=PlugX)",""
"2026-03-24 10:56:28 UTC","ThreatFox","Velvet Ant","Domain","airportcarrentalmiami.com","threat=botnet_cc; malware=win.plugx (tag=PlugX)",""
"2026-03-19 13:36:08","MalwareBazaar","Velvet Ant","SHA256","bcd30f2116f5ba6731c628483d597b2ba3620ed464c63875855906306beb102a","signature=PlugX; file=OECD_Update_on_implications_for_energy_markets_of_events_in_the_Middle_East.zip (tag=PlugX)",
"2026-03-17 05:42:13","MalwareBazaar","Velvet Ant","SHA256","de13e4b4368fbe8030622f747aed107d5f6c5fec6e11c31060821a12ed2d6ccd","signature=PlugX; file=Energy_Infrastructure_Situation_Note _Tehran_Province_2026.zip (tag=PlugX)",""
"2026-03-09 17:11:38","MalwareBazaar","Velvet Ant","SHA256","fca258cb72b64fcb64ecfe1b908b3ef43b6b2a842b18d6cd41a8b7f507d49849","signature=PlugX; file=09032026_1533_GIẤY MỜI.doc.lnk.msi (tag=PlugX)",""
"2026-03-07 20:10:31","MalwareBazaar","Velvet Ant","SHA256","b963a90730a0ac04e07f18e1cdcf9289c9e0aed336e448d3cf670bc13d000f3e","signature=PlugX; file=Smadav.zip (tag=PlugX)",""
"2026-03-04 06:42:29","MalwareBazaar","Velvet Ant","SHA256","44cfba85aa27265779b01f6eb8b69718462b1ca8078b21066061e8d1622dff7a","signature=PlugX; file=crashhandler.dll (tag=PlugX)",
"2026-03-03 16:53:54","MalwareBazaar","Velvet Ant","SHA256","601ae63ee59288a2e36f0b0d4f7bc0bfb40f0489995343c955db7d9ded469478","signature=PlugX; file=6z03.msi (tag=PlugX)",
"2026-03-03 10:47:20","MalwareBazaar","Velvet Ant","SHA256","2d018036c7d6ae9b2ee1e9cf63e5c31bc76b90fe93f6faf2485e0115e43f4316","signature=PlugX; file=IMG_20260301_0001.zip (tag=PlugX)",""
"2026-03-02 07:58:35","MalwareBazaar","Velvet Ant","SHA256","f4e2293c67c35fcbf4b07e37f6839f6fafdb52c2eaff9a435cf93e83dc331b65","signature=PlugX; file=RBGUIFramework.dll (tag=PlugX)",""
"2026-02-22 20:49:15","MalwareBazaar","Velvet Ant","SHA256","33a98e51ccdd67b6679e571e40b990f20392c21ed1b2618e10b79c2ae4a88b23","signature=PlugX; file=AvastSvcpCP.rar (tag=PlugX)",""
"2026-02-06 14:18:59","MalwareBazaar","Velvet Ant","SHA256","46314092c8d00ab93cbbdc824b9fc39dec9303169163b9625bae3b1717d70ebc","signature=PlugX; file=Avk.dll (tag=PlugX)",""
"2026-01-18 20:25:23","MalwareBazaar","Velvet Ant","SHA256","37cd227f0d5aabed9eedbf30509b5354f075bea3af327c9c0bb8afba7b06e4f6","signature=BruteRatel; file=crashlog_decrypted.dll (tag=PlugX)",""
"2026-01-18 20:23:26","MalwareBazaar","Velvet Ant","SHA256","c6433d9aafb4400c2fb6f772534171b39eff7e1287ce95a3024c943e2310fa5f","signature=BruteRatel; file=steam_monitor_02F90000.dll (tag=PlugX)",
"2026-01-18 15:54:10","MalwareBazaar","Velvet Ant","SHA256","db35155d33b616d4f7c268e78c8179eb84378778a4b195df09a8c36f2e5eb38b","signature=PlugX; file=ShaderCache.zip (tag=PlugX)",""
"2026-01-18 15:53:15","MalwareBazaar","Velvet Ant","SHA256","e1576d70328743c0efd688ffccc52b2487d097b5c8b558a34b62525509e6be5b","signature=PlugX; file=MPC-HC.zip (tag=PlugX)",
"2026-01-01 17:08:14","MalwareBazaar","Velvet Ant","SHA256","2a54d4e2cf5e15377b127c7c0a5d47f8ffde9c95ade9452d84432c797e1ffe3e","signature=PlugX; file=BEHO73UT-YPKW-5KPB-JTGK-QFJMJ1KKI2I0.zip (tag=PlugX)",""
"2025-12-30 07:52:20","MalwareBazaar","Velvet Ant","SHA256","a7161c9a7c54a47d27459655725d2ade242d0931d6272c75a36f07df45220b08","signature=PlugX; file=evv.msi (tag=PlugX)",""
"2025-12-29 10:34:29","MalwareBazaar","Velvet Ant","SHA256","52ca5ea7095e33bd7bb8f8b23413305dacf664c9154baca80b95a957549aa4eb","signature=PlugX; file=Logitech.zip (tag=PlugX)",""
"2025-12-17 12:04:04 UTC","ThreatFox","Velvet Ant","Domain","doorforum.com","threat=botnet_cc; malware=win.plugx (tag=PlugX)",
"2025-12-16 21:37:29","MalwareBazaar","Velvet Ant","SHA256","f772a89fd70aa30f456b016d679f8fe62860e5f1a5a3b494e9ff8e6fd143fc8c","signature=PlugX; file=wth.malz.msi (tag=PlugX)",
"2025-11-21 22:58:48","MalwareBazaar","Velvet Ant","SHA256","e036e2ba402d808adbb7982ec8d7a207849ff40456633b2b372bc7916d9dc22f","signature=PlugX; file=ATTD-ASIA-2025.zip (tag=PlugX)",""
"2025-11-21 22:50:12","MalwareBazaar","Velvet Ant","SHA256","0234a33c5424c3c7a3c7c8af9d5c69b116341c59efee6acdbcf6bfa07aff927b","signature=PlugX; file=gzv.msi (tag=PlugX)",""
"2025-11-10 19:32:05","MalwareBazaar","Velvet Ant","SHA256","8aebb2d4501bc4f0e682efbc5a75eb35f7ae4aa7dadfe159819f3e35f7de2ecd","signature=PlugX; file=cnapt.zip (tag=PlugX)",""
"2025-11-10 19:27:06","MalwareBazaar","Velvet Ant","SHA256","c4e3c29367426fe4ed718ab448fbdf2cf8690c81ea539805569cdff88317db9f","signature=PlugX; file=kqb.msi (tag=PlugX)",""
"2025-10-14 09:11:16","MalwareBazaar","Velvet Ant","SHA256","f04340f93e2f5f7d6d5521572f17c5b80f39984ee6b4b8c0899380e95a825127","signature=PlugX; file=rphbqultm.tar (tag=PlugX)",
"2025-10-03 07:07:42","MalwareBazaar","Velvet Ant","SHA256","f8d03814986599ed98ce8c83fbc9ce55b83095c179c54ec555c4ab372fa99700","signature=PlugX; file=aa.zip (tag=PlugX)",""
"2025-10-02 20:23:42","MalwareBazaar","Velvet Ant","SHA256","50d4e85e06048a5982d23216a37e5664d9d165da3c18c782747f71c2bd5733e3","signature=; file=gvtcqsiglutoofc.exe (tag=PlugX)",""
"2025-10-02 17:44:59","MalwareBazaar","Velvet Ant","SHA256","218ed813d8a4d9d05473338795021c66012cd6c36368561d3aaf831a5c494740","signature=PlugX; file=utensils.zip (tag=PlugX)",
"2025-10-02 17:24:47","MalwareBazaar","Velvet Ant","SHA256","bb491248bb8f6067af39e196b11f4e408a7a3885704cadbd4266db52ae4b03e2","signature=PlugX; file=Agenda_Meeting 26 Sep Brussels.zip (tag=PlugX)",
"2025-09-05 09:37:50","MalwareBazaar","Velvet Ant","SHA256","41af7a8f3cd507a46cd3fe32f7ea17978a19ee7828ef58eb790501fb8dc6c783","signature=PlugX; file=41af7a8f3cd507a46cd3fe32f7ea17978a19ee7828ef58eb790501fb8dc6c783 (tag=PlugX)",
"2025-09-04 07:45:43","MalwareBazaar","Velvet Ant","SHA256","7a49310a9192cab1aa05256b6ca0d0c1a54fe084b103ff4df2d17be9effa3300","signature=PlugX; file=No.4638.hta (tag=PlugX)",
"2025-08-30 11:16:43","MalwareBazaar","Velvet Ant","SHA256","eb5ca49b476448362c4c86af28fcabc3e9dc5953643a7ae40c9aa154da892444","signature=Plugx; file=Installer.exe (tag=PlugX)",
"2025-08-27 19:49:42","MalwareBazaar","Velvet Ant","SHA256","6042d92bb7e6c87f8116b5d7c1fbb1404b173ec54bc612d23612d4b7ea6332ec","signature=Rhadamanthys; file=Belium Updated.exe (tag=PlugX)",
"2025-08-27 19:34:23","MalwareBazaar","Velvet Ant","SHA256","d8bc6c1e95705c24896bc610dac007c110adc0eacb8b7642bbbb97c6f502febb","signature=Rhadamanthys; file=LuxuryLoader.exe (tag=PlugX)",""
"2025-08-27 12:09:50","MalwareBazaar","Velvet Ant","SHA256","40240267d6cbbf4fd4d513383d72166585a58f9219c401aa95138f13f1841422","signature=Rhadamanthys; file=setup.exe (tag=PlugX)",
"2025-08-26 14:58:23","MalwareBazaar","Velvet Ant","SHA256","6a958d6293d4eb0a6ac5c6d51e4f724331e76443e6f5e71e71d1dc3c0412f6c2","signature=Plugx; file=FlStudioV24.1.1.exe (tag=PlugX)",""
"2025-08-26 14:18:57","MalwareBazaar","Velvet Ant","SHA256","507cbfc9955d181c36020a5babe4df81b8ee8fe8bc6ca8a1b97b10d6f408fb5e","signature=PlugX; file=LicenseVersion.exe (tag=PlugX)",
"2025-08-26 06:19:52","MalwareBazaar","Velvet Ant","SHA256","dbd2ce81e6afa7817841043b2454b15fa75fc23ef6e4460c7f2842a573160d4e","signature=PlugX; file=3299866538aff40ca85276f87dd0cefe4eafe167bd64732d67b06af4f3349916_unpacked (tag=PlugX)",""
"2025-08-25 20:43:52","MalwareBazaar","Velvet Ant","SHA256","72d7af91dd80483929fa80d1302540b4decaf36551f4eaf6c362ff1e63658065","signature=NodeLoader; file=Belium V6.2.exe (tag=PlugX)",""
"2025-08-25 16:11:13","MalwareBazaar","Velvet Ant","SHA256","d4cf072a4ec325c4b06342c894eb0dd57f5d9e9e4a675bb0460ed8aaac4eff79","signature=Plugx; file=Belium V6.2.exe (tag=PlugX)",
"2025-08-25 12:34:24","MalwareBazaar","Velvet Ant","SHA256","362be376eeb6b823f662ab213160cc512fda3368aed2e2a8ab6f8af8837f03f1","signature=Plugx; file=Extreme Injector.exe (tag=PlugX)",
"2025-08-24 20:36:30","MalwareBazaar","Velvet Ant","SHA256","42cff3f3cf97e83b7312fd5bcfa4e6aca6acd46d74b60c5e68be3d2e5ad16690","signature=Plugx; file=Belium.exe (tag=PlugX)",
"2025-08-24 18:46:45","MalwareBazaar","Velvet Ant","SHA256","21382b355d4a7397b8d05e9ae2bb922fda100da0d30a211409454978718c0f65","signature=NodeLoader; file=Ioncore.exe (tag=PlugX)",""
"2025-08-21 20:50:59","MalwareBazaar","Velvet Ant","SHA256","44331f411c9d84ffafd882f465319c504ae87665ba3db73620537cf116f17f9f","signature=Plugx; file=NexoraLi.exe (tag=PlugX)",""
"2025-08-21 13:07:11","MalwareBazaar","Velvet Ant","SHA256","52f11b7c673ab81546f4da2e1ecb57663c5ae2e0c2d2c077b0c75fd75b4bec3a","signature=Plugx; file=launcher.exe (tag=PlugX)",
"2025-08-20 20:16:01","MalwareBazaar","Velvet Ant","SHA256","db3e3e3e6e836405c6f5accb97a290645365bd3c36db310259103fbc50e39e6c","signature=Plugx; file=Echelon.exe (tag=PlugX)",""
"2025-08-20 13:41:42","MalwareBazaar","Velvet Ant","SHA256","854c8a2bc48bced68b6c8d92fe3fadfc67df4f079af0a9714731c61bf3b684d6","signature=Plugx; file=FL Studio.exe (tag=PlugX)",""
"2025-08-13 15:13:36","MalwareBazaar","Velvet Ant","SHA256","441bfa53ac594f01c4f8ef146857c6bc70d67dbf4b3659e109b3f5221f2ae3e3","signature=Plugx; file=LuxuryLoader v2.exe (tag=PlugX)",
"2025-08-13 01:07:18","MalwareBazaar","Velvet Ant","SHA256","f0cac587aa5c5bac1d3ef6340010e1c8da45f7057dbdabf3f4a577da2d594b4a","signature=NodeLoader; file=Aeternus.exe (tag=PlugX)",
"2025-08-10 21:09:44","MalwareBazaar","Velvet Ant","SHA256","f4effcce32819bfe52b0698e2ec03c158f5e762ab5cc3f00c016070e59d0eb3c","signature=NodeLoader; file=Echelon.exe (tag=PlugX)",""
"2025-08-09 02:52:12","MalwareBazaar","Velvet Ant","SHA256","6ca2f6c6a4ab28c5be4f2de9911e7c03d66a25c8bc200a777fb8416720413bc6","signature=Plugx; file=Install.exe (tag=PlugX)",""
"2025-08-06 07:35:28","MalwareBazaar","Velvet Ant","SHA256","b555cc7919a0b90376cba6919e10d1dc8f78f7c67b566c30aaaed3c1b5942d93","signature=Plugx; file=Chronos.zip (tag=PlugX)",""
"2025-08-06 07:05:34","MalwareBazaar","Velvet Ant","SHA256","93f39d2c9ba3884e450052296725746f57c8f922b5a1cc64d8af33f315ef9292","signature=Plugx; file=Setup.exe (tag=PlugX)",
"2025-08-04 22:46:47","MalwareBazaar","Velvet Ant","SHA256","ea59900f715ccbcbe962bc2cc7eb7da7b7bc9c0bb080d7db65c4c807d3794753","signature=NodeLoader; file=GameChange.exe (tag=PlugX)",
"2025-08-03 06:55:35","MalwareBazaar","Velvet Ant","SHA256","e7653831ba1f515f04f25ce764f23fd2140bd8fdd1d6d203dd532913a238b5d5","signature=Plugx; file=AppLauncher.exe (tag=PlugX)",
"2025-08-02 11:34:41","MalwareBazaar","Velvet Ant","SHA256","1e44a6fa4ceb0a04c99b89984dfb501453e90e29e702e5459e9c8a4a7c99d94b","signature=Plugx; file=SkinChanger.exe (tag=PlugX)",""
"2025-08-01 23:02:00","MalwareBazaar","Velvet Ant","SHA256","86053485079f67a5626758445e8226155b9493f2a2e4d2cbf6e4b877eaae2edb","signature=Plugx; file=PhantomStart.exe (tag=PlugX)",
"2025-08-01 22:45:34","MalwareBazaar","Velvet Ant","SHA256","0df00b145a9a4c2b45ca0377ce972a3680da8efdfefacfb3f30e970618143c40","signature=Plugx; file=Echelon.exe (tag=PlugX)",
