"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2025-11-17T08:17:36Z","Cybersixgill","Agrius","Hash","dcbbae5a1c61dbbbb7dcd6dc5dd1eb1169f5329958d38b58c3fd9384081c9b78","Confidence: 90","N/A"
"2025-11-17T08:17:36Z","Cybersixgill","Agrius","Hash","a196c6b8ffcb97ffb276d04f354696e2391311db3841ae16c8c9f56f36a38e92","Confidence: 90","N/A"
"2025-09-02T15:10:18Z","Cybersixgill","Agrius","Hash","6bb092b33f86c0ef2e9d6d0ccb0d1a6f478d3725","Confidence: 80","N/A"
"2025-09-02T15:10:18Z","Cybersixgill","Agrius","Hash","e3bacf86b4e96aa5e8ce56fe71736fbf2643a2f47947da58fb600d2f9b25ae5ba6370ae460be4bea044197be29872250","Confidence: 80","N/A"
"2025-09-02T15:10:18Z","Cybersixgill","Agrius","Hash","f6db77be038980e9dbbf9f11e0f7ae7d2d4d3f1a53199958f1f55137dde5efd3","Confidence: 80","N/A"
"2025-09-02T15:10:18Z","Cybersixgill","Agrius","Hash","213c7af6fbbe05f9e4f4ed6ee8533a87","Confidence: 80","N/A"
"2025-06-20T12:06:59Z","Cybersixgill","Agrius","Hash","067bdb137d527f6986629dd63357592e8ad7ea92","Confidence: 60","N/A"
"2025-06-20T12:06:32Z","Cybersixgill","Agrius","Hash","9c9a5184ba377bce87fb3b4483331866f392afde","Confidence: 60","N/A"
"2025-05-08T01:22:53Z","Cybersixgill","Agrius","Hash","26cc5a6cfd8e8ecc433337413c14cddb","Confidence: 90","N/A"
"2025-05-05T22:01:19Z","Cybersixgill","Agrius","Hash","9555e50f1ce92fc34b3efcf5bcd69592","Confidence: 90","N/A"
"2025-05-05T22:00:47Z","Cybersixgill","Agrius","Hash","57d5e76b55203b251b8ff7b2a718daf8","Confidence: 90","N/A"
"2025-05-05T22:00:14Z","Cybersixgill","Agrius","Hash","2c1fccbb059bfc90039ce678e0922b89","Confidence: 90","N/A"
"2025-05-05T21:59:20Z","Cybersixgill","Agrius","Hash","d5b278409ef9041b9c6c79c2d2127f1a","Confidence: 90","N/A"
"2025-05-05T21:59:06Z","Cybersixgill","Agrius","Hash","ce6d8c95f9aa842659891ca3cbace4ef","Confidence: 60","N/A"
"2025-05-05T21:58:11Z","Cybersixgill","Agrius","Hash","81249ed69d699e40dfb9164f6766e8cd","Confidence: 70","N/A"
"2025-05-05T21:57:58Z","Cybersixgill","Agrius","Hash","79329dcb75e357378074e711ce22f9fc","Confidence: 60","N/A"
"2025-05-05T21:57:19Z","Cybersixgill","Agrius","Hash","65d4468189505bb4d791c4341c645033","Confidence: 90","N/A"
"2025-05-05T21:57:04Z","Cybersixgill","Agrius","Hash","5a99eecc870ee5cf8d3c3f77a4c9f7ab","Confidence: 90","N/A"
"2025-05-05T21:55:26Z","Cybersixgill","Agrius","Hash","0742732897c751326aac7d74488b1727","Confidence: 90","N/A"
"2025-05-05T21:52:37Z","Cybersixgill","Agrius","Hash","79ad5e30bd7c65b553325bdc5f386a90","Confidence: 90","N/A"
"2025-05-05T21:51:37Z","Cybersixgill","Agrius","Hash","67d0b60d791915df75205fd0e288a4e7","Confidence: 90","N/A"
"2025-05-05T21:51:03Z","Cybersixgill","Agrius","Hash","434f9f760f3b7e44e6a15eb68c867882","Confidence: 90","N/A"
"2025-05-05T21:50:25Z","Cybersixgill","Agrius","Hash","13ef3acf8f97ecb363db03884ebe424b","Confidence: 60","N/A"
"2025-05-05T21:50:11Z","Cybersixgill","Agrius","Hash","dd19e7fd01fb7c06f4272c8de7a0f0eb","Confidence: 90","N/A"
"2025-05-05T21:49:57Z","Cybersixgill","Agrius","Hash","cad072625f58988f1773fb23e9e38ff0","Confidence: 90","N/A"
"2025-05-05T21:47:32Z","Cybersixgill","Agrius","Hash","2cf020fa3f37bbffd38584ba9a760d46","Confidence: 90","N/A"
"2025-05-05T21:47:00Z","Cybersixgill","Agrius","Hash","e41070220166e68043d19c86c9f7eb1b","Confidence: 90","N/A"
"2025-05-05T21:46:29Z","Cybersixgill","Agrius","Hash","c5df79623d1557d559f3add2c5559230","Confidence: 90","N/A"
"2025-05-05T21:45:58Z","Cybersixgill","Agrius","Hash","5757874c90b7195e09be379b05ac125f","Confidence: 90","N/A"
"2025-05-05T21:45:44Z","Cybersixgill","Agrius","Hash","3d17b0d5c46cab18b9b42bbb0279a4c5","Confidence: 90","N/A"
"2025-05-05T21:44:46Z","Cybersixgill","Agrius","Hash","0c3f83b455aafd1fa11b4fb436b36393","Confidence: 80","N/A"
"2025-05-05T14:00:49Z","Cybersixgill","Agrius","Hash","e347ae304fafbe5ff8ea4209cbb7bea6f8de80dc","Confidence: 78","N/A"
"2025-05-05T14:00:49Z","Cybersixgill","Agrius","Hash","56ee8c80e41dc01ea0243f68520b95fc","Confidence: 78","N/A"
"2025-05-05T14:00:49Z","Cybersixgill","Agrius","Hash","e000a185be1a4c0d10ffb97e67a7cbbd773d3caac4cdf88148d320e0f4c49fe2","Confidence: 78","N/A"
"2025-05-05T14:00:16Z","Cybersixgill","Agrius","Hash","001a26aa4449cc1eba443babb60e828ce36c47c9","Confidence: 78","N/A"
"2025-05-05T14:00:16Z","Cybersixgill","Agrius","Hash","ddf43bb27ddcc7fdd51c87932adc1a6eb439d732eeb7f59a0dc37cea72e50d48","Confidence: 78","N/A"
"2025-05-05T14:00:16Z","Cybersixgill","Agrius","Hash","262fbf3b9a4d292fd300c563acf4451d","Confidence: 78","N/A"
"2025-05-05T13:57:59Z","Cybersixgill","Agrius","Hash","50ffe8bb33bb031cbb8dfde9e58e97e1464e99b87ee3ef73baef19c3c770b734","Confidence: 74","N/A"
"2025-05-05T13:57:59Z","Cybersixgill","Agrius","Hash","5d5aa3ad31e6bda3c22d627d4f61dff9b74dedae","Confidence: 74","N/A"
"2025-05-05T13:57:59Z","Cybersixgill","Agrius","Hash","6b3635092a48e5baccb7f7863d4672af","Confidence: 90","N/A"
"2025-05-05T13:56:52Z","Cybersixgill","Agrius","Hash","400b502204f2ec5198417adc8e3228cc","Confidence: 74","N/A"
"2025-05-05T13:56:52Z","Cybersixgill","Agrius","Hash","c3bf8a9e899db12980377aa1b48e4ad268e2af14","Confidence: 74","N/A"
"2025-05-05T13:56:52Z","Cybersixgill","Agrius","Hash","c6e23ace4229bf2122950f0a6dfbf739fac3d991f731b738e43b91634ce5c47f","Confidence: 74","N/A"
