"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"tlgrm-redirect.icu","Domain","AlienVault ,ThreatFox","60","10/25/2025-12:05:48","2"
"op-c.net","Domain","AlienVault","60","09/19/2025-08:08:10","1"
"precisionsec.com","Domain","AlienVault","60","09/15/2025-10:05:51","3"
"pushtorm.net","Domain","AlienVault","60","08/22/2025-10:45:25","1"
"my1cloudlive.com","Domain","AlienVault","60","08/22/2025-05:37:50","1"
"my2cloudlive.com","Domain","AlienVault","60","08/22/2025-05:37:35","2"
"my-sharepoint-inc.com","Domain","AlienVault","60","08/22/2025-05:37:21","2"
"tameemnihar.com","Domain","AlienVault","90","08/08/2025-01:53:45","10"
"gstatic-node.io","Domain","AlienVault ,ThreatFox","90","08/02/2025-04:37:06","15"
"filetransfer.io","Domain","AlienVault","90","07/31/2025-16:46:20","3"
"update-checker-status.cc","Domain","AlienVault","60","07/01/2025-12:20:12","13"
"twist2katz.com","Domain","AlienVault","60","06/25/2025-23:55:40","3"
"katz-stealer.com","Domain","AlienVault","60","06/25/2025-23:55:12","4"
"microads.top","Domain","AlienVault","60","06/25/2025-07:06:49","3"
"captchaguard.me","Domain","AlienVault","60","06/25/2025-06:55:39","4"
"zeralot.ru","Domain","AlienVault","60","06/20/2025-19:58:38","1"
"zeinare.ru","Domain","AlienVault","60","06/20/2025-19:58:24","1"
"vostilo.ru","Domain","AlienVault","60","06/20/2025-19:56:55","1"
"zeinar.ru","Domain","AlienVault","60","06/20/2025-19:56:29","1"
"outinfo.ru","Domain","AlienVault","60","06/16/2025-11:21:37","4"
"unifikator.ru","Domain","AlienVault","60","06/16/2025-11:20:57","4"
"email-office.ru","Domain","AlienVault","60","06/16/2025-11:20:14","2"
"detectis.ru","Domain","AlienVault","60","06/16/2025-11:20:01","3"
"center-mail.ru","Domain","AlienVault","60","06/16/2025-11:19:48","3"
"anyinfos.ru","Domain","AlienVault","60","06/16/2025-11:19:34","3"
"trendav.vip","Domain","AlienVault","60","06/16/2025-09:54:00","4"
"sentinelxdr.us","Domain","AlienVault","60","06/16/2025-09:53:45","3"
"vniir.nl","Domain","AlienVault","60","06/16/2025-09:53:17","1"
"downdown.ru","Domain","AlienVault","60","06/16/2025-09:52:59","2"
"dragonfires.ru","Domain","AlienVault","60","06/16/2025-09:51:54","3"
"bmapps.org","Domain","AlienVault","60","06/16/2025-09:51:39","2"
"redaction-voenmeh.info","Domain","AlienVault","60","06/16/2025-09:51:10","2"
"office-email.ru","Domain","AlienVault","60","06/16/2025-09:50:56","3"
"anyhostings.ru","Domain","AlienVault","60","06/16/2025-09:49:47","3"
"office-account.ru","Domain","AlienVault","60","06/16/2025-09:49:27","2"
"verifikations.ru","Domain","AlienVault","60","06/16/2025-09:48:42","2"
"email-informer.ru","Domain","AlienVault","60","06/16/2025-09:48:10","3"
"claud-mail.ru","Domain","AlienVault","60","06/16/2025-09:47:50","2"
"declaredczxi.shop","Domain","AlienVault","60","05/26/2025-09:47:02","3"
"upknittsoappz.shop","Domain","AlienVault","60","05/23/2025-16:58:23","1"
"lariatedzugspd.shop","Domain","AlienVault","60","05/23/2025-16:58:09","1"
"office.rsvp","Domain","AlienVault","60","05/18/2025-15:26:04","3"
"ukrtelecom.eu","Domain","AlienVault","60","05/18/2025-08:44:01","1"
"ukrtelecom.com","Domain","AlienVault","60","05/18/2025-08:43:41","1"
"ukrtelcom.com","Domain","AlienVault","60","05/18/2025-08:43:25","1"
"raedom.store","Domain","AlienVault","60","05/18/2025-08:43:05","1"
"bit-albania.com","Domain","AlienVault","60","05/18/2025-08:42:20","3"
"elkat.com.my","Domain","AlienVault","60","05/12/2025-14:16:09","3"
"worldofpoetry.xyz","Domain","AlienVault ,ThreatFox","90","04/28/2025-11:31:50","6"
"speedtestip.xyz","Domain","AlienVault ,ThreatFox","90","04/28/2025-11:31:36","6"
"skicloud-my.xyz","Domain","AlienVault ,ThreatFox","90","04/28/2025-11:31:16","8"
