"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-07T14:53:26Z","Cybersixgill","APT34 (OilRig)","IP","99.83.231.61","Confidence: 90","N/A"
"2025-12-24T14:53:27Z","Cybersixgill","APT34 (OilRig)","IP","75.2.60.5","Confidence: 90","N/A"
"2025-12-24T02:28:55Z","Cybersixgill","APT34 (OilRig)","IP","74.119.239.234","Confidence: 60","N/A"
"2025-12-24","VirusTotal","APT34 (OilRig)","SHA256","4efa2c9a8befe0332692786b8763714a38e2c81c3dd7c533e20da63409ebccc3","%APPDATA%\out.jpg","https://www.virustotal.com/gui/file/4efa2c9a8befe0332692786b8763714a38e2c81c3dd7c533e20da63409ebccc3"
"2025-12-08T04:45:49Z","Cybersixgill","APT34 (OilRig)","IP","76.223.67.189","Confidence: 90","N/A"
"2025-12-08T04:45:49Z","Cybersixgill","APT34 (OilRig)","IP","13.248.213.45","Confidence: 90","N/A"
"2025-12-06T04:46:17Z","Cybersixgill","APT34 (OilRig)","Hash","9262a37df166ac1d5f582aac79f54ccb47623bfd9ba001228d284ae13a08f52f","Confidence: 60","N/A"
"2025-12-06T04:46:04Z","Cybersixgill","APT34 (OilRig)","Hash","0608101047106453101617106423101013101012101083109710108585106969","Confidence: 60","N/A"
"2025-12-06T00:47:07Z","Cybersixgill","APT34 (OilRig)","Hash","ed15c8344b45daed1e0578f8bc1a32411812c61f4cb45d89b107287de0e09ffc","Confidence: 60","N/A"
"2025-12-06T00:46:52Z","Cybersixgill","APT34 (OilRig)","Hash","6969697820511281801712341067111416133321394945138510872296106446","Confidence: 60","N/A"
"2025-12-05T22:44:50Z","Cybersixgill","APT34 (OilRig)","Hash","91a4e6f6d51daee773a8f00279792578","Confidence: 60","N/A"
"2025-12-05T22:44:34Z","Cybersixgill","APT34 (OilRig)","Hash","4103a09887b82ffd56a93bb431805224","Confidence: 60","N/A"
"2025-12-05T13:46:24Z","Cybersixgill","APT34 (OilRig)","Hash","76632910cf67697bf5d7285fae38bfcf438ec082","Confidence: 60","N/A"
"2025-11-30T00:49:44Z","Cybersixgill","APT34 (OilRig)","Domain","tmate.io","Confidence: 90","N/A"
"2025-11-30T00:49:44Z","Cybersixgill","APT34 (OilRig)","IP","138.197.48.144","Confidence: 90","N/A"
"2025-11-18T15:29:51Z","Cybersixgill","APT34 (OilRig)","IP","54.65.172.3","Confidence: 90","N/A"
"2025-10-03T20:47:39Z","Cybersixgill","APT34 (OilRig)","Hash","151ef9c32bb070e015f5930cac808db9","Confidence: 60","N/A"
"2025-10-03T20:45:57Z","Cybersixgill","APT34 (OilRig)","Hash","07d37fc575e373f878ae3c7cca2bfc25","Confidence: 60","N/A"
"2025-10-03T20:44:38Z","Cybersixgill","APT34 (OilRig)","Hash","31803efba8a696b7bbf41c4f107d97b9","Confidence: 60","N/A"
"2025-10-03T20:44:24Z","Cybersixgill","APT34 (OilRig)","Hash","3661c0033dc8cb00326f820a07e2da27","Confidence: 60","N/A"
"2025-10-03T13:33:49Z","Cybersixgill","APT34 (OilRig)","Hash","010db07461e45b41c886192df6fd425ba8d42d82","Confidence: 70","N/A"
"2025-10-03T13:33:49Z","Cybersixgill","APT34 (OilRig)","Hash","643ec58e82e0272c97c2a59f6020970d881af19c0ad5029db9c958c13b6558c7","Confidence: 70","N/A"
"2025-10-03T13:33:49Z","Cybersixgill","APT34 (OilRig)","Hash","f586835082f632dc8d9404d83bc16316","Confidence: 70","N/A"
"2025-09-30T11:45:20Z","Cybersixgill","APT34 (OilRig)","IP","91.107.171.215","Confidence: 60","N/A"
"2025-09-30T11:45:20Z","Cybersixgill","APT34 (OilRig)","Domain","abrargeospatial.ir","Confidence: 60","N/A"
"2025-09-28T11:21:47Z","Cybersixgill","APT34 (OilRig)","Hash","c039362e891b01040c20e75e16b02169c512aebd","Confidence: 75","N/A"
"2025-09-27T11:19:57Z","Cybersixgill","APT34 (OilRig)","URL","https://www.pizzeria-mercy.de/wp-includes/images/media/bar/index.php","Confidence: 60","N/A"
"2025-09-27T11:19:31Z","Cybersixgill","APT34 (OilRig)","URL","https://www.brannenburger-nagelfluh.de/wp-includes/style-engine/css/index.php","Confidence: 60","N/A"
"2025-09-27T11:19:17Z","Cybersixgill","APT34 (OilRig)","URL","https://abrargeospatial.ir/wp-includes/fonts/wp-icons/index.php","Confidence: 60","N/A"
"2025-09-27T02:33:39Z","Cybersixgill","APT34 (OilRig)","Hash","afb77617a4ca637614c429440c78da438e190dd1ca24dc78483aa731d80832c2","Confidence: 75","N/A"
"2025-09-24T22:05:54Z","Cybersixgill","APT34 (OilRig)","Hash","79d31df2208cde32e9b91365e90cef83e74cd521","Confidence: 90","N/A"
"2025-09-24T22:05:54Z","Cybersixgill","APT34 (OilRig)","Hash","87c1b572d9d4d88fd7e74f6d6693bc03","Confidence: 90","N/A"
"2025-09-24T22:05:54Z","Cybersixgill","APT34 (OilRig)","Hash","cb349ab1e15994b9f34615263406e468bcba840dc41ffbd829ea06c4e37ed59a","Confidence: 90","N/A"
"2025-09-23T15:52:00Z","Cybersixgill","APT34 (OilRig)","IP","91.231.182.187","Confidence: 60","N/A"
"2025-09-23T15:51:49Z","Cybersixgill","APT34 (OilRig)","URL","https://91.231.182.187/ekrn.ps1'","Confidence: 60","N/A"
"2025-09-23T05:00:23Z","Cybersixgill","APT34 (OilRig)","URL","https://eset.ydns.eu/post.php","Confidence: 60","N/A"
"2025-09-23T04:59:20Z","Cybersixgill","APT34 (OilRig)","URL","https://eset.ydns.eu/scrss.ps1","Confidence: 60","N/A"
"2025-09-21T16:28:02Z","Cybersixgill","APT34 (OilRig)","Hash","f06e22fc588ae0d68bca61723d8ca2628dbb4465","Confidence: 60","N/A"
"2025-09-21T11:16:10Z","Cybersixgill","APT34 (OilRig)","Hash","d6dc61627fef1444214469b7f2d164301aa24d8b8dd878edfc81dd28afcc4668","Confidence: 60","N/A"
"2025-09-21T06:58:02Z","Cybersixgill","APT34 (OilRig)","Hash","f1be5c16c46784eb424170f9b67a9ea9","Confidence: 60","N/A"
"2025-09-20T07:29:35Z","Cybersixgill","APT34 (OilRig)","Hash","6d8bdd3e087b266d493074569a85e1173246d1d71ee88eca94266b5802e28112","Confidence: 60","N/A"
"2025-09-19T13:43:10Z","Cybersixgill","APT34 (OilRig)","IP","185.118.115.15","Confidence: 60","N/A"
"2025-09-19T13:43:10Z","Cybersixgill","APT34 (OilRig)","Domain","fjsconsultoria.com","Confidence: 60","N/A"
"2025-09-19T13:42:53Z","Cybersixgill","APT34 (OilRig)","IP","77.46.148.242","Confidence: 60","N/A"
