"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"abrargeospatial.ir","Domain","AlienVault","60","09/30/2025-11:45:20","2"
"fjsconsultoria.com","Domain","AlienVault","60","09/19/2025-13:43:10","1"
"ingas.rs","Domain","AlienVault","60","09/19/2025-13:42:53","1"
"hostelhotels.net","Domain","AlienVault ,BruteForceBlocker ,ThreatFox","70","07/02/2025-15:24:24","14"
"connectotels.net","Domain","AlienVault ,BruteForceBlocker ,ThreatFox","70","07/02/2025-15:24:24","14"
"ibmlotus.net","Domain","AlienVault","60","06/13/2025-13:00:25","1"
"joinushealth.com","Domain","AlienVault","90","06/13/2025-06:02:20","4"
"domain.computer","Domain","AlienVault","60","06/10/2025-18:46:16","1"
"olinpa.com","Domain","AlienVault","60","06/10/2025-03:52:39","2"
"axoryvexity.eu","Domain","AlienVault","60","05/02/2025-06:19:11","1"
"valtryventyx.eu","Domain","AlienVault","60","05/02/2025-06:18:53","1"
"plenoryvantyx.eu","Domain","AlienVault","60","05/02/2025-06:18:35","1"
"zyverantova.eu","Domain","AlienVault","60","05/02/2025-06:18:15","1"
"plenoryventyx.eu","Domain","AlienVault","60","05/02/2025-06:17:56","1"
"biam-iraq.org","Domain","AlienVault","60","05/02/2025-06:17:38","1"
"valtorynexon.eu","Domain","AlienVault","60","05/02/2025-06:17:19","1"
"sidaop.com","Domain","AlienVault","60","04/21/2025-05:07:29","1"
"process.name","Domain","AlienVault","90","04/07/2025-05:58:47","7"
"microsoft-support.net","Domain","AlienVault","60","03/08/2025-02:33:04","1"
"host.id","Domain","AlienVault","60","01/01/2025-02:05:03","1"
"discountshadesdirect.com","Domain","AlienVault ,ThreatFox","75","12/28/2024-02:36:29","2"
"altreeservicellc.com","Domain","AlienVault ,ThreatFox","75","12/28/2024-02:04:29","2"
"pentestlab.blog","Domain","AlienVault","60","12/05/2024-07:49:18","1"
"clippershipintl.com","Domain","AlienVault","60","11/24/2024-05:05:13","1"
"healthproreview.com","Domain","AlienVault","60","10/23/2024-21:54:23","1"
"foxxbank.com","Domain","AlienVault","60","10/23/2024-20:07:37","1"
"easymathpath.com","Domain","AlienVault","60","09/06/2024-22:59:32","1"
"secshow.net","Domain","AlienVault","90","06/13/2024-22:34:22","2"
"z54zspih9h5588.com","Domain","AlienVault","90","06/13/2024-08:55:34","1"
"ydxpwzhidexgny.com","Domain","AlienVault","90","06/13/2024-08:55:21","1"
"y43dkbzwar7cdt.com","Domain","AlienVault","90","06/13/2024-08:55:05","1"
"wzbhk2ccghtshr.com","Domain","AlienVault","90","06/13/2024-08:54:48","1"
"wk7ckgiuc6i.com","Domain","AlienVault","90","06/13/2024-08:54:33","1"
"wj9ii6rx7yd.com","Domain","AlienVault","90","06/13/2024-08:54:18","3"
"vibnere.com","Domain","AlienVault","90","06/13/2024-08:53:51","2"
"uxjxfg2ui8k5zk.com","Domain","AlienVault","90","06/13/2024-08:53:37","1"
"tp7djzjtcs6gm6.com","Domain","AlienVault","90","06/13/2024-08:53:17","1"
"szd4hw4xdaj.com","Domain","AlienVault","90","06/13/2024-08:53:04","4"
"swh9cpz2xntuge.com","Domain","AlienVault","90","06/13/2024-08:52:44","1"
