"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-09 05:17:23 UTC","ThreatFox","Kimsuky","IP","51.79.185.184:80","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:46 UTC","ThreatFox","Kimsuky","URL","https://elecviews39.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:44 UTC","ThreatFox","Kimsuky","URL","https://nids19.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:42 UTC","ThreatFox","Kimsuky","URL","https://docviews71.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:40 UTC","ThreatFox","Kimsuky","URL","https://elecviews40.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:37 UTC","ThreatFox","Kimsuky","URL","https://edocview7.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:35 UTC","ThreatFox","Kimsuky","URL","https://note4.dns.army/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:33 UTC","ThreatFox","Kimsuky","URL","https://elecviews49.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:31 UTC","ThreatFox","Kimsuky","URL","https://docviews8.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:29 UTC","ThreatFox","Kimsuky","URL","https://nids58.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:27 UTC","ThreatFox","Kimsuky","URL","http://docviews56.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
"2026-04-01 10:48:25 UTC","ThreatFox","Kimsuky","URL","https://join39s.dynv6.net/","threat=botnet_cc; malware=win.kimsuky (tag=Kimsuky)",
