"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"msstorageazure.com","Domain","AlienVault ,ThreatFox","90","11/07/2025-01:45:26","7"
"msedgepackageinfo.com","Domain","AlienVault ,ThreatFox","90","11/07/2025-01:45:16","7"
"firstfromsep.online","Domain","AlienVault","60","10/28/2025-19:46:17","4"
"twsww.xin","Domain","AlienVault","60","10/17/2025-18:44:45","3"
"jppjp.vip","Domain","AlienVault","60","10/17/2025-18:44:27","1"
"msgdetox.com","Domain","AlienVault ,IBlockList","60","10/10/2025-00:31:41","66"
"family-international.de","Domain","AlienVault ,IBlockList","60","10/10/2025-00:31:07","69"
"visualstudiofactory.com","Domain","AlienVault ,ThreatFox","90","09/28/2025-06:26:06","7"
"websecuritynotice.com","Domain","AlienVault","60","09/19/2025-14:15:42","1"
"nid-security.com","Domain","AlienVault","60","09/19/2025-14:14:19","2"
"webcloud-notice.com","Domain","AlienVault","60","09/14/2025-20:17:17","2"
"azureonlinestorage.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-02:12:15","7"
"zacharryblogs.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-02:06:21","7"
"sbmsa.wiki","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:52","4"
"pbxcloudeservices.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:21","5"
"msstorageboxes.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:08","4"
"azuredeploystore.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:00:16","4"
"akamaitechcloudservices.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:00:02","5"
"officeaddons.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-00:59:43","4"
"pbxsources.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-00:55:53","3"
"jdkgradle.com","Domain","AlienVault ,ThreatFox","90","09/03/2025-20:23:25","4"
"shiatsu-echt.nl","Domain","AlienVault","60","09/02/2025-04:59:03","1"
"kismanmo.com","Domain","AlienVault","60","09/02/2025-04:57:14","1"
"dro.pm","Domain","AlienVault","60","09/01/2025-11:12:06","1"
"nandayo.ru","Domain","AlienVault","60","09/01/2025-11:10:46","3"
"bulam.ru","Domain","AlienVault","60","09/01/2025-11:10:31","2"
"block-digital.online","Domain","AlienVault","60","09/01/2025-11:09:48","2"
"harfanglab.io","Domain","AlienVault","60","08/29/2025-05:53:38","2"
"megamarket.ua","Domain","AlienVault","60","08/29/2025-05:53:25","1"
"wwwklarna.fr","Domain","AlienVault","60","08/27/2025-05:15:25","2"
"interconstructionsite.pro","Domain","AlienVault","60","08/26/2025-23:09:17","1"
"pushtorm.net","Domain","AlienVault","60","08/22/2025-10:45:25","1"
"glcloudservice.com","Domain","AlienVault ,ThreatFox","90","08/15/2025-10:45:10","3"
"officestoragebox.com","Domain","AlienVault ,ThreatFox","90","08/15/2025-10:42:28","4"
"www.google","Domain","AlienVault","60","08/10/2025-05:04:08","2"
"dhl-urgent-fee.com","Domain","AlienVault","60","08/08/2025-13:36:44","2"
"survey-smiles.com","Domain","AlienVault","90","07/29/2025-11:42:04","6"
"swenku.xyz","Domain","AlienVault","60","07/18/2025-01:28:57","2"
"kinwlyo.xyz","Domain","AlienVault","60","07/18/2025-01:27:47","2"
"cloudtflare.com","Domain","AlienVault","60","07/14/2025-15:53:38","2"
"respekt5568.com","Domain","AlienVault ,ThreatFox","90","07/02/2025-10:43:09","2"
"adldas.top","Domain","AlienVault","60","06/29/2025-22:47:21","2"
"parther-hubrewiews.com","Domain","AlienVault","60","06/29/2025-22:00:57","2"
"akashkapoor.in","Domain","AlienVault","60","06/29/2025-05:16:08","1"
"juiox.xyz","Domain","AlienVault","60","06/29/2025-05:06:01","1"
"39qz.top","Domain","AlienVault","60","06/29/2025-05:05:46","1"
"partherspreferns.com","Domain","AlienVault","60","06/29/2025-04:30:14","1"
"indiasci.cc","Domain","AlienVault","60","06/29/2025-04:28:49","1"
"supremecourtofindiagov.com","Domain","AlienVault","60","06/29/2025-04:28:20","1"
"megasofteware.net","Domain","AlienVault","60","06/25/2025-11:14:22","2"
"chillchad.xyz","Domain","AlienVault","60","06/25/2025-11:13:24","3"
"servicesmesh.pro","Domain","AlienVault ,ThreatFox","60","06/18/2025-09:06:01","2"
"basvurukatilimtogg2025.org","Domain","AlienVault","60","06/15/2025-10:45:34","1"
"cecdubai.me","Domain","AlienVault","60","06/15/2025-06:17:14","1"
"taqareer.tech","Domain","AlienVault","60","06/15/2025-00:51:21","1"
