"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-27 00:02:37 UTC","ThreatFox","Lazarus","IP","152.44.47.231:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-26 20:02:17 UTC","ThreatFox","Lazarus","IP","36.138.203.171:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-23 05:23:30","MalwareBazaar","Lazarus","SHA256","ce7d25b4f5fdee33a3b1f72c92abb2c907a2dc8347442fb8c7940e9616a17dc8","signature=MimiKatz; file=ce7d25b4f5fdee33.exe (tag=Mimikatz)",
"2026-03-22 20:01:34 UTC","ThreatFox","Lazarus","IP","85.9.203.21:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-03-17 00:01:43 UTC","ThreatFox","Lazarus","IP","68.183.34.203:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-12 16:01:45 UTC","ThreatFox","Lazarus","Domain","www.erp.asyx.co.tz","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-12 16:01:44 UTC","ThreatFox","Lazarus","IP","83.136.254.131:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-11 04:01:40 UTC","ThreatFox","Lazarus","IP","51.255.77.201:8888","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-07 12:01:41 UTC","ThreatFox","Lazarus","IP","1.164.253.81:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-03 20:03:11 UTC","ThreatFox","Lazarus","IP","46.38.156.59:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-01 17:31:32","MalwareBazaar","Lazarus","SHA256","075eff4f83b0a2267697d6d12db4cf4fa2c232b8f3938516ac4771fe95b9e630","signature=MimiKatz; file=GoodMeV3.4.exe (tag=Mimikatz)",""
"2026-02-26 00:02:03 UTC","ThreatFox","Lazarus","IP","148.113.54.163:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-26 00:02:01 UTC","ThreatFox","Lazarus","IP","198.98.53.100:80","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-24 16:02:32 UTC","ThreatFox","Lazarus","IP","51.75.62.52:80","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-02-22 18:13:10","MalwareBazaar","Lazarus","SHA256","ebd21ac4ac71e466c1441dd998895dc5f9567d3ca999a30762f6028dfc59b4d5","signature=MimiKatz; file=DavRelayUp.exe (tag=Mimikatz)",""
"2026-02-19 12:02:06 UTC","ThreatFox","Lazarus","IP","94.237.58.158:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-02-17 08:02:02 UTC","ThreatFox","Lazarus","IP","23.236.64.238:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-16 12:01:59 UTC","ThreatFox","Lazarus","IP","94.237.101.201:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-16 10:13:58","MalwareBazaar","Lazarus","SHA256","b139fc6e21629d57cd4515a625b4bf07a539f5af0f61dd66bb8af36c55e15aad","signature=MimiKatz; file=b139fc6e21629d57cd4515a625b4bf07a539f5af0f61dd66bb8af36c55e15aad (tag=Mimikatz)",""
"2026-02-14 16:01:51 UTC","ThreatFox","Lazarus","IP","105.68.228.221:80","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-12 16:01:46 UTC","ThreatFox","Lazarus","IP","159.65.202.204:8888","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-12 08:01:37 UTC","ThreatFox","Lazarus","IP","94.237.63.254:8082","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-12 08:01:37 UTC","ThreatFox","Lazarus","IP","45.8.47.24:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-11 12:01:36 UTC","ThreatFox","Lazarus","IP","45.8.47.24:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-09 20:01:33 UTC","ThreatFox","Lazarus","IP","148.113.54.36:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-09 16:01:43 UTC","ThreatFox","Lazarus","ip:port","38.180.106.24:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-02-07 00:01:36 UTC","ThreatFox","Lazarus","IP","94.237.96.207:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-05 20:01:20 UTC","ThreatFox","Lazarus","ip:port","81.90.31.29:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-02-03 00:02:37 UTC","ThreatFox","Lazarus","IP","148.113.55.238:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-02-02T08:27:01Z","Cybersixgill","Lazarus","Hash","d7a950fefd60dbaa01df2d85fefb3862","Confidence: 60","N/A"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","dbe12e628af55cc12c9eb375898dacb68ff191b669472b35ebc0097ec334d93e","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/dbe12e628af55cc12c9eb375898dacb68ff191b669472b35ebc0097ec334d93e"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","231779b4e19f22ce4ba651031e0bca16a68282922d64942abd2a58e763aad2f9","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/231779b4e19f22ce4ba651031e0bca16a68282922d64942abd2a58e763aad2f9"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","7fbcb4129ffc047e6b65d910a496240f93312407e0f09a12374d1ac10e717749","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/7fbcb4129ffc047e6b65d910a496240f93312407e0f09a12374d1ac10e717749"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","ff3b94770e994e8d98e7accdc9681eb8342fae22aaf2cc2bf9e25fe3fd8024b0","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/ff3b94770e994e8d98e7accdc9681eb8342fae22aaf2cc2bf9e25fe3fd8024b0"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","f1d4c6acd5e85032a5c591688ef6afb57ec0ab6d92e17b30ced71f3dbfb9bdc5","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/f1d4c6acd5e85032a5c591688ef6afb57ec0ab6d92e17b30ced71f3dbfb9bdc5"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","0ae1a2e07cd4e53c4b7cb2581f22c69abbc3c5a9aaaee337e30ddbedfa5cca9d","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/0ae1a2e07cd4e53c4b7cb2581f22c69abbc3c5a9aaaee337e30ddbedfa5cca9d"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","9aa4ff2c19c58304224f4372d30611ad4b53d689ee04645961fa1f5044f1261c","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/9aa4ff2c19c58304224f4372d30611ad4b53d689ee04645961fa1f5044f1261c"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","37ef5eff6e7e5ecc3aaa9ce6d8b28fd02098145c04c35f09752fc8511499bddf","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/37ef5eff6e7e5ecc3aaa9ce6d8b28fd02098145c04c35f09752fc8511499bddf"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","0f6e652039dd23e9392bfb360bb90fdf7b650cf800b38a7733eeab97379a2bb9","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/0f6e652039dd23e9392bfb360bb90fdf7b650cf800b38a7733eeab97379a2bb9"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","b7e117b1b228ff88676073022a0ed66129209005d5ce0ce87f46fddd74105229","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/b7e117b1b228ff88676073022a0ed66129209005d5ce0ce87f46fddd74105229"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","2ff43464ff930a424d730923cc3b76608e1bd4ea145265302cf95696ec3bcaf3","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/2ff43464ff930a424d730923cc3b76608e1bd4ea145265302cf95696ec3bcaf3"
"2026-01-31","VirusTotal (Fallback)","Lazarus","SHA256","95892df5a42713c84a1f56133da65f9629fe0eef5d9643a5b3a9634b76a47ff2","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/95892df5a42713c84a1f56133da65f9629fe0eef5d9643a5b3a9634b76a47ff2"
"2026-01-30T22:27:13Z","Cybersixgill","Lazarus","Hash","f34d5f2d4577ed6d9ceec516c1f5a744","Confidence: 90","N/A"
"2026-01-30T16:49:20Z","Cybersixgill","Lazarus","Hash","53adf8827a83d37784c046c24c7bb383","Confidence: 60","N/A"
"2026-01-30T16:44:47Z","Cybersixgill","Lazarus","Hash","b9103d9d134e0c59cafbe4ae0a8299a8","Confidence: 60","N/A"
"2026-01-30T16:29:27Z","Cybersixgill","Lazarus","Hash","aa96c24e08438db8e05eececf119a02e","Confidence: 75","N/A"
"2026-01-30 08:05:52 UTC","ThreatFox","Lazarus","IP","117.72.8.5:80","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-01-30","VirusTotal (Fallback)","Lazarus","SHA256","492f1fd34fc8cb64bdd6da53d2e1acc47ba87998edbc490e7017038d414e3642","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/492f1fd34fc8cb64bdd6da53d2e1acc47ba87998edbc490e7017038d414e3642"
"2026-01-30","VirusTotal (Fallback)","Lazarus","SHA256","364002f67513f5682a29bed32fda8b557b4ae8a295df60299e7a3091e5e3f1c3","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/364002f67513f5682a29bed32fda8b557b4ae8a295df60299e7a3091e5e3f1c3"
"2026-01-30","VirusTotal (Fallback)","Lazarus","SHA256","f229531d403bf34302a3e0dd0f6a49f4239cbf0b34a8d39adbe94b565ffe01d0","Text Match: Lazarus Group","https://www.virustotal.com/gui/file/f229531d403bf34302a3e0dd0f6a49f4239cbf0b34a8d39adbe94b565ffe01d0"
"2026-01-29T15:18:42Z","Cybersixgill","Lazarus","Hash","523613a7b9dfa398cbd5ebd2dd0f4f38","Confidence: 90","N/A"
"2026-01-29T15:18:42Z","Cybersixgill","Lazarus","Hash","3e59379f585ebf0becb6b4e06d0fbbf806de28a4bb256e837b4555f1b4245571","Confidence: 80","N/A"
"2026-01-29T15:18:42Z","Cybersixgill","Lazarus","Hash","3e92f697d642d68bb766cc93e3130b36b2da2bab","Confidence: 80","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","7fe80cee04003fed91c02e3a372f4b01","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","d2a77c31c3e169bec655068e96cf4e7fc52e77b8","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","9876f8650d75938f8a2e4fb4df4321cc819d0f58","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","ae9f4e39c576555faadee136c6c3b2d358ad90b9","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","9ba02f8a985ec1a99ab7b78fa678f26c0273d91ae7cbe45b814e6775ec477598","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","4fe3c853ab237005f7d62324535dd641e1e095d1615a416a9b39e042f136cf6b","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","9578c2be6437dcc8517e78a5de1fa975","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","426bc6bb3704441e5804d75ad020706f06b3db5d","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","653dbc2416d439eca6e4a41c7d9b7e11aa1664b6","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","7fe373376e0357624a1d21cd803ce62aa86738b6","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","73edc54abb3d6b8df6bd1e4a77c373314cbe99a660c8c6eea770673063f55503","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","453d8bd3e2069bc50703eb4c5d278aad02304d4dc5d804ad2ec00b2343feb7a4","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","139b25e1ae32a8768238935a8c878bfbe2f89ef4","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","23e27e5482e3f55bf828dab885569033","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","53d9af8829a9c7f6f177178885901c01","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","0f394734c65d44915060b36a0b1a972d","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","a6a3aec659ab1a285fba3e93f4453160","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","58f2972c6a8fc743543f7b8c4df085c5cf2c6e674e5601e85eec60cd269cfb3c","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","2a900fbfdd65dafe6fadc4d5706e151c8b72230a","Confidence: 75","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Lazarus","Hash","5eac943e23429a77d9766078e760fc0b","Confidence: 75","N/A"
"2026-01-29T08:19:40Z","Cybersixgill","Lazarus","Hash","3f33734b2d34cce83936ce99c3494cd845f1d2c02d7f6da31d42dfc1ca15a171","Confidence: 75","N/A"
"2026-01-29T08:19:40Z","Cybersixgill","Lazarus","Hash","e325988f68d327743926ea317abb9882f347fa73","Confidence: 75","N/A"
"2026-01-29T08:19:40Z","Cybersixgill","Lazarus","Hash","17194003fa70ce477326ce2f6deeb270","Confidence: 75","N/A"
