"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"msstorageazure.com","Domain","AlienVault ,ThreatFox","90","11/07/2025-01:45:26","7"
"msedgepackageinfo.com","Domain","AlienVault ,ThreatFox","90","11/07/2025-01:45:16","7"
"paste.rs","Domain","AlienVault","60","11/06/2025-17:46:11","1"
"firstfromsep.online","Domain","AlienVault","60","10/28/2025-19:46:17","4"
"web071zoom.us","Domain","AlienVault","60","10/28/2025-18:44:26","2"
"kazitradebd.com","Domain","AlienVault","60","10/27/2025-15:45:58","2"
"coralsunmarine.com","Domain","AlienVault","60","10/27/2025-13:45:48","1"
"spaincaramoon.com","Domain","AlienVault","60","10/27/2025-13:45:35","1"
"oldlinewoodwork.com","Domain","AlienVault","60","10/27/2025-13:45:21","1"
"trainingpharmacist.co.uk","Domain","AlienVault","60","10/27/2025-13:45:07","1"
"ecudecode.mx","Domain","AlienVault","60","10/27/2025-13:44:27","1"
"online.com","Domain","IBlockList ,AlienVault","60","10/10/2025-00:31:47","65"
"geoplugin.net","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:14","70"
"gadyfuh.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:12","73"
"cloudns.org","Domain","IBlockList ,AlienVault","90","10/10/2025-00:30:47","67"
"ccteam.ru","Domain","AlienVault ,IBlockList","60","10/10/2025-00:30:43","68"
"altavista.com","Domain","AlienVault ,IBlockList","90","10/10/2025-00:30:21","70"
"2fgithub.com","Domain","AlienVault","90","10/02/2025-15:45:33","21"
"gotdns.ch","Domain","AlienVault","90","09/29/2025-01:12:22","50"
"visualstudiofactory.com","Domain","AlienVault ,ThreatFox","90","09/28/2025-06:26:06","7"
"anam0rph.su","Domain","AlienVault","90","09/10/2025-20:56:24","6"
"vidassesspro.com","Domain","AlienVault","60","09/09/2025-12:27:17","2"
"talentcheck.pro","Domain","AlienVault","60","09/09/2025-12:26:48","4"
"zacharryblogs.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-02:06:21","7"
"sbmsa.wiki","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:52","4"
"qwepoi123098.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:35","4"
"pbxcloudeservices.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:21","5"
"msstorageboxes.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:03:08","4"
"azuredeploystore.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:00:16","4"
"akamaitechcloudservices.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-01:00:02","5"
"officeaddons.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-00:59:43","4"
"pbxsources.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-00:55:53","3"
"azureonlinecloud.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-00:53:51","5"
"akamaicontainer.com","Domain","AlienVault ,ThreatFox","90","09/07/2025-00:53:38","5"
"analytics.com","Domain","AlienVault","60","09/06/2025-07:51:46","6"
"gapi-node.io","Domain","AlienVault ,ThreatFox","90","09/04/2025-02:43:22","19"
"jdkgradle.com","Domain","AlienVault ,ThreatFox","90","09/03/2025-20:23:25","4"
"alphap1.com","Domain","AlienVault","60","08/31/2025-00:47:31","4"
"dunamistrd.com","Domain","AlienVault ,ThreatFox","90","08/15/2025-10:45:35","3"
"glcloudservice.com","Domain","AlienVault ,ThreatFox","90","08/15/2025-10:45:10","3"
"journalide.org","Domain","AlienVault ,ThreatFox","90","08/15/2025-10:44:41","3"
"officestoragebox.com","Domain","AlienVault ,ThreatFox","90","08/15/2025-10:42:28","4"
"gstatic-node.io","Domain","AlienVault ,ThreatFox","90","08/02/2025-04:37:06","15"
"host.name","Domain","AlienVault","60","07/30/2025-07:50:16","4"
"coinbases.org","Domain","AlienVault","60","07/29/2025-11:27:34","2"
"nr-data.net","Domain","AlienVault","90","07/08/2025-01:21:26","10"
"laughriver.net","Domain","AlienVault","60","06/21/2025-01:59:51","5"
"evalswift.com","Domain","AlienVault","60","06/18/2025-16:04:32","3"
"evalassesso.com","Domain","AlienVault","60","06/18/2025-16:04:19","2"
"laughsuppose.net","Domain","AlienVault","60","06/14/2025-20:37:24","4"
"coinbase-walet.me","Domain","AlienVault","60","05/24/2025-17:37:09","3"
"getstockprice.com","Domain","AlienVault","60","05/15/2025-05:52:15","2"
"aloowforest.xyz","Domain","AlienVault ,ThreatFox","90","04/28/2025-11:33:00","5"
"agustfreeday-my.xyz","Domain","AlienVault ,ThreatFox","90","04/28/2025-11:32:32","8"
