"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-02-02T17:47:01Z","Cybersixgill","Gamaredon","Hash","c7726c166e1947fdbf808a50b75ca7400d56fa6fef2a76cefe314848db22c76c","Confidence: 90","N/A"
"2026-01-31","VirusTotal (Fallback)","Gamaredon","SHA256","3f0a85d3045595185e616c396b3d627944835b96ba9cf608fffffd87b2cb6e4e","Text Match: Primitive Bear","https://www.virustotal.com/gui/file/3f0a85d3045595185e616c396b3d627944835b96ba9cf608fffffd87b2cb6e4e"
"2026-01-31","VirusTotal (Fallback)","Gamaredon","SHA256","07e13eca5d99b688378e688f164ba4e528e5801deea40c9a8233e55ba77e3b24","Text Match: Shuckworm","https://www.virustotal.com/gui/file/07e13eca5d99b688378e688f164ba4e528e5801deea40c9a8233e55ba77e3b24"
"2026-01-31","VirusTotal (Fallback)","Gamaredon","SHA256","af30e2de51a35c5a1bb4911346a7ef464307cb188c970cdfb36edb8b712b3fae","Text Match: Shuckworm","https://www.virustotal.com/gui/file/af30e2de51a35c5a1bb4911346a7ef464307cb188c970cdfb36edb8b712b3fae"
"2026-01-29T16:29:18Z","Cybersixgill","Gamaredon","Hash","41b5baf16680170ff248eaceb40acdf34d190ee6","Confidence: 90","N/A"
"2026-01-29T16:29:18Z","Cybersixgill","Gamaredon","Hash","5bafb0ab8a6f408bba0684ac03dde813","Confidence: 90","N/A"
"2026-01-29T07:46:45Z","Cybersixgill","Gamaredon","Hash","5ff465afaabcbf0150d1a3ab2c2e74f3a4426467","Confidence: 90","N/A"
"2026-01-29T07:46:45Z","Cybersixgill","Gamaredon","Hash","84c82835a5d21bbcf75a61706d8ab549","Confidence: 90","N/A"
"2026-01-29T07:46:45Z","Cybersixgill","Gamaredon","Hash","ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa","Confidence: 90","N/A"
"2026-01-23 09:46:31","MalwareBazaar","Gamaredon","SHA256","2122774f22c225c9bc6f48672d4004c1791369e597921305a5aa3ae52f64fb75","signature=; file=2_12_6_1966_23.01.2026.rar (tag=Gamaredon)",
"2026-01-22T19:31:59Z","Cybersixgill","Gamaredon","Hash","2915b3f8b703eb744fc54c81f4a9c67f","Confidence: 90","N/A"
"2026-01-22T19:31:59Z","Cybersixgill","Gamaredon","Hash","9f1f11a708d393e0a4109ae189bc64f1f3e312653dcf317a2bd406f18ffcc507","Confidence: 90","N/A"
"2026-01-22T11:10:11Z","Cybersixgill","Gamaredon","Hash","654211904f5ed1a88e017ba7bff9ec9877b93524060ca7c78354d7105a2a531b332c9fded495d083f8ed2f523a430a85","Confidence: 80","N/A"
"2026-01-22T11:10:11Z","Cybersixgill","Gamaredon","Hash","dce2f58c8c688a46d5125787070ebefefbd52868","Confidence: 80","N/A"
"2026-01-22T11:10:11Z","Cybersixgill","Gamaredon","Hash","740f66ee7a7dbeb05d12fbe1f1d4b296","Confidence: 80","N/A"
"2026-01-22T11:10:11Z","Cybersixgill","Gamaredon","Hash","e75d6d4ab8c7c11f5842b973c66a74707756a4239bba19f1ca4b45bb7ea91b5c","Confidence: 80","N/A"
"2026-01-21 13:45:02","MalwareBazaar","Gamaredon","SHA256","cef405879cfd148a5fcb905d7c4b0f03ee00e10b2e88038f9cd7f4fc295ae45c","signature=Gamaredon; file=1_18_1_1052_21.01.2026.rar (tag=Gamaredon)",""
"2026-01-17T18:10:12Z","Cybersixgill","Gamaredon","Hash","851071d7d9c3d6b57abe3ee5c30210764307b4bc","Confidence: 80","N/A"
"2026-01-17T18:10:12Z","Cybersixgill","Gamaredon","Hash","60b615289f8ce07e4fa69ac5db986700","Confidence: 80","N/A"
"2026-01-17T18:10:12Z","Cybersixgill","Gamaredon","Hash","16e7d84a5e22243956b5464e07e80015fa7c3bbdd7a00a7b1459eab8a75a6a3d877fa49b59768f0df52a490de7272a09","Confidence: 80","N/A"
"2026-01-17T18:10:12Z","Cybersixgill","Gamaredon","Hash","e35d185fdda5332db8018aec3f260dcbd9f2e69a9ce0a28197f3b60b28711af5","Confidence: 80","N/A"
"2026-01-15T19:39:05Z","Cybersixgill","Gamaredon","Hash","e10361a11f8a7f232ac3cb2125c1875a0a69a3e4","Confidence: 81","N/A"
"2026-01-14T14:11:35Z","Cybersixgill","Gamaredon","Hash","c5820b229dc8481ddb15de49a16c827b","Confidence: 90","N/A"
"2026-01-14T14:11:35Z","Cybersixgill","Gamaredon","Hash","853ce6e1ed15c20ee25bf205cd7d67a83b6c73a8d1c5053cd4dba2b77c1bf62e","Confidence: 90","N/A"
"2026-01-14T14:11:35Z","Cybersixgill","Gamaredon","Hash","d9045ebadf27c0dd99f2dfb50bc085f3c67ecfae","Confidence: 90","N/A"
"2026-01-14T14:11:35Z","Cybersixgill","Gamaredon","Hash","4cb5427d3b391c166907b942856e6b989936161883114668b89052f3f1392dd4bcab1e09352328087079b52b012fc9cf","Confidence: 90","N/A"
"2026-01-13T11:10:27Z","Cybersixgill","Gamaredon","Hash","3538618e0ae0f7e73d96843d90323178b1d434262a074fc24be8e36283e7dd92","Confidence: 80","N/A"
"2026-01-13T11:10:27Z","Cybersixgill","Gamaredon","Hash","d3c6b43c45c965241279a9689b17a3e2dd897ac60a1cb059098385799d815addabb69722e843f77b57999e7141a14003","Confidence: 80","N/A"
"2026-01-13T11:10:27Z","Cybersixgill","Gamaredon","Hash","67354b3e1c1e821f421c2ff52b5c14c8","Confidence: 80","N/A"
"2026-01-13T11:10:27Z","Cybersixgill","Gamaredon","Hash","1000e0b7fa6d743edf968e6ac82fa5f716c96336","Confidence: 80","N/A"
"2026-01-12T00:57:52Z","Cybersixgill","Gamaredon","Hash","fcc616ecbe31fadf9c30a9baedde66d2ce7ff10c369979fe9c4f8c5f1bff3fc2","Confidence: 90","N/A"
"2026-01-12T00:57:52Z","Cybersixgill","Gamaredon","Hash","1ff6e7cafeaf71a5debbc0bb4db9118a9d9de945","Confidence: 90","N/A"
"2026-01-12T00:57:52Z","Cybersixgill","Gamaredon","Hash","294b9c038264d052b3c1c6c80e8f1b109590cf36","Confidence: 90","N/A"
"2026-01-12T00:57:52Z","Cybersixgill","Gamaredon","Hash","833fd615ec3e7576960a872fff5a4459b0c756338068f87341655849d1f7e1af","Confidence: 90","N/A"
"2026-01-12T00:57:52Z","Cybersixgill","Gamaredon","Hash","99f996079094ad472d9720b2abd57291","Confidence: 90","N/A"
"2026-01-12T00:57:52Z","Cybersixgill","Gamaredon","Hash","f0aaf1b673a9316c4b899ccc4e12d33e","Confidence: 90","N/A"
"2026-01-12T00:57:28Z","Cybersixgill","Gamaredon","Hash","ae2a4249c8389603933df4f806546c96","Confidence: 90","N/A"
