"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","add-signal-group.com","Signals of Trouble — Signal-group spoof for credential / linked-device phishing","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-group.site","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","add-signal-groups.com","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-group.tech","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","group-signal.com","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-groups-add.com","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","groups-signal.site","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-groups.site","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-device-off.online","Signals of Trouble — fake Signal device-management page","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-groups.tech","Signals of Trouble — Signal-group spoof (corroborated by Threadlinqs TL-2026-0111)","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-group-add.com","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-security.online","Signals of Trouble — fake Signal account security page","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signal-security.site","Signals of Trouble — fake Signal account security page","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signalgroup.site","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","domain","signals-group.com","Signals of Trouble — Signal-group spoof","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","MD5","e078778b62796bab2d7ab2b04d6b01bf","Signals of Trouble — altered Signal group-invite HTML phishing page (only public hash; no SHA256 disclosed)","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-02-19","GTIG-Mandiant","UNC5792","url","sgnl://linkdevice?uuid=h_8WKmzwam_jtUeoD_NQyg%3D%3D&pub_key=Ba0212mHrGIy4t%2FzCCkKkRKwiS0osyeLF4j1v8DKn%2Fg%2B","Signals of Trouble — canonical sgnl://linkdevice device-link payload pattern (uuid + pub_key params); hunt for the URI scheme + param shape, not the literal value","https://cloud.google.com/blog/topics/threat-intelligence/russia-targeting-signal-messenger/"
"2025-05-01","Eventus Security","UNC5792","domain","add-group.tech","UNC5792 Deploys Signal-Based Phishing Tactics — secondary source, single-source confirmation","https://advisory.eventussecurity.com/advisory/unc5792-deploys-signal-based-phishing-tactics/"
"2025-05-01","Eventus Security","UNC5792","domain","group-add.com","UNC5792 Deploys Signal-Based Phishing Tactics — secondary source, single-source confirmation","https://advisory.eventussecurity.com/advisory/unc5792-deploys-signal-based-phishing-tactics/"
