"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"pipedream.net","Domain","AlienVault","60","11/04/2025-16:44:44","3"
"background-services.net","Domain","AlienVault ,BruteForceBlocker ,ThreatFox","70","10/30/2025-18:24:15","15"
"lookup.ink","Domain","AlienVault ,BruteForceBlocker ,ThreatFox","70","10/30/2025-18:24:15","16"
"vojyqem.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:32:18","68"
"qetysal.com","Domain","AlienVault ,IBlockList","90","10/10/2025-00:31:54","67"
"ns1.name","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:46","106"
"lyxyjaj.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:35","66"
"getenjoyment.net","Domain","IBlockList ,AlienVault","60","10/10/2025-00:31:14","68"
"gatyfus.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:13","71"
"gatyvyz.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:13","73"
"galyqaz.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:31:13","73"
"dedicatedpanel.com","Domain","IBlockList ,AlienVault","90","10/10/2025-00:30:54","69"
"synthesia.io","Domain","AlienVault","60","09/14/2025-05:27:08","2"
"cvvshop.lv","Domain","AlienVault","90","09/10/2025-21:06:14","4"
"badcode.be","Domain","AlienVault","60","09/09/2025-20:55:03","1"
"nghs.com","Domain","AlienVault","60","09/03/2025-20:07:30","1"
"stayathomeclasses.com","Domain","AlienVault","60","08/29/2025-05:52:43","1"
"1681683130.website","Domain","AlienVault","60","08/08/2025-04:33:31","4"
"sockartek.icu","Domain","AlienVault ,ThreatFox","90","08/04/2025-10:09:18","10"
"mumbaich.com","Domain","AlienVault","60","08/02/2025-05:23:12","7"
"codns.com","Domain","AlienVault","60","06/27/2025-18:25:00","1"
"oast.me","Domain","AlienVault","60","06/27/2025-09:44:32","2"
"fil-luge.com","Domain","AlienVault","60","06/26/2025-03:01:05","2"
"biathlovvorld.com","Domain","AlienVault","60","06/26/2025-03:00:57","2"
"webmail-ibsf.org","Domain","AlienVault","60","06/26/2025-02:59:22","3"
"adfs-senate.email","Domain","AlienVault","60","06/26/2025-02:56:31","3"
"adfs-senate.services","Domain","AlienVault","60","06/26/2025-02:55:11","4"
"koofr.net","Domain","AlienVault","60","06/25/2025-20:09:20","2"
"webhookapp.com","Domain","AlienVault","60","06/21/2025-22:13:00","1"
"urlbae.com","Domain","AlienVault","60","06/21/2025-22:12:45","1"
"mybiolink.io","Domain","AlienVault","60","06/21/2025-22:11:59","2"
"mockbin.io","Domain","AlienVault","60","06/21/2025-22:11:27","1"
"loseyourip.com","Domain","AlienVault","60","06/21/2025-22:11:02","2"
"glize.com","Domain","AlienVault","60","06/21/2025-22:10:50","2"
"dynuddns.net","Domain","AlienVault","60","06/21/2025-22:10:15","2"
"ddnsguru.com","Domain","AlienVault","60","06/21/2025-22:09:51","2"
"camdvr.org","Domain","AlienVault","60","06/21/2025-22:09:17","3"
"bumbleshrimp.com","Domain","AlienVault","60","06/21/2025-22:09:03","1"
"1cooldns.com","Domain","AlienVault","60","06/21/2025-22:08:31","2"
"laughriver.net","Domain","AlienVault","60","06/21/2025-01:59:51","5"
"6sense.com","Domain","AlienVault","90","06/17/2025-16:02:24","2"
"laughmister.net","Domain","AlienVault","60","06/14/2025-22:33:36","1"
"laughsuppose.net","Domain","AlienVault","60","06/14/2025-20:37:24","4"
"qexykaq.com","Domain","AlienVault","60","06/14/2025-12:42:07","1"
"puzyjoq.com","Domain","AlienVault","60","06/14/2025-12:40:08","2"
"volymum.com","Domain","AlienVault","90","06/14/2025-12:39:09","4"
"qaynky.biz","Domain","AlienVault","60","06/14/2025-04:20:39","4"
"appeal.ml","Domain","AlienVault","60","06/13/2025-13:00:51","1"
"sekoia.io","Domain","AlienVault","60","06/11/2025-19:38:52","1"
"goldbagshopping.com","Domain","AlienVault","60","06/07/2025-20:00:30","1"
"telanganadigital.com","Domain","AlienVault","90","06/04/2025-00:32:50","3"
