"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-08 11:02:17 UTC","ThreatFox","APT32","IP","156.234.162.251:7025","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","APT32","IP","62.204.35.187:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-08 06:42:50 UTC","ThreatFox","APT32","IP","121.4.21.197:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:49 UTC","ThreatFox","APT32","IP","43.139.108.161:8192","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 18:49:48 UTC","ThreatFox","APT32","IP","38.76.199.164:443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:56:19 UTC","ThreatFox","APT32","IP","39.105.213.45:9999","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-06 07:55:55 UTC","ThreatFox","APT32","IP","203.161.41.129:8443","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-04 07:11:10 UTC","ThreatFox","APT32","IP","123.30.48.175:8080","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:39 UTC","ThreatFox","APT32","IP","156.234.202.148:5916","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-03 12:01:38 UTC","ThreatFox","APT32","IP","171.80.4.222:4488","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-04-02 06:23:10 UTC","ThreatFox","APT32","IP","38.54.56.84:80","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",
"2026-03-27 09:46:22","MalwareBazaar","APT32","SHA256","a59cba001f2093aa44758293c6efca87110339e3c68fe25da49a986f948c16fb","signature=Cobalt Strike; file=Procexp.exe (tag=Cobalt Strike)",""
"2026-03-19 04:01:17","MalwareBazaar","APT32","SHA256","2d2a5ab13081475c1b5760c2237c8ed0dd4c3d79b1d4fb34d4241ca28e512aa9","signature=Cobalt Strike; file=4jgad.exe (tag=Cobalt Strike)",
"2026-03-18 18:00:05 UTC","ThreatFox","APT32","IP","78.155.221.67:8078","threat=botnet_cc; malware=win.cobalt_strike (tag=Cobalt Strike)",""
"2026-03-15 07:00:22","MalwareBazaar","APT32","SHA256","905fcd2566eb979d9ca4e63c7113346d86707f6ae70e325d0e85194acd721bf4","signature=Cobalt Strike; file=CobaltStrike.exe (tag=Cobalt Strike)",
"2026-03-13 14:35:12","MalwareBazaar","APT32","SHA256","168cc168723a7f267d476c3b334f064354ccdc19b70cb140d1b49128705ab587","signature=Cobalt Strike; file=168cc168723a7f267d476c3b334f064354ccdc19b70cb.dll (tag=Cobalt Strike)",
"2026-03-01 14:44:57","MalwareBazaar","APT32","SHA256","f654dd05e0a4b7c604f95160b8f7695883e70356fcb3c86ba6c6e4da30e26394","signature=Cobalt Strike; file=f654dd05e0a4b7c604f95160b8f7695883e70356fcb3c86ba6c6e4da30e26394.exe (tag=Cobalt Strike)",
"2026-03-01 14:44:46","MalwareBazaar","APT32","SHA256","f77d9073f461ce158971e66bd0dbec3273aba6c24fb3e8fe2ba4998dd7b59468","signature=Cobalt Strike; file=f77d9073f461ce158971e66bd0dbec3273aba6c24fb3e8fe2ba4998dd7b59468.exe (tag=Cobalt Strike)",""
"2026-02-26 11:15:10","MalwareBazaar","APT32","SHA256","5c9b7b7c112e154bed63bfa43ff606b7fcc79cb9668f99de032cc09fb6bacc90","signature=Cobalt Strike; file=injector.ps1 (tag=Cobalt Strike)",""
"2026-02-24 10:06:17","MalwareBazaar","APT32","SHA256","da8c83eae113475945a9ab217acf0a375f690e3da0205fedf6f3b176cb9ff45b","signature=Cobalt Strike; file=深信服财务审计相关资料.exe (tag=Cobalt Strike)",
"2026-02-22 16:46:45","MalwareBazaar","APT32","SHA256","f8219f79a7f0af8eda4338a026b6331717778de14813a3a3ff921b42a636bdd0","signature=Cobalt Strike; file=f8219f79a7f0af8eda4338a026b6331717778de14813a3a3ff921b42a636bdd0 (tag=Cobalt Strike)",
"2026-02-20 08:35:13","MalwareBazaar","APT32","SHA256","a30a5b326aed3931627b737eba7fad9dc945d6c9df600219264a7c795c152b0d","signature=Cobalt Strike; file=SecuriteInfo.com.Win64.MalwareX-gen.43381844 (tag=Cobalt Strike)",""
"2026-02-20 08:35:10","MalwareBazaar","APT32","SHA256","e6084b5a88a98de3fdeb3a5dc69d7edd743b9ca9a3699812dac910fd036dabe5","signature=Cobalt Strike; file=SecuriteInfo.com.Win64.MalwareX-gen.16284722 (tag=Cobalt Strike)",""
"2026-02-16 08:44:31","MalwareBazaar","APT32","SHA256","b640c53e2c02f08aa8ca3db62c628abcaa1694ffec33a59d69d88f5e2d1552aa","signature=Cobalt Strike; file=aes_loader.vmp.exe (tag=Cobalt Strike)",
"2026-02-13 21:55:00","MalwareBazaar","APT32","SHA256","56181f668b1bd40f2c72909e7ed346ae6fdf176863ac42c0724bef5bf14d57fd","signature=Cobalt Strike; file=reverse_bypass.exe (tag=Cobalt Strike)",
"2026-02-13 09:59:27","MalwareBazaar","APT32","SHA256","48cc6671cdf4aec9ebb25ec428dc47eb09f39dc063de1ae0b24a788a346b13d1","signature=Cobalt Strike; file=beacon.exe (tag=Cobalt Strike)",
"2026-02-13 09:35:02","MalwareBazaar","APT32","SHA256","085ce06c03268912d651fe4448871a40736abcae49889a207c6a42879b664b8d","signature=Cobalt Strike; file=RoyalFlush3.ps1 (tag=Cobalt Strike)",""
"2026-02-05 10:08:04","MalwareBazaar","APT32","SHA256","5804ab1cab517dbc9c314360988d0f44e9226626071c933c86f336fc68d89ff4","signature=Cobalt Strike; file=YYdispose_loader_20260205_105004_22rnzy.exe (tag=Cobalt Strike)",
"2026-02-02","VirusTotal (Fallback)","APT32","SHA256","733761bd4a44a28415a5ae9648402ca424a8640a9bdcb51450d8da8b1d38fd69","Text Match: OceanLotus","https://www.virustotal.com/gui/file/733761bd4a44a28415a5ae9648402ca424a8640a9bdcb51450d8da8b1d38fd69"
"2026-02-02","VirusTotal (Fallback)","APT32","SHA256","377f5cc23affe23b778dcfbca08b2eef01e8dafdce73ba4d6da4c2cc39e02bb9","Text Match: OceanLotus","https://www.virustotal.com/gui/file/377f5cc23affe23b778dcfbca08b2eef01e8dafdce73ba4d6da4c2cc39e02bb9"
"2026-02-02","VirusTotal (Fallback)","APT32","SHA256","4b1f610b77ff1bf47fa21adc6428490c46bb0dd82ba6ab57de4d617193698b91","Text Match: OceanLotus","https://www.virustotal.com/gui/file/4b1f610b77ff1bf47fa21adc6428490c46bb0dd82ba6ab57de4d617193698b91"
"2026-02-02","VirusTotal (Fallback)","APT32","SHA256","6897e845026fa1082adc1e717bd6b6377611feb88e4ef782753ba0938f877fd1","Text Match: OceanLotus","https://www.virustotal.com/gui/file/6897e845026fa1082adc1e717bd6b6377611feb88e4ef782753ba0938f877fd1"
"2026-02-02","VirusTotal (Fallback)","APT32","SHA256","34e61b3721e753413b3759f105c0672a7699cc7a53cc34ef1b5457b0584fe819","Text Match: OceanLotus","https://www.virustotal.com/gui/file/34e61b3721e753413b3759f105c0672a7699cc7a53cc34ef1b5457b0584fe819"
"2026-02-02","VirusTotal (Fallback)","APT32","SHA256","be1583392fa9595c7a0438fdfb177841167689bd78f567809175f9e8950b458b","Text Match: OceanLotus","https://www.virustotal.com/gui/file/be1583392fa9595c7a0438fdfb177841167689bd78f567809175f9e8950b458b"
