"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-09 14:25:58 UTC","ThreatFox","Huna","IP","107.172.132.42:8443","threat=botnet_cc; malware=win.pure_rat (tag=PureHVNC)",
"2026-04-09 05:41:40","MalwareBazaar","Huna","SHA256","e0470e49e4364065fdcce549800d63e68b990d4c303d860ccdda892e17ef5532","signature=PureHVNC; file=Fabitrade offer request 07161.js (tag=PureHVNC)",
"2026-04-08 15:11:07","MalwareBazaar","Huna","SHA256","86602755df14c2e08cb921aeaa18bc1d6d1e0075d47791354bfa848aa50320f8","signature=PureHVNC; file=166f11e6c60500ccbeee54ee73b09267.exe (tag=PureHVNC)",
"2026-04-06 10:31:54 UTC","ThreatFox","Huna","Domain","hvaaac.casacam.net","threat=botnet_cc; malware=win.pure_rat (tag=PureRAT)",
"2026-04-06 10:31:52 UTC","ThreatFox","Huna","IP","91.92.241.142:56001","threat=botnet_cc; malware=win.pure_rat (tag=PureRAT)",
"2026-04-06 09:48:19","MalwareBazaar","Huna","SHA256","845917761e0c0cb41205a2db73d9959c89fb01af440cc44f7c3ba44ff25ee470","signature=PureHVNC; file=cf97ae19f6c1c4574ce6355a9f05322e.exe (tag=PureHVNC)",
"2026-04-06 09:38:32 UTC","ThreatFox","Huna","IP","198.46.178.137:3268","threat=botnet_cc; malware=win.pure_rat (tag=PureRAT)",
"2026-04-06 08:33:44 UTC","ThreatFox","Huna","IP","185.208.159.210:56006","threat=botnet_cc; malware=win.pure_rat (tag=PureRAT)",
"2026-04-06 08:27:47 UTC","ThreatFox","Huna","IP","108.181.218.60:1238","threat=botnet_cc; malware=win.pure_rat (tag=PureRAT)",
"2026-04-06 07:20:03","MalwareBazaar","Huna","SHA256","d0130981433ca3dbc170293fba71fc8c66c6d109ad43cd55a5b84c3094804391","signature=PureHVNC; file=69da23a1a648c49b4610a9ade4c61330.exe (tag=PureHVNC)",
"2026-04-06 07:18:57","MalwareBazaar","Huna","SHA256","5b05520489442578ca57f50941bac97e499e0fd3a5ddc1fc47f7c53e2fa84df0","signature=PureHVNC; file=00b8901aae0163dc99632eef2d4ab289.exe (tag=PureHVNC)",
"2026-04-06 07:13:09","MalwareBazaar","Huna","SHA256","958a1baba7679f4e3e775cae79d5d86f5acd04bc08c419b09ac5a3808a3b888f","signature=PureHVNC; file=00c1a338c50698f3c4e9a0221253c886.exe (tag=PureHVNC)",
"2026-04-04 00:47:05","MalwareBazaar","Huna","SHA256","c728ba9c4739afed161d151b4e0ab5875b77ecf2e4bbd83b8c8e010715ec940a","signature=DonutLoader; file=GitHubDesktopHelper.exe (tag=PureRAT)",
"2026-04-01 05:01:45 UTC","ThreatFox","Huna","Domain","bsmaopm.duckdns.org","threat=botnet_cc; malware=win.pure_rat (tag=PureHVNC)",
"2026-04-01 05:01:44 UTC","ThreatFox","Huna","IP","12.202.180.133:6757","threat=botnet_cc; malware=win.pure_rat (tag=PureHVNC)",
"2026-03-31 13:17:48","MalwareBazaar","Huna","SHA256","7a2cb732e58e653ebc09553930861bc08d76875cb8d2d1b0c87565282e74eaa5","signature=PureHVNC; file=inv.bat (tag=PureRAT)",
"2026-03-30 06:43:00","MalwareBazaar","Huna","SHA256","c90957ae325f7ecd6d23004503133a029fe0691e0542afb2a2b335c4841622ac","signature=PureHVNC; file=0b5c3cd6bf4d49aa576efc786b65baad.exe (tag=PureHVNC)",
"2026-03-29 17:52:35","MalwareBazaar","Huna","SHA256","0bbe245f57c8b85adda154a8bd1561de4167b1863ea999d4c987b4ce5027d8f6","signature=PureHVNC; file=file (tag=PureHVNC)",
"2026-03-28 06:44:43 UTC","ThreatFox","Huna","SHA256","f0aa4631224de2d6fbdca63c40afb1eb741a4e731bbf0569762eaece68cab750","threat=payload; malware=win.pure_rat (tag=PureRAT)",
"2026-03-28 06:44:42 UTC","ThreatFox","Huna","SHA256","e238e050add1afed134bdcd32c45c6982d931d172115ec824595808026d1b8ca","threat=payload; malware=win.pure_rat (tag=PureRAT)",
"2026-03-27 05:54:45","MalwareBazaar","Huna","SHA256","bdaf322335ba4001214867b81236fc4cb3d068e871f49554d250aa9a476b3fc9","signature=PureHVNC; file=ps.ps1 (tag=PureHVNC)",""
