"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-24T18:46:03Z","Cybersixgill","BlackByte","Hash","85dbf51d54e2d5ded4db5e9a0fbf94e9","Confidence: 71","N/A"
"2026-01-23T22:45:39Z","Cybersixgill","BlackByte","Hash","e7db71aa27454b14ec33d27a5b696fb5fedc6c4c","Confidence: 71","N/A"
"2026-01-23T19:43:22Z","Cybersixgill","BlackByte","Hash","a0e9f5d64349fb13191bc781f81f42e1","Confidence: 90","N/A"
"2026-01-23T19:43:22Z","Cybersixgill","BlackByte","Hash","6734f37431670b3ab4292b8f60f29984","Confidence: 90","N/A"
"2026-01-23T02:47:10Z","Cybersixgill","BlackByte","Hash","e7d705a3286e19ea42f587b344ee6865","Confidence: 90","N/A"
"2026-01-14T15:31:29Z","Cybersixgill","BlackByte","Hash","025c1c35c3198e6e3497d5dbf97ae81f","Confidence: 90","N/A"
"2026-01-14T15:31:29Z","Cybersixgill","BlackByte","Hash","ffa28db79daca3b93a283ce2a6ff24791956a768cb5fc791c075b638416b51f4","Confidence: 90","N/A"
"2026-01-14T15:31:29Z","Cybersixgill","BlackByte","Hash","6d390038003c298c7ab8f2cbe35a50b07e096554","Confidence: 90","N/A"
"2026-01-13T14:05:54Z","Cybersixgill","BlackByte","Hash","9aa1f37517458d635eae4f9b43cb4770880ea0ee171e7e4ad155bbdee0cbe732","Confidence: 90","N/A"
"2026-01-13T14:04:49Z","Cybersixgill","BlackByte","Hash","4fdabe571b66ceec3448939bfb3ffcd1","Confidence: 90","N/A"
"2026-01-13T14:04:49Z","Cybersixgill","BlackByte","Hash","763499b37aacd317e7d2f512872f9ed719aacae1","Confidence: 90","N/A"
"2026-01-13T14:04:49Z","Cybersixgill","BlackByte","Hash","8b9c7d2554fe315199fae656448dc193accbec162d4afff3f204ce2346507a8a","Confidence: 90","N/A"
"2026-01-09T06:48:32Z","Cybersixgill","BlackByte","Hash","e3b6ea8c46fa831cec6f235a5cf48b38a4ae8d69","Confidence: 90","N/A"
"2026-01-09T06:48:32Z","Cybersixgill","BlackByte","Hash","61c0810a23580cf492a6ba4f7654566108331e7a4134c968c2d6a05261b2d8a1","Confidence: 90","N/A"
"2026-01-09T06:48:32Z","Cybersixgill","BlackByte","Hash","29efd64dd3c7fe1e2b022b7ad73a1ba5","Confidence: 90","N/A"
"2025-12-07T10:46:36Z","Cybersixgill","BlackByte","Hash","9b45c64d56523e21a268f8deb5cfa680","Confidence: 90","N/A"
"2025-12-07T10:46:16Z","Cybersixgill","BlackByte","Hash","102983d1d06c7d80b040d45e9425a96f","Confidence: 90","N/A"
"2025-12-07T10:45:48Z","Cybersixgill","BlackByte","Hash","d36627a0f5a150566b96bff0bfb0e763","Confidence: 90","N/A"
"2025-12-07T10:45:39Z","Cybersixgill","BlackByte","Hash","b3447ef9400d7f3f87ad24f89874f91a","Confidence: 90","N/A"
"2025-12-04T11:44:54Z","Cybersixgill","BlackByte","Hash","fc54e0d16d9764783542f0146a98b300","Confidence: 90","N/A"
"2025-12-03T22:53:52Z","Cybersixgill","BlackByte","Hash","e1b147aa2efa6849743f570a3aca8390faf4b90aed490a5682816dd9ef10e473","Confidence: 90","N/A"
"2025-11-30T22:47:40Z","Cybersixgill","BlackByte","Hash","9b6b722ba4a691a2fe21747cd5b8a2d18811a173413d4934949047e04e40b30a","Confidence: 60","N/A"
"2025-11-30T21:44:58Z","Cybersixgill","BlackByte","Hash","9de05c58f577718c333d45a6f90cdf0c7f9ae19fd8ee8c13f579cfac991320c6","Confidence: 60","N/A"
"2025-11-21T02:47:18Z","Cybersixgill","BlackByte","Hash","cecc54143cc375af1b9aed0021643b179574e592","Confidence: 80","N/A"
"2025-11-19T20:47:22Z","Cybersixgill","BlackByte","Hash","46b02cc186b85e11c3d59790c3a0bfd2ae1f82a5","Confidence: 80","N/A"
"2025-10-31T05:45:52Z","Cybersixgill","BlackByte","Hash","a44812b44591121f3e711223db099043d4d72288e4f436dba2fb935b6d888d40","Confidence: 71","N/A"
"2025-09-29T02:47:18Z","Cybersixgill","BlackByte","Hash","cb408d45762a628872fa782109e8fcfc3a5bf456074b007de21e9331bb3c5849","Confidence: 90","N/A"
"2025-09-28T18:03:44Z","Cybersixgill","BlackByte","Hash","0e62d10ff194e84ed8c6bd71620f56ef9e557072","Confidence: 90","N/A"
"2025-09-28T18:03:44Z","Cybersixgill","BlackByte","Hash","282df7bcb720a5b6f409caf9ccda2f75","Confidence: 90","N/A"
"2025-09-28T18:03:44Z","Cybersixgill","BlackByte","Hash","3cc5ee93a9ba1fc57389705283b760c8bd61f35e9398bbfa3210e2becf6d4b05","Confidence: 90","N/A"
"2025-09-20T07:28:43Z","Cybersixgill","BlackByte","Hash","1c849adcccad4643303297fb66bfe81c5536be39a87601d67664af1d14e02b9e","Confidence: 80","N/A"
"2025-09-18T03:27:02Z","Cybersixgill","BlackByte","Hash","ec74a5c51106f0419184d0dd08fb05bc","Confidence: 90","N/A"
"2025-09-18T03:27:02Z","Cybersixgill","BlackByte","Hash","37f463bf4616ecd445d4a1937da06e19","Confidence: 90","N/A"
"2025-09-17T23:44:51Z","Cybersixgill","BlackByte","Hash","9bcfc98998b9e42b86204e66605b65462eeb8cfd8a0661b3ceebc99d4277e83c","Confidence: 60","N/A"
"2025-09-17T23:44:16Z","Cybersixgill","BlackByte","Hash","718be762e8bd513283cd5e21634dc65bd160e47121716fd058daf5f3be42728a","Confidence: 60","N/A"
"2025-09-16T07:12:05Z","Cybersixgill","BlackByte","Hash","dc90560d7198bf824b65ba2cfbe403d84d38113f41a1aa2f37f8d827fd9e0ceb","Confidence: 90","N/A"
"2025-09-14T02:36:43Z","Cybersixgill","BlackByte","Hash","4d7f6c6a051ecb1f8410243cd6941b339570165ebcfd3cc7db48d2a924874e99","Confidence: 90","N/A"
"2025-09-05T08:50:14Z","Cybersixgill","BlackByte","Hash","160f60dc3fc9920cfc3847de4de2ef09","Confidence: 75","N/A"
"2025-08-28T03:36:31Z","Cybersixgill","BlackByte","Hash","af44d722f0942afa48cd70368c0bb6b03dd9f0193e8f45ef36bb1d65be8a0042","Confidence: 64","N/A"
"2025-08-23T05:25:42Z","Cybersixgill","BlackByte","Hash","c9df12fbfcae3ac0894c1234e376945bc8268acdc20de72c8dd16bf1fab6bb70","Confidence: 90","N/A"
"2025-08-23T05:25:20Z","Cybersixgill","BlackByte","Hash","0e2b951ae07183c44416ff6fa8d7b8924348701efa75dd3cb14c708537471d27","Confidence: 90","N/A"
"2025-08-23T05:25:11Z","Cybersixgill","BlackByte","Hash","0d3af630c03350935a902d0cce4dc64c5cfff8012b2ffc2f4ce5040fdec524ed","Confidence: 90","N/A"
"2025-08-23T05:19:02Z","Cybersixgill","BlackByte","Hash","2e890fd02c3e0d85d69c698853494c1bab381c38d5272baa2a3c2bc0387684c1","Confidence: 90","N/A"
"2025-08-19T18:22:15Z","Cybersixgill","BlackByte","Hash","f3a1576837ed56bcf79ff486aadf36e78d624853e9409ec1823a6f46fd0143ea","Confidence: 90","N/A"
"2025-08-17T03:02:35Z","Cybersixgill","BlackByte","Hash","35c1eb5ff8913c4ca4feb712e05354772146247bdb4b337868c687730f201023","Confidence: 90","N/A"
"2025-08-17T03:02:08Z","Cybersixgill","BlackByte","Hash","0334cd1b8ab17203179da1ae77c1fad97ddf794cc63a6048aca664956d10b2ca","Confidence: 75","N/A"
"2025-08-14T06:00:14Z","Cybersixgill","BlackByte","Hash","51c64c77e60f3980eea90869b68c58a8","Confidence: 90","N/A"
"2025-08-01T19:57:14Z","Cybersixgill","BlackByte","Hash","8c0f3f63e5920c4656104cedfe78627a4667895605c9382a46f3078d2c975fa2","Confidence: 60","N/A"
"2025-08-01T17:07:34Z","Cybersixgill","BlackByte","Hash","11cfea4100ba3731d859148d2011c7225d337db22797f7e111c0f2876e986490","Confidence: 75","N/A"
"2025-08-01T17:07:34Z","Cybersixgill","BlackByte","Hash","34a45f4172a355bf532185a83d0dd55df9794e91","Confidence: 75","N/A"
"2025-08-01T17:07:34Z","Cybersixgill","BlackByte","Hash","9113f4b245da32c75d61b467ee89e0b7","Confidence: 75","N/A"
"2025-08-01T17:07:09Z","Cybersixgill","BlackByte","Hash","bb73d57a43b27c11baf6f221ad17c0a83a08f752","Confidence: 75","N/A"
"2025-08-01T17:07:09Z","Cybersixgill","BlackByte","Hash","7c4b465159e1c7dbbe67f0eeb3f58de1caba293999a49843a0818480f05be14e","Confidence: 75","N/A"
"2025-08-01T05:14:18Z","Cybersixgill","BlackByte","Hash","21f974f224cef8bcaa194bed75f25ee28e1ca8d4","Confidence: 75","N/A"
"2025-08-01T05:14:18Z","Cybersixgill","BlackByte","Hash","1d846592ffcc19ed03a34316520aa31369218a88afa4e17ac547686d0348aa5b","Confidence: 75","N/A"
"2025-08-01T05:14:18Z","Cybersixgill","BlackByte","Hash","87fd821b67a1f329548f222d81a55be7","Confidence: 75","N/A"
"2025-07-31T00:18:17Z","Cybersixgill","BlackByte","Hash","e72e6f28b3fc6bfe087a7bdffb068443","Confidence: 75","N/A"
"2025-07-30T19:08:08Z","Cybersixgill","BlackByte","Hash","50c5d24005f477410c633af5d2dd90e6bcb8f116","Confidence: 75","N/A"
"2025-07-26T10:41:54Z","Cybersixgill","BlackByte","Hash","e1d65daaf338663006014f7d86eea5aebf142134","Confidence: 90","N/A"
"2025-07-26T10:38:13Z","Cybersixgill","BlackByte","Hash","77b294117cb818df701f03dc8be39ed9a361a038","Confidence: 90","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","854e5f77f788bbbe6e224195e115c749172cd12302afca370d4f9e3d53d005fd","Confidence: 90","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","a82e496b7b5279cb6b93393ec167dd3f50aff1557366784b25f9e51cb23689d9","Confidence: 90","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","9a7c0adedc4c68760e49274700218507","Confidence: 90","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","bb79502d301ba77745b7dbc5df4269fc7b074cda","Confidence: 90","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","08a3b8d6f5f386a0a86ac39b5cdcc1e5dbbf42e2","Confidence: 78","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","7dd26568049fac1b87f676ecfaac9ba0","Confidence: 90","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","6d25d5c988a8cda3837dff5f294cbc25c97aea48dde1a74cba71a2439cab0a11","Confidence: 78","N/A"
"2025-07-25T20:35:54Z","Cybersixgill","BlackByte","Hash","3178501218c7edaef82b73ae83cb4d91","Confidence: 78","N/A"
"2025-07-20T13:03:13Z","Cybersixgill","BlackByte","Hash","176c3de6c4a1ac5c34b6d6be54fca774","Confidence: 90","N/A"
"2025-07-20T11:54:14Z","Cybersixgill","BlackByte","Hash","73efc19941b9341f7735a616888b4f306b4815eb","Confidence: 90","N/A"
"2025-07-19T14:40:05Z","Cybersixgill","BlackByte","Hash","58adb6b87a3873f20d56a10ccde457469adb5203f3108786c3631e0da555b917","Confidence: 70","N/A"
"2025-07-19T14:29:10Z","Cybersixgill","BlackByte","Hash","c1f753047a0a5679aea0f675846364ea2f1fc4f9370f6caa89d0bfb1feb561f1","Confidence: 60","N/A"
"2025-07-18T20:59:48Z","Cybersixgill","BlackByte","Hash","22892b8303fa56f4b584a04c09d508d8","Confidence: 90","N/A"
"2025-07-16T11:15:45Z","Cybersixgill","BlackByte","Hash","b26cfde4ca74d5d5377889bba5b60b5fc72dda75","Confidence: 70","N/A"
"2025-07-16T11:15:45Z","Cybersixgill","BlackByte","Hash","b3411927cc7cd05e02ba64b2a789bbde","Confidence: 70","N/A"
"2025-07-16T11:15:45Z","Cybersixgill","BlackByte","Hash","4b036cc9930bb42454172f888b8fde1087797fc0c9d31ab546748bd2496bd3e5","Confidence: 70","N/A"
"2025-07-12T06:20:17Z","Cybersixgill","BlackByte","Hash","72a48f8592d89eb53a18821a54fd791298fcc0b3fc6bf9397fd71498527e7c0e","Confidence: 90","N/A"
"2025-07-12T06:20:07Z","Cybersixgill","BlackByte","Hash","01fafd51bb42f032b08b1c30130b963843fea0493500e871d6a6a87e555c7bac","Confidence: 90","N/A"
"2025-07-10T01:57:45Z","Cybersixgill","BlackByte","Hash","a0bdfac3ce1880b32ff9b696458327ce352e3b1d","Confidence: 80","N/A"
"2025-07-10T01:57:45Z","Cybersixgill","BlackByte","Hash","b365af317ae730a67c936f21432b9c71","Confidence: 80","N/A"
"2025-07-10T01:57:45Z","Cybersixgill","BlackByte","Hash","bd2c2cf0631d881ed382817afcce2b093f4e412ffb170a719e2762f250abfea4","Confidence: 90","N/A"
"2025-06-30T02:45:20Z","Cybersixgill","BlackByte","Hash","451cef0085dc5b474cc5c68af079d0367d7d2ec73ae2210788beb5297e1fbd6d","Confidence: 60","N/A"
"2025-06-30T02:45:04Z","Cybersixgill","BlackByte","Hash","2718dcbb503b6334078daf4af61e17a547fb80c9b811c26cfc9d32f5ce63a826","Confidence: 60","N/A"
"2025-06-30T02:44:50Z","Cybersixgill","BlackByte","Hash","0ac0b3758359855e96367b6c83b0aabdc6cfb59b4caa1cec48632defd21cdf3c","Confidence: 60","N/A"
"2025-06-26T07:21:12Z","Cybersixgill","BlackByte","Hash","ffa7f0e7a2bb0edf4b7785b99aa39c96d1fe891eb6f89a65d76a57ff04ef17ab","Confidence: 90","N/A"
"2025-06-26T07:21:04Z","Cybersixgill","BlackByte","Hash","df35b45ed34eaca32cda6089acbfe638d2d1a3593d74019b6717afed90dbd5f8","Confidence: 90","N/A"
"2025-06-26T03:18:00Z","Cybersixgill","BlackByte","Hash","8882186bace198be59147bcabae6643d2a7a490ad08298a4428a8e64e24907ad","Confidence: 90","N/A"
"2025-06-26T03:17:48Z","Cybersixgill","BlackByte","Hash","580ce8b7f5a373d5d7fbfbfef5204d18b8f9407b0c2cbf3bcae808f4d642076a","Confidence: 90","N/A"
"2025-06-26T03:17:40Z","Cybersixgill","BlackByte","Hash","2d906ed670b24ebc3f6c54e7be5a32096058388886737b1541d793ff5d134ccb","Confidence: 90","N/A"
"2025-06-26T03:17:31Z","Cybersixgill","BlackByte","Hash","130af6a91aa9ecbf70456a0bee87f947bf4ddc2d2775459e3feac563007e1aed","Confidence: 90","N/A"
"2025-06-26T03:15:52Z","Cybersixgill","BlackByte","Hash","d1aa0ceb01cca76a88f9ee0c5817d24e7a15ad40768430373ae3009a619e2691","Confidence: 69","N/A"
"2025-06-20T19:11:54Z","Cybersixgill","BlackByte","Hash","9e10692f1b7f78228b2d4e424db3a98c","Confidence: 90","N/A"
