"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","414a920ed547e5762c7f5e83dc85ed38b09d9643541c9d8165558e8fc579fcae","Text Match: DragonForce","https://www.virustotal.com/gui/file/414a920ed547e5762c7f5e83dc85ed38b09d9643541c9d8165558e8fc579fcae"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","7c8e728de68b42c2379b09b45236feeefa225ee9301f6e0e4d6ce3fdc5bdf834","Text Match: DragonForce","https://www.virustotal.com/gui/file/7c8e728de68b42c2379b09b45236feeefa225ee9301f6e0e4d6ce3fdc5bdf834"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","3b13a0a11460ada5399f3cbb5be4c2c7209cf6424da3b70d817b2d578612d04b","Text Match: DragonForce","https://www.virustotal.com/gui/file/3b13a0a11460ada5399f3cbb5be4c2c7209cf6424da3b70d817b2d578612d04b"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","476f3bb031f5059c70855f7f2382aa56cf0b970fc41d6efa535d243587cb6a1e","Text Match: DragonForce","https://www.virustotal.com/gui/file/476f3bb031f5059c70855f7f2382aa56cf0b970fc41d6efa535d243587cb6a1e"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","7c329acbce3582505550fed167c3799d6f820f451846d3b9bb5a067ac4d73497","Text Match: DragonForce","https://www.virustotal.com/gui/file/7c329acbce3582505550fed167c3799d6f820f451846d3b9bb5a067ac4d73497"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","4a1ca138ece49473708148eebfb9a515844a1cba98dbd57157c4ed7e6339bece","Text Match: DragonForce","https://www.virustotal.com/gui/file/4a1ca138ece49473708148eebfb9a515844a1cba98dbd57157c4ed7e6339bece"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","b5349ef715cdd251d139061f6bad372553e176b70ce2b61c96bb275591b0db4c","Text Match: DragonForce","https://www.virustotal.com/gui/file/b5349ef715cdd251d139061f6bad372553e176b70ce2b61c96bb275591b0db4c"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","7396454f6f9a670641894919a6ca2243201cb5d2596548e3f11b342282ba897a","Text Match: DragonForce","https://www.virustotal.com/gui/file/7396454f6f9a670641894919a6ca2243201cb5d2596548e3f11b342282ba897a"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","f9ba83870c0eb2f3aa21974b708c5761c215ba565188356b51c2a8dc0c40227a","Text Match: DragonForce","https://www.virustotal.com/gui/file/f9ba83870c0eb2f3aa21974b708c5761c215ba565188356b51c2a8dc0c40227a"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","29ac5d444dbde0f38aada675ca2abc6fecd37bb871307b7d15f9637d9d896d2f","Text Match: DragonForce","https://www.virustotal.com/gui/file/29ac5d444dbde0f38aada675ca2abc6fecd37bb871307b7d15f9637d9d896d2f"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","801e78b1d85869a9c4e62214da710baca9781f333bbf87ab7385e093299283d7","Text Match: DragonForce","https://www.virustotal.com/gui/file/801e78b1d85869a9c4e62214da710baca9781f333bbf87ab7385e093299283d7"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","aaa4bea0fe39306ada93be93e46cb995a1b44f7a49a9c6474aea616dd065ef96","Text Match: DragonForce","https://www.virustotal.com/gui/file/aaa4bea0fe39306ada93be93e46cb995a1b44f7a49a9c6474aea616dd065ef96"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","bccb72e20167dd27f3c41cac7fdac31fed5ab8102784130a445da4b578b8c525","Text Match: DragonForce","https://www.virustotal.com/gui/file/bccb72e20167dd27f3c41cac7fdac31fed5ab8102784130a445da4b578b8c525"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","9ae6914bccfff290e28aba2998392dde5879549f6819a66389f8432b5fba02ea","Text Match: DragonForce","https://www.virustotal.com/gui/file/9ae6914bccfff290e28aba2998392dde5879549f6819a66389f8432b5fba02ea"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","23a88288db3760a80eb7a08382d39fe4418150e0b3a269731cc098e56f9a6b9f","Text Match: DragonForce","https://www.virustotal.com/gui/file/23a88288db3760a80eb7a08382d39fe4418150e0b3a269731cc098e56f9a6b9f"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","ca1865c5e161cd9881e0ec9b26b51d118d09b062fffccf3c76bf77907c27a806","Text Match: DragonForce","https://www.virustotal.com/gui/file/ca1865c5e161cd9881e0ec9b26b51d118d09b062fffccf3c76bf77907c27a806"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","282faa23ef91b5f71c0f5997ee600126f0c23ac49f08c459f5fff426ed2b4382","Text Match: DragonForce","https://www.virustotal.com/gui/file/282faa23ef91b5f71c0f5997ee600126f0c23ac49f08c459f5fff426ed2b4382"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","2bfef6b1d365aa2bfe13cca8a04697b695df48a1f1d34d5283759e63750b3d90","Text Match: DragonForce","https://www.virustotal.com/gui/file/2bfef6b1d365aa2bfe13cca8a04697b695df48a1f1d34d5283759e63750b3d90"
"2026-02-02","VirusTotal (Fallback)","DragonForce","SHA256","b68dbb95b70a75f0d0795fbe01b89b4966f07fad8777e78fd5195d43cde89cfa","Text Match: DragonForce","https://www.virustotal.com/gui/file/b68dbb95b70a75f0d0795fbe01b89b4966f07fad8777e78fd5195d43cde89cfa"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","963f43d92d57a9cd9ee019b06a80aab54f8e942d7a84b0080d5d20d1f8418663","Text Match: DragonForce","https://www.virustotal.com/gui/file/963f43d92d57a9cd9ee019b06a80aab54f8e942d7a84b0080d5d20d1f8418663"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","634469eab715d1781e6160524d080ed8a870daea567cc32fe8eb9b6c766649d3","Text Match: DragonForce","https://www.virustotal.com/gui/file/634469eab715d1781e6160524d080ed8a870daea567cc32fe8eb9b6c766649d3"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","c0a6fead783df66a55659ffdd8943ca635c4851be11eeeefe8d52b0ec199ac77","Text Match: DragonForce","https://www.virustotal.com/gui/file/c0a6fead783df66a55659ffdd8943ca635c4851be11eeeefe8d52b0ec199ac77"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","00079a5816cbf5697808a8ba1a343b0a71a0267e5da5d8fc217d109976d821a7","Text Match: DragonForce","https://www.virustotal.com/gui/file/00079a5816cbf5697808a8ba1a343b0a71a0267e5da5d8fc217d109976d821a7"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","06c8b0e2fee51e14a9d49860e5038c51c8f74966ff2b3c5bdf29a873bc90365d","Text Match: DragonForce","https://www.virustotal.com/gui/file/06c8b0e2fee51e14a9d49860e5038c51c8f74966ff2b3c5bdf29a873bc90365d"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","d3eca6255640931a8311af37454948584e833bcbff39944fa744ecdce307ba73","Text Match: DragonForce","https://www.virustotal.com/gui/file/d3eca6255640931a8311af37454948584e833bcbff39944fa744ecdce307ba73"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","96109e91c2ffdaae229c94100010362ea443dc34d79eaf9a56cad6e085628098","Text Match: DragonForce","https://www.virustotal.com/gui/file/96109e91c2ffdaae229c94100010362ea443dc34d79eaf9a56cad6e085628098"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","a43bb54d5b66a823c3a5f1f3f982bb90155dbd64f162a04920ce4f7dc9725263","Text Match: DragonForce","https://www.virustotal.com/gui/file/a43bb54d5b66a823c3a5f1f3f982bb90155dbd64f162a04920ce4f7dc9725263"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","7bd3349df95c781af6c320f012f458d3da95ad095cd9c18c7b69a42c4bd680a0","Text Match: DragonForce","https://www.virustotal.com/gui/file/7bd3349df95c781af6c320f012f458d3da95ad095cd9c18c7b69a42c4bd680a0"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","79a462424cb3c5d3828228e97fb339d03f8325146f2efe23522be2c71dbaa6a1","Text Match: DragonForce","https://www.virustotal.com/gui/file/79a462424cb3c5d3828228e97fb339d03f8325146f2efe23522be2c71dbaa6a1"
"2026-02-01","VirusTotal (Fallback)","DragonForce","SHA256","14fd7ae2151152cbd10a7b65f46f4b3130e3023e79272c360fb99608ffc8e72b","Text Match: DragonForce","https://www.virustotal.com/gui/file/14fd7ae2151152cbd10a7b65f46f4b3130e3023e79272c360fb99608ffc8e72b"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","a988ad82737ee2ff98d107243dd759acad93a6d2e4b2648dabb004c254ad5397","Text Match: DragonForce","https://www.virustotal.com/gui/file/a988ad82737ee2ff98d107243dd759acad93a6d2e4b2648dabb004c254ad5397"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","349b8143957e80dac510ccd1b5ff7fca5fc4fa4bca99df68a14c0b7606ee3e4a","Text Match: DragonForce","https://www.virustotal.com/gui/file/349b8143957e80dac510ccd1b5ff7fca5fc4fa4bca99df68a14c0b7606ee3e4a"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","26721325ba1a331072dd2f1f3b46090dbf192ddfe58b1846d47122e55fbfc56f","Text Match: DragonForce","https://www.virustotal.com/gui/file/26721325ba1a331072dd2f1f3b46090dbf192ddfe58b1846d47122e55fbfc56f"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","ef61cd8a2f7431615b9564fbc7636d231fa9fb494ab33fab3824f1aa155aeb18","Text Match: DragonForce","https://www.virustotal.com/gui/file/ef61cd8a2f7431615b9564fbc7636d231fa9fb494ab33fab3824f1aa155aeb18"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","3b80bf0aff7dbf78746ed51cecf801fbd30b078c84bc41322c2fefcf5d15f88e","Text Match: DragonForce","https://www.virustotal.com/gui/file/3b80bf0aff7dbf78746ed51cecf801fbd30b078c84bc41322c2fefcf5d15f88e"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","ebd977e5e4af6fd8a83de9c913f6d54b821fc7bfc9140f443157d452b8ad8cf4","Text Match: DragonForce","https://www.virustotal.com/gui/file/ebd977e5e4af6fd8a83de9c913f6d54b821fc7bfc9140f443157d452b8ad8cf4"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","2b5a672333b09c473b03c574fb364f665bc788a567cfb4c248e22d41614ab10b","Text Match: DragonForce","https://www.virustotal.com/gui/file/2b5a672333b09c473b03c574fb364f665bc788a567cfb4c248e22d41614ab10b"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","c7b80eaa8d11507fd8a35405d1f5e3471ed63701f8fdca6f914ea2152b9c5078","Text Match: DragonForce","https://www.virustotal.com/gui/file/c7b80eaa8d11507fd8a35405d1f5e3471ed63701f8fdca6f914ea2152b9c5078"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","a50ea3a0f2df73729d5381ff79f8b82e0ec8083786cf877615c792eccf75be4c","Text Match: DragonForce","https://www.virustotal.com/gui/file/a50ea3a0f2df73729d5381ff79f8b82e0ec8083786cf877615c792eccf75be4c"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","201d9765d6ac72b5846699ab1063be71870df6bd77561b75a77f4416ffb35fc0","Text Match: DragonForce","https://www.virustotal.com/gui/file/201d9765d6ac72b5846699ab1063be71870df6bd77561b75a77f4416ffb35fc0"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","a55c241ab1a0468aee8e5df8cb39a5a35a0dacb2814593f00f24bc8ea0f4becc","Text Match: DragonForce","https://www.virustotal.com/gui/file/a55c241ab1a0468aee8e5df8cb39a5a35a0dacb2814593f00f24bc8ea0f4becc"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","5b894e91cc34d5cb763469ec5b8e30a6d30eb6511ccf989ef6f0edc2bbad685c","Text Match: DragonForce","https://www.virustotal.com/gui/file/5b894e91cc34d5cb763469ec5b8e30a6d30eb6511ccf989ef6f0edc2bbad685c"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","0c2864870d5325e0f71269437b92dd2ec76fcdd6d9cae48a8c4b5ef6c7f28b75","Text Match: DragonForce","https://www.virustotal.com/gui/file/0c2864870d5325e0f71269437b92dd2ec76fcdd6d9cae48a8c4b5ef6c7f28b75"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","1aa22f2500447d9b24a346e135d67b7c276b1ac7a5b4e22e258218a17d82366b","Text Match: DragonForce","https://www.virustotal.com/gui/file/1aa22f2500447d9b24a346e135d67b7c276b1ac7a5b4e22e258218a17d82366b"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","cc4170bd0022251c458f53f82f2d88a49c81784810fcc17a30f13790a64f5565","Text Match: DragonForce","https://www.virustotal.com/gui/file/cc4170bd0022251c458f53f82f2d88a49c81784810fcc17a30f13790a64f5565"
"2026-01-31","VirusTotal (Fallback)","DragonForce","SHA256","ab906b24847ae002f57fb24ddd5299a36819da3daa363d3315e8b7efdf606b2e","Text Match: DragonForce","https://www.virustotal.com/gui/file/ab906b24847ae002f57fb24ddd5299a36819da3daa363d3315e8b7efdf606b2e"
"2026-01-30","VirusTotal (Fallback)","DragonForce","SHA256","b0deb9acf17d6c51fff8f9f3b27ef263248baa2827400e60eecc82a9b38785ec","Text Match: DragonForce","https://www.virustotal.com/gui/file/b0deb9acf17d6c51fff8f9f3b27ef263248baa2827400e60eecc82a9b38785ec"
"2026-01-30","VirusTotal (Fallback)","DragonForce","SHA256","d8db823b1d01aba71875b90e61ad9313db6600639339201988b8714df6fa7931","Text Match: DragonForce","https://www.virustotal.com/gui/file/d8db823b1d01aba71875b90e61ad9313db6600639339201988b8714df6fa7931"
"2026-01-30","VirusTotal (Fallback)","DragonForce","SHA256","2886c1415b5547a2909519cbf851531c23ba8ef596d21e442d569b23d4d5fe9c","Text Match: DragonForce","https://www.virustotal.com/gui/file/2886c1415b5547a2909519cbf851531c23ba8ef596d21e442d569b23d4d5fe9c"
