"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-01 12:41:18","MalwareBazaar","Exotic Lily","SHA256","670781d0d35582d3094cf375a43c59cfba157e0a99fe919e462ad06045f0843c","signature=BumbleBee; file=670781d0d35582d3094cf375a43c59cfba157e0a99fe919e462ad06045f0843c (tag=Bumblebee)",
"2026-03-29 14:01:15 UTC","ThreatFox","Exotic Lily","Domain","wmds946t.life","threat=payload_delivery; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:11 UTC","ThreatFox","Exotic Lily","IP","91.236.230.17:993","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:11 UTC","ThreatFox","Exotic Lily","IP","91.236.230.220:443","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:10 UTC","ThreatFox","Exotic Lily","IP","91.236.230.229:5000","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:09 UTC","ThreatFox","Exotic Lily","Domain","florida-grower.com","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:08 UTC","ThreatFox","Exotic Lily","Domain","ms365-team.com","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:07 UTC","ThreatFox","Exotic Lily","Domain","tmegramapps.com","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:07 UTC","ThreatFox","Exotic Lily","Domain","endpointmapperprocess.com","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:06 UTC","ThreatFox","Exotic Lily","Domain","pepedrop.yachts","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-29 14:01:06 UTC","ThreatFox","Exotic Lily","IP","213.139.205.131:80","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:47 UTC","ThreatFox","Exotic Lily","Domain","zmzk2dyqak0lcsej.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:47 UTC","ThreatFox","Exotic Lily","Domain","zbcsp5h72z9x1x3m.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:47 UTC","ThreatFox","Exotic Lily","Domain","zkv149tv7pg40mez.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
