"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-07 12:05:41 UTC","ThreatFox","Scattered Spider","URL","http://95.214.27.17:443/blob/4s8omx.nsx9","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-04-07 12:05:39 UTC","ThreatFox","Scattered Spider","URL","https://87.120.84.232:2084/2b6c01e7a6591d730234fd/h6h29p5o.tu8eo","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-04-05 13:28:08","MalwareBazaar","Scattered Spider","SHA256","ff1ac70246985cd9c5f1a2c1a54cf97e9286aa51fda94e2c11c55934ae8171a6","signature=; file=chrome_elf.dll (tag=Rhadamanthys)",
"2026-04-02 06:08:57 UTC","ThreatFox","Scattered Spider","URL","http://65.109.161.133/blob/i9cxzx.39lc","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-04-02 06:08:55 UTC","ThreatFox","Scattered Spider","URL","http://185.225.73.149/apiget/evhgeo.lpmo","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-04-01 20:37:58","MalwareBazaar","Scattered Spider","SHA256","604e372b83ccf629c9acd3157fa6db4ae9abdb67677ed74f0e57883c2f8ce29b","signature=; file=chrome_elf.dll (tag=Rhadamanthys)",
"2026-04-01 11:08:24","MalwareBazaar","Scattered Spider","SHA256","dd404d1159202a1ac57af3f0e51b131331c8522c3e47312fe20a1647ea290413","signature=; file=chrome_elf.dll (tag=Rhadamanthys)",
"2026-03-29 18:05:25 UTC","ThreatFox","Scattered Spider","URL","https://95.217.10.109:7820/c5c0e9148d35f/xk3mtjn3.cur1k","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-29 12:06:15 UTC","ThreatFox","Scattered Spider","URL","http://195.3.223.218/blob/owner.api","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-27 00:02:37 UTC","ThreatFox","Scattered Spider","IP","152.44.47.231:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-03-26 20:02:17 UTC","ThreatFox","Scattered Spider","IP","36.138.203.171:8000","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-03-25 06:07:41 UTC","ThreatFox","Scattered Spider","URL","https://77.246.104.220:3422/4da16be762ab11e97/81u9tj6w.hluu9","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-24 18:06:35 UTC","ThreatFox","Scattered Spider","URL","https://91.92.249.180:3374/817865d7b77e30b00f/lgknd2s9.1nmdh","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-24 12:07:33 UTC","ThreatFox","Scattered Spider","URL","http://212.193.30.32/upload/libcurl.dll","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-23 05:23:30","MalwareBazaar","Scattered Spider","SHA256","ce7d25b4f5fdee33a3b1f72c92abb2c907a2dc8347442fb8c7940e9616a17dc8","signature=MimiKatz; file=ce7d25b4f5fdee33.exe (tag=Mimikatz)",
"2026-03-22 20:01:34 UTC","ThreatFox","Scattered Spider","IP","85.9.203.21:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",""
"2026-03-22 18:03:38 UTC","ThreatFox","Scattered Spider","URL","http://179.43.142.248/update/libssl.dll","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-19 06:06:41 UTC","ThreatFox","Scattered Spider","URL","https://95.214.25.106:1677/35f878290a290e1ed8506/wbx49ghn.522w1","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-17 12:04:52 UTC","ThreatFox","Scattered Spider","URL","https://5.35.34.193:5652/7754ab51414cb150c84e1ad/7k9siq3x.0t5n6","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-17 06:03:54 UTC","ThreatFox","Scattered Spider","URL","http://45.150.65.4/img/favicon.ico","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-17 00:01:43 UTC","ThreatFox","Scattered Spider","IP","68.183.34.203:8080","threat=botnet_cc; malware=win.mimikatz (tag=Mimikatz)",
"2026-03-16 06:33:05 UTC","ThreatFox","Scattered Spider","IP","193.36.38.237:443","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",
"2026-03-16 06:33:03 UTC","ThreatFox","Scattered Spider","IP","188.34.195.44:443","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-16 06:33:02 UTC","ThreatFox","Scattered Spider","IP","138.199.156.22:443","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-16 06:33:01 UTC","ThreatFox","Scattered Spider","IP","87.120.93.98:443","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-16 06:05:17 UTC","ThreatFox","Scattered Spider","URL","https://147.124.221.241:1149/9c59034ac60846f8/mrx8h4of.prxvo","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
"2026-03-12 18:07:24 UTC","ThreatFox","Scattered Spider","URL","https://23.152.0.240:3957/835a189ccf9d6badf60eacc/mcgw458i.fre2n","threat=botnet_cc; malware=win.rhadamanthys (tag=Rhadamanthys)",""
