"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-09 08:32:44","MalwareBazaar","ShinyHunters","SHA256","4b3b9e2e24a56ab342bb517e97acbd203d37a090b0159401bb6a54fc11230b88","signature=AsyncRAT; file=4b3b9e2e24a56ab342bb517e97acbd203d37a090b0159401bb6a54fc11230b88 (tag=AsyncRAT)",
"2026-04-09 08:05:17","MalwareBazaar","ShinyHunters","SHA256","bda2b0b9985a34ff7589bec1b5f4eabf3c4e452ba479111663dc96253468b115","signature=AsyncRAT; file=bda2b0b9985a34ff7589bec1b5f4eabf3c4e452ba479111663dc96253468b115 (tag=AsyncRAT)",
"2026-04-09 08:05:03","MalwareBazaar","ShinyHunters","SHA256","e94865b2b225c8fe7e51c224d486c50711441647cf2266a7a698c1e56576036f","signature=AsyncRAT; file=e94865b2b225c8fe7e51c224d486c50711441647cf2266a7a698c1e56576036f.ps1 (tag=AsyncRAT)",
"2026-04-09 06:50:31","MalwareBazaar","ShinyHunters","SHA256","00823f9a400139cf09885081cfa1115fe169df77dc01fe600f1393419fc5a5d6","signature=AsyncRAT; file=00823f9a400139cf09885081cfa1115fe169df77dc01fe600f1393419fc5a5d6.vbs (tag=AsyncRAT)",
"2026-04-09 06:42:54","MalwareBazaar","ShinyHunters","SHA256","21117a9986e6c46e6ded575f875b254218d4d9b9588c1391fddf3b8b7cfa7e61","signature=AsyncRAT; file=21117a9986e6c46e6ded575f875b254218d4d9b9588c1391fddf3b8b7cfa7e61(1) (tag=AsyncRAT)",
"2026-04-09 06:21:30","MalwareBazaar","ShinyHunters","SHA256","595ebb854f6512804b3603ac8b63670531bd2c477845fd8b08d3411ae092cc38","signature=AsyncRAT; file=Yeni.talep-pdf.bat (tag=AsyncRAT)",
"2026-04-09 06:00:11","MalwareBazaar","ShinyHunters","SHA256","030967003eace6864210b5ac969bd55e91eda783aa60869fe6ff6dae00ee9c96","signature=AsyncRAT; file=z1PAYMENTCONFIRMATION03_26.bat (tag=AsyncRAT)",
"2026-04-08 18:05:41 UTC","ThreatFox","ShinyHunters","Domain","amor11.duckdns.org","threat=botnet_cc; malware=win.asyncrat (tag=AsyncRAT)",
"2026-04-08 17:58:49","MalwareBazaar","ShinyHunters","SHA256","0a2c926442601cdd883dfc4d4b64b2f275d42fdeab88c082ca1cadbce2aad59c","signature=AsyncRAT; file=svchost.vbs (tag=AsyncRAT)",
"2026-04-08 17:58:49","MalwareBazaar","ShinyHunters","SHA256","13beedd8a3f0a76dd864ff5693f3da4e70f7abf2fa846c9e51f1c87994ee0f61","signature=AsyncRAT; file=sostener1.vbs (tag=AsyncRAT)",
"2026-04-08 17:58:42","MalwareBazaar","ShinyHunters","SHA256","d6775349cb389f4c7a15478fef2c83baaf24540e28a57a40bd7d8e0fd24e65fa","signature=AsyncRAT; file=sostener.vbs (tag=AsyncRAT)",
"2026-04-08 17:58:41","MalwareBazaar","ShinyHunters","SHA256","050fb15146ce0c354071e0fde7cd4c7948e89c339c37e27a422fa554b27f6d9e","signature=AsyncRAT; file=proceso.vbs (tag=AsyncRAT)",
"2026-04-08 17:35:44 UTC","ThreatFox","ShinyHunters","Domain","update35630.duckdns.org","threat=botnet_cc; malware=win.asyncrat (tag=AsyncRAT)",
"2026-04-08 17:33:38","MalwareBazaar","ShinyHunters","SHA256","2c44a8d802cf2d05fe996e97a27ff9b123ecfba2b9be48cf35172b6489201605","signature=AsyncRAT; file=TaskSvc.vbs (tag=AsyncRAT)",
"2026-04-08 17:33:06","MalwareBazaar","ShinyHunters","SHA256","74f71cc4cff80b7fcac8e86f595b8d0e55718efde0c0040e2e2a5b66aeb05e1d","signature=AsyncRAT; file=Task.vbs (tag=AsyncRAT)",
"2026-04-08 17:27:01","MalwareBazaar","ShinyHunters","SHA256","7a009bba10f7fdfc958f97511b3c312373723444646fe1833ebb0753c5484b4a","signature=AsyncRAT; file=procesos.vbs (tag=AsyncRAT)",
"2026-04-08 15:21:09 UTC","ThreatFox","ShinyHunters","Domain","sxhangtie.com","threat=botnet_cc; malware=win.asyncrat (tag=AsyncRAT)",
"2026-04-07 23:06:44 UTC","ThreatFox","ShinyHunters","IP","82.165.179.9:7707","threat=botnet_cc; malware=win.asyncrat (tag=AsyncRAT)",
"2026-04-07 23:06:40 UTC","ThreatFox","ShinyHunters","IP","82.165.179.9:6606","threat=botnet_cc; malware=win.asyncrat (tag=AsyncRAT)",
"2026-04-07 23:00:21","MalwareBazaar","ShinyHunters","SHA256","4c3b97c157d08ee298edb5d30fa86a3b90b04fedfbe517e7e0307b6013eacbf0","signature=AsyncRAT; file=118f6f175a840830421c090e05b15358.exe (tag=AsyncRAT)",
