"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-13 22:17:50","MalwareBazaar","TA551","SHA256","17014299f399f71d1d6bed136b8c624a366b222166e692522d14e2bba70bb79f","signature=IcedID; file=info_IR-99661418.msi (tag=IcedID)",""
"2026-01-29","VirusTotal (Fallback)","TA551","SHA256","60c6b50b8bbbda45a9a6a17b0d40bced20cac5a58dcde2e91fc206f6fe5f0db2","Text Match: TA551","https://www.virustotal.com/gui/file/60c6b50b8bbbda45a9a6a17b0d40bced20cac5a58dcde2e91fc206f6fe5f0db2"
"2026-01-25","VirusTotal (Fallback)","TA551","SHA256","0b27008d3757f3e5c430371280be491eef672f12ea4a040d3658d5e0c99f0c64","Text Match: TA551","https://www.virustotal.com/gui/file/0b27008d3757f3e5c430371280be491eef672f12ea4a040d3658d5e0c99f0c64"
"2026-01-21","VirusTotal (Fallback)","TA551","SHA256","2cf442ad0b33d5a1a59437828f5df7799d7944d6a140811e34f88fd3bcd44071","Text Match: TA551","https://www.virustotal.com/gui/file/2cf442ad0b33d5a1a59437828f5df7799d7944d6a140811e34f88fd3bcd44071"
"2026-01-12","VirusTotal (Fallback)","TA551","SHA256","484bb53d6895800a4d9b4921951c9e540c324da047f14c032125e71ee6b1f241","Text Match: TA551","https://www.virustotal.com/gui/file/484bb53d6895800a4d9b4921951c9e540c324da047f14c032125e71ee6b1f241"
"2026-01-12","VirusTotal (Fallback)","TA551","SHA256","2564a528b824675fc93130ff28af890e4354dc21491e9ccae7caa826c8ffcc36","Text Match: TA551","https://www.virustotal.com/gui/file/2564a528b824675fc93130ff28af890e4354dc21491e9ccae7caa826c8ffcc36"
"2026-01-11","VirusTotal (Fallback)","TA551","SHA256","848f1b89869a2cbe1261ff3cec366d0fe6d3c4992f0c87991606fd9c15eb99a7","Text Match: TA551","https://www.virustotal.com/gui/file/848f1b89869a2cbe1261ff3cec366d0fe6d3c4992f0c87991606fd9c15eb99a7"
"2025-12-24","VirusTotal (Fallback)","TA551","SHA256","d5eef1a1b433cc93725896c6fcc36ae65c5d7cf0cab97b600634df4af3f2962f","Text Match: TA551","https://www.virustotal.com/gui/file/d5eef1a1b433cc93725896c6fcc36ae65c5d7cf0cab97b600634df4af3f2962f"
"2025-12-10","VirusTotal (Fallback)","TA551","SHA256","010776a07510ba3395db5c91c374b9d69cca94fb71ab2ca4e13cbef39c0b6c8e","Text Match: TA551","https://www.virustotal.com/gui/file/010776a07510ba3395db5c91c374b9d69cca94fb71ab2ca4e13cbef39c0b6c8e"
"2025-11-27","VirusTotal (Fallback)","TA551","SHA256","536da9408fa2e2a63ed9abb380068193107fecf9f710cb92b1ef41b29a5ab367","Text Match: TA551","https://www.virustotal.com/gui/file/536da9408fa2e2a63ed9abb380068193107fecf9f710cb92b1ef41b29a5ab367"
"2025-11-27","VirusTotal (Fallback)","TA551","SHA256","0c0b2d0061bc41f3439d1564cf7198d482d3d729c6716583f7612ac85e8a5e0b","Text Match: TA551","https://www.virustotal.com/gui/file/0c0b2d0061bc41f3439d1564cf7198d482d3d729c6716583f7612ac85e8a5e0b"
"2025-11-17","VirusTotal (Fallback)","TA551","SHA256","2b9a1da66a4113c8bddc833e1e5dfa008731ef76186eca179da993a73ab3455b","Text Match: TA551","https://www.virustotal.com/gui/file/2b9a1da66a4113c8bddc833e1e5dfa008731ef76186eca179da993a73ab3455b"
"2025-11-17","VirusTotal (Fallback)","TA551","SHA256","bcde04d9824189838aa65ff4e3cf11e67cb0f6dfb713cb62a748c8aac8859ed3","Text Match: TA551","https://www.virustotal.com/gui/file/bcde04d9824189838aa65ff4e3cf11e67cb0f6dfb713cb62a748c8aac8859ed3"
"2025-11-16 18:56:09 UTC","ThreatFox","TA551","Domain","pakistanytrible.top","threat=botnet_cc; malware=win.icedid (tag=IcedID)",""
"2025-11-16 18:56:08 UTC","ThreatFox","TA551","Domain","kengurutrible.top","threat=botnet_cc; malware=win.icedid (tag=IcedID)",""
"2025-11-16 18:56:08 UTC","ThreatFox","TA551","domain","geroees.club","threat=botnet_cc; malware=win.icedid (tag=IcedID)",""
"2025-11-16 18:56:08 UTC","ThreatFox","TA551","Domain","ghosternew.casa","threat=botnet_cc; malware=win.icedid (tag=IcedID)",""
"2025-11-13","VirusTotal (Fallback)","TA551","SHA256","c2379ebd130847078bce7cbeef41af8403bae462b341c4ab5b1c6c95b661a676","Text Match: TA551","https://www.virustotal.com/gui/file/c2379ebd130847078bce7cbeef41af8403bae462b341c4ab5b1c6c95b661a676"
"2025-11-13","VirusTotal (Fallback)","TA551","SHA256","b30d6c681a021a4b931d4951f11d1c46ee4df8645856a340a04039049add6bd0","Text Match: TA551","https://www.virustotal.com/gui/file/b30d6c681a021a4b931d4951f11d1c46ee4df8645856a340a04039049add6bd0"
"2025-09-28 12:51:06 UTC","ThreatFox","TA551","url","http://136.243.146.46:8898","threat=botnet_cc; malware=win.yibackdoor (tag=IcedID)",""
"2025-07-25","VirusTotal (Fallback)","TA551","SHA256","04496ef54dff24d1fa59c72ba1f4fd0ecd1571e3781f4772812c2de2efb2e9df","Text Match: TA551","https://www.virustotal.com/gui/file/04496ef54dff24d1fa59c72ba1f4fd0ecd1571e3781f4772812c2de2efb2e9df"
"2025-04-09 11:30:36","MalwareBazaar","TA551","SHA256","1f8806869616c18cbae9ffcf581c0428915d32fb70119df16d08078d92d1a5e3","signature=IcedID; file=1f8806869616c18cbae9ffcf581c0428915d32fb70119df16d08078d92d1a5e3 (tag=IcedID)",
"2025-04-04T09:20:19Z","Cybersixgill","TA551","Hash","f148991c86a6be2a1e2c331cac87af14bafa95465aadc5f058cc82cae56262c0","Confidence: 80","N/A"
"2025-03-31 06:05:48 UTC","ThreatFox","TA551","Domain","intesteron.com","threat=botnet_cc; malware=win.icedid (tag=IcedID)",""
