"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-04-09 22:02:03 UTC","ThreatFox","TA584","Domain","rthbtrhyyrdbrt-37741.portmap.host","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-09 18:00:37 UTC","ThreatFox","TA584","Domain","geoor-22593.portmap.io","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-09 18:00:35 UTC","ThreatFox","TA584","IP","95.216.226.121:6000","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-09 18:00:34 UTC","ThreatFox","TA584","IP","82.26.74.177:121","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-09 10:01:48 UTC","ThreatFox","TA584","IP","216.250.253.161:6000","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-09 07:35:34 UTC","ThreatFox","TA584","URL","https://antongandon.club/log.php","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-09 07:35:12 UTC","ThreatFox","TA584","URL","https://antongandon.club/api/index.php","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-09 07:34:42 UTC","ThreatFox","TA584","URL","https://antongandon.club/cf.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-09 07:34:12 UTC","ThreatFox","TA584","Domain","antongandon.club","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-09 06:00:28 UTC","ThreatFox","TA584","Domain","chat.ttseokitty.com","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-09 05:17:50 UTC","ThreatFox","TA584","Domain","r6qckzh8lfkursk13x3g69wgv5vl7urrdn6vjd.com","threat=botnet_cc; malware=js.smartapesg (tag=ClickFix)",
"2026-04-09 05:17:49 UTC","ThreatFox","TA584","Domain","go6.my","threat=payload_delivery; malware=js.smartapesg (tag=ClickFix)",
"2026-04-09 05:17:48 UTC","ThreatFox","TA584","Domain","go5z.my","threat=payload_delivery; malware=js.smartapesg (tag=ClickFix)",
"2026-04-09 05:17:46 UTC","ThreatFox","TA584","Domain","fucismarjiaff.com","threat=botnet_cc; malware=win.netsupportmanager_rat (tag=ClickFix)",
"2026-04-09 05:17:44 UTC","ThreatFox","TA584","SHA256","8e7bea86cefb90f029aed719311b976d3f72400fcc8b4ca0eab1f9a9dbc43f52","threat=payload; malware=js.smartapesg (tag=ClickFix)",
"2026-04-09 02:01:42 UTC","ThreatFox","TA584","Domain","Adamdasdadad-47266.portmap.host","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-08 22:08:49 UTC","ThreatFox","TA584","URL","https://logicvault.icu/t.js?site=","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:08:21 UTC","ThreatFox","TA584","URL","https://logicvault.icu/ext-b.5211fbb3d30f.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:07:32 UTC","ThreatFox","TA584","URL","https://logicvault.icu/ext.ec6c3fd8b3fb.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:07:20 UTC","ThreatFox","TA584","Domain","logicvault.icu","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:06:29 UTC","ThreatFox","TA584","URL","https://deepsight.icu/ext.ec6c3fd8b3fb.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:02:58 UTC","ThreatFox","TA584","URL","https://deepsight.icu/t.js?site=","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:01:30 UTC","ThreatFox","TA584","URL","https://deepsight.icu/ext-b.5211fbb3d30f.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:00:56 UTC","ThreatFox","TA584","URL","https://deepsight.icu/t.188cfd3975db.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 22:00:46 UTC","ThreatFox","TA584","Domain","deepsight.icu","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:34:16 UTC","ThreatFox","TA584","URL","https://ameublement.bcd-adventures.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:34:01 UTC","ThreatFox","TA584","Domain","ameublement.bcd-adventures.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:33:13 UTC","ThreatFox","TA584","URL","https://conseilsst.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:32:58 UTC","ThreatFox","TA584","Domain","conseilsst.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:32:14 UTC","ThreatFox","TA584","URL","https://cegmester.hellodevs.dev","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:31:58 UTC","ThreatFox","TA584","Domain","cegmester.hellodevs.dev","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:31:11 UTC","ThreatFox","TA584","Domain","new.importletterofcredit.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 21:30:51 UTC","ThreatFox","TA584","URL","https://new.importletterofcredit.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 18:00:47 UTC","ThreatFox","TA584","Domain","all.ddnsskey.com","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-08 18:00:45 UTC","ThreatFox","TA584","IP","45.153.34.27:443","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-08 18:00:40 UTC","ThreatFox","TA584","IP","38.87.116.37:2137","threat=botnet_cc; malware=win.xworm (tag=XWorm)",
"2026-04-08 14:54:58 UTC","ThreatFox","TA584","URL","https://clfckhitriver.com/api/data","threat=payload_delivery; malware=js.smartapesg (tag=ClickFix)",
"2026-04-08 14:54:57 UTC","ThreatFox","TA584","IP","104.225.129.185:443","threat=payload_delivery; malware=js.smartapesg (tag=ClickFix)",
"2026-04-08 14:38:30 UTC","ThreatFox","TA584","URL","https://stromao.com/g","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:38:09 UTC","ThreatFox","TA584","URL","https://stromao.com/t","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:37:50 UTC","ThreatFox","TA584","Domain","stromao.com","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:35:51 UTC","ThreatFox","TA584","URL","https://bestwebchlen.cyou/log.php","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:35:15 UTC","ThreatFox","TA584","URL","https://bestwebchlen.cyou/api/index.php","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:34:36 UTC","ThreatFox","TA584","URL","https://bestwebchlen.cyou/cf.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:34:22 UTC","ThreatFox","TA584","Domain","bestwebchlen.cyou","threat=payload_delivery; malware=unknown (tag=ClickFix)",
"2026-04-08 14:31:19 UTC","ThreatFox","TA584","URL","https://nsservclod.beer/api/css.js","threat=payload_delivery; malware=unknown (tag=ClickFix)",
